"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MAX"
"0","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.004457652303120356","0.004457652303120356","0.004457652303120356"
"4","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475"
"8","0.01188707280832095","0.01188707280832095","0.01188707280832095","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"12","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.014858841010401188","0.014858841010401188","0.014858841010401188"
"16","0.01634472511144131","0.01634472511144131","0.01634472511144131","0.0237741456166419","0.0237741456166419","0.0237741456166419"
"20","0.031203566121842496","0.031203566121842496","0.031203566121842496","0.03863298662704309","0.03863298662704309","0.03863298662704309"
"24","0.05200594353640416","0.05200594353640416","0.05200594353640416","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"28","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.09955423476968796","0.09955423476968796","0.09955423476968796"
"32","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.10846953937592868","0.10846953937592868","0.10846953937592868"
"36","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"40","0.14710252600297177","0.14710252600297177","0.14710252600297177","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"44","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"48","0.1485884101040119","0.1485884101040119","0.1485884101040119","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"52","0.1485884101040119","0.1485884101040119","0.1485884101040119","0.150074294205052","0.150074294205052","0.150074294205052"
"56","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.18424962852897475","0.18424962852897475","0.18424962852897475"
"60","0.15453194650817237","0.15453194650817237","0.15453194650817237","0.1723625557206538","0.1723625557206538","0.1723625557206538"
"64","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.19167904903417535","0.19167904903417535","0.19167904903417535"
"68","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"72","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"76","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"80","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"84","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.1099554234769688","0.1099554234769688","0.1099554234769688"
"88","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"92","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.04903417533432392","0.04903417533432392","0.04903417533432392"
"96","0.09955423476968796","0.09955423476968796","0.09955423476968796","","",""
"100","0","0","0","","",""
