"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23__MAX"
"0","","","","5","5","5"
"4","","","","5","5","5"
"8","","","","5","5","5"
"12","","","","5","5","5"
"16","","","","5","5","5"
"20","","","","5","5","5"
"24","8192","8192","8192","1198","1198","1198"
"28","2460.5","2460.5","2460.5","4098.5","4098.5","4098.5"
"32","5411","5411","5411","2733","2733","2733"
"36","1657.8","1657.8","1657.8","2015.4","2015.4","2015.4"
"40","3607.1111111111113","3607.1111111111113","3607.1111111111113","1794.8333333333333","1794.8333333333333","1794.8333333333333"
"44","3282.8888888888887","3282.8888888888887","3282.8888888888887","2126.5555555555557","2126.5555555555557","2126.5555555555557"
"48","1622.2","1622.2","1622.2","3120.3333333333335","3120.3333333333335","3120.3333333333335"
"52","3053.5","3053.5","3053.5","2727.714285714286","2727.714285714286","2727.714285714286"
"56","2144.4285714285716","2144.4285714285716","2144.4285714285716","3044.6666666666665","3044.6666666666665","3044.6666666666665"
"60","3685.3333333333335","3685.3333333333335","3685.3333333333335","3280.375","3280.375","3280.375"
"64","3941.25","3941.25","3941.25","2900.5","2900.5","2900.5"
"68","2354","2354","2354","4743","4743","4743"
"72","3497.4615384615386","3497.4615384615386","3497.4615384615386","3417","3417","3417"
"76","3956.5714285714284","3956.5714285714284","3956.5714285714284","2652.4","2652.4","2652.4"
"80","3339.5","3339.5","3339.5","2636.6666666666665","2636.6666666666665","2636.6666666666665"
"84","2612.7","2612.7","2612.7","4116.666666666667","4116.666666666667","4116.666666666667"
"88","2643.818181818182","2643.818181818182","2643.818181818182","2447","2447","2447"
"92","2773.5","2773.5","2773.5","3259","3259","3259"
"96","3866.75","3866.75","3866.75","","",""
