"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k__MAX"
"0","","","","370","370","370"
"8","","","","159","159","159"
"20","1337","1337","1337","1404","1404","1404"
"24","869","869","869","580","580","580"
"28","1146","1146","1146","1168.5333333333333","1168.5333333333333","1168.5333333333333"
"32","1472.409090909091","1472.409090909091","1472.409090909091","1134.179487179487","1134.179487179487","1134.179487179487"
"36","985.0608695652174","985.0608695652174","985.0608695652174","974.9213197969543","974.9213197969543","974.9213197969543"
"40","901.2974452554745","901.2974452554745","901.2974452554745","909.8613569321534","909.8613569321534","909.8613569321534"
"44","843.401179941003","843.401179941003","843.401179941003","945.793491864831","945.793491864831","945.793491864831"
"48","911.7473958333334","911.7473958333334","911.7473958333334","1006.6527149321267","1006.6527149321267","1006.6527149321267"
"52","897.9507803121248","897.9507803121248","897.9507803121248","982.2084233261339","982.2084233261339","982.2084233261339"
"56","818.5687426556992","818.5687426556992","818.5687426556992","955.3371488033299","955.3371488033299","955.3371488033299"
"60","914.8826135105205","914.8826135105205","914.8826135105205","1044.094680851064","1044.094680851064","1044.094680851064"
"64","907.3126967471144","907.3126967471144","907.3126967471144","1036.160083160083","1036.160083160083","1036.160083160083"
"68","879.2666666666667","879.2666666666667","879.2666666666667","1052.0976890756303","1052.0976890756303","1052.0976890756303"
"72","878.004048582996","878.004048582996","878.004048582996","1029.634069400631","1029.634069400631","1029.634069400631"
"76","942.3101711983887","942.3101711983887","942.3101711983887","1112.9926854754442","1112.9926854754442","1112.9926854754442"
"80","922.7510204081633","922.7510204081633","922.7510204081633","1057.457627118644","1057.457627118644","1057.457627118644"
"84","952.8603696098562","952.8603696098562","952.8603696098562","1107.6222547584186","1107.6222547584186","1107.6222547584186"
"88","970.9249492900609","970.9249492900609","970.9249492900609","979.1491228070175","979.1491228070175","979.1491228070175"
"92","874.4989106753812","874.4989106753812","874.4989106753812","1199.0142857142857","1199.0142857142857","1199.0142857142857"
"96","770.447983014862","770.447983014862","770.447983014862","","",""
