"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500__MAX"
"0","82","82","82","","",""
"4","375","375","375","335","335","335"
"8","4330.5","4330.5","4330.5","295.5","295.5","295.5"
"12","5583.666666666667","5583.666666666667","5583.666666666667","2830.5","2830.5","2830.5"
"16","5023.6","5023.6","5023.6","1583.2222222222222","1583.2222222222222","1583.2222222222222"
"20","3489.285714285714","3489.285714285714","3489.285714285714","3004.222222222222","3004.222222222222","3004.222222222222"
"24","3963.28","3963.28","3963.28","1891.909090909091","1891.909090909091","1891.909090909091"
"28","3595.1960784313724","3595.1960784313724","3595.1960784313724","2850.3766233766232","2850.3766233766232","2850.3766233766232"
"32","2674.690476190476","2674.690476190476","2674.690476190476","2881.75","2881.75","2881.75"
"36","2422.2272727272725","2422.2272727272725","2422.2272727272725","2598.019108280255","2598.019108280255","2598.019108280255"
"40","2099.7303370786517","2099.7303370786517","2099.7303370786517","2403.6021505376343","2403.6021505376343","2403.6021505376343"
"44","2017.0054347826087","2017.0054347826087","2017.0054347826087","2417.1127450980393","2417.1127450980393","2417.1127450980393"
"48","2086.9423076923076","2086.9423076923076","2086.9423076923076","2303.5584415584417","2303.5584415584417","2303.5584415584417"
"52","2152.2372093023255","2152.2372093023255","2152.2372093023255","2161.769230769231","2161.769230769231","2161.769230769231"
"56","2100.103139013453","2100.103139013453","2100.103139013453","2048.7356828193833","2048.7356828193833","2048.7356828193833"
"60","2072.482905982906","2072.482905982906","2072.482905982906","2225.244635193133","2225.244635193133","2225.244635193133"
"64","2060.728813559322","2060.728813559322","2060.728813559322","2270.6101694915255","2270.6101694915255","2270.6101694915255"
"68","2154.587044534413","2154.587044534413","2154.587044534413","2370.81512605042","2370.81512605042","2370.81512605042"
"72","1950.2131147540983","1950.2131147540983","1950.2131147540983","2264.4192139737993","2264.4192139737993","2264.4192139737993"
"76","2098.3715415019765","2098.3715415019765","2098.3715415019765","2115.1057268722466","2115.1057268722466","2115.1057268722466"
"80","1981.1440329218108","1981.1440329218108","1981.1440329218108","2136.0191387559807","2136.0191387559807","2136.0191387559807"
"84","2024.2051282051282","2024.2051282051282","2024.2051282051282","2485.0921985815603","2485.0921985815603","2485.0921985815603"
"88","1926.1764705882354","1926.1764705882354","1926.1764705882354","3054.904761904762","3054.904761904762","3054.904761904762"
"92","1907.0320855614973","1907.0320855614973","1907.0320855614973","4453.888888888889","4453.888888888889","4453.888888888889"
"96","1892","1892","1892","","",""
