"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","1296.6666666666667","1296.6666666666667","1296.6666666666667","96.33333333333333","96.33333333333333","96.33333333333333"
"4","1056.25","1056.25","1056.25","197.5","197.5","197.5"
"8","916","916","916","1276.8333333333333","1276.8333333333333","1276.8333333333333"
"12","954.5714285714286","954.5714285714286","954.5714285714286","1501.2","1501.2","1501.2"
"16","2055","2055","2055","1321.0625","1321.0625","1321.0625"
"20","1727.5238095238096","1727.5238095238096","1727.5238095238096","2196.8076923076924","2196.8076923076924","2196.8076923076924"
"24","3159.8","3159.8","3159.8","3819.8260869565215","3819.8260869565215","3819.8260869565215"
"28","3324.515625","3324.515625","3324.515625","3991.283582089552","3991.283582089552","3991.283582089552"
"32","3874.3882352941177","3874.3882352941177","3874.3882352941177","4605.465753424657","4605.465753424657","4605.465753424657"
"36","4019.3440860215055","4019.3440860215055","4019.3440860215055","3848.6555555555556","3848.6555555555556","3848.6555555555556"
"40","4422.575757575758","4422.575757575758","4422.575757575758","4123.2","4123.2","4123.2"
"44","4373.64705882353","4373.64705882353","4373.64705882353","4504.482352941176","4504.482352941176","4504.482352941176"
"48","4581.52","4581.52","4581.52","4338.754901960784","4338.754901960784","4338.754901960784"
"52","3995.27","3995.27","3995.27","3746.5247524752476","3746.5247524752476","3746.5247524752476"
"56","4314.318181818182","4314.318181818182","4314.318181818182","3564.6129032258063","3564.6129032258063","3564.6129032258063"
"60","4103.942307692308","4103.942307692308","4103.942307692308","3665.7672413793102","3665.7672413793102","3665.7672413793102"
"64","3783.415254237288","3783.415254237288","3783.415254237288","3386.9457364341083","3386.9457364341083","3386.9457364341083"
"68","3800.778761061947","3800.778761061947","3800.778761061947","3965.9910714285716","3965.9910714285716","3965.9910714285716"
"72","3623.262711864407","3623.262711864407","3623.262711864407","3614.0446428571427","3614.0446428571427","3614.0446428571427"
"76","3371.8217054263564","3371.8217054263564","3371.8217054263564","4125.457627118644","4125.457627118644","4125.457627118644"
"80","3068.97247706422","3068.97247706422","3068.97247706422","3635.838383838384","3635.838383838384","3635.838383838384"
"84","2923.098039215686","2923.098039215686","2923.098039215686","4880.135135135135","4880.135135135135","4880.135135135135"
"88","3270.277777777778","3270.277777777778","3270.277777777778","5751.976190476191","5751.976190476191","5751.976190476191"
"92","3002.0813953488373","3002.0813953488373","3002.0813953488373","6044.454545454545","6044.454545454545","6044.454545454545"
"96","3280.5522388059703","3280.5522388059703","3280.5522388059703","","",""
