"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23__MAX"
"0","0.125","0.125","0.125","0","0","0"
"4","0.125","0.125","0.125","0","0","0"
"8","0.2","0.2","0.2","0","0","0"
"12","0.2","0.2","0.2","0","0","0"
"16","0.225","0.225","0.225","0","0","0"
"20","0.25","0.25","0.25","0","0","0"
"24","0.2","0.2","0.2","0.025","0.025","0.025"
"28","0.25","0.25","0.25","0.05","0.05","0.05"
"32","0.275","0.275","0.275","0.05","0.05","0.05"
"36","0.225","0.225","0.225","0.125","0.125","0.125"
"40","0.275","0.275","0.275","0.225","0.225","0.225"
"44","0.275","0.275","0.275","0.225","0.225","0.225"
"48","0.375","0.375","0.375","0.125","0.125","0.125"
"52","0.3","0.3","0.3","0.2","0.2","0.2"
"56","0.25","0.25","0.25","0.175","0.175","0.175"
"60","0.275","0.275","0.275","0.225","0.225","0.225"
"64","0.275","0.275","0.275","0.2","0.2","0.2"
"68","0.225","0.225","0.225","0.275","0.275","0.275"
"72","0.2","0.2","0.2","0.325","0.325","0.325"
"76","0.125","0.125","0.125","0.35","0.35","0.35"
"80","0.1","0.1","0.1","0.3","0.3","0.3"
"84","","","","0.25","0.25","0.25"
"88","","","","0.275","0.275","0.275"
"92","","","","0.25","0.25","0.25"
"96","","","","0.2","0.2","0.2"
"100","","","","0","0","0"
