"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k__MAX"
"0","0.4746019711902957","0.4746019711902957","0.4746019711902957","0","0","0"
"4","0.5837755875663382","0.5837755875663382","0.5837755875663382","0","0","0"
"8","0.6345716451857468","0.6345716451857468","0.6345716451857468","0","0","0"
"12","0.6413949962092494","0.6413949962092494","0.6413949962092494","0","0","0"
"16","0.6391205458680819","0.6391205458680819","0.6391205458680819","0","0","0"
"20","0.6512509476876421","0.6512509476876421","0.6512509476876421","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"24","0.6573161485974223","0.6573161485974223","0.6573161485974223","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"28","0.66868840030326","0.66868840030326","0.66868840030326","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"32","0.6664139499620925","0.6664139499620925","0.6664139499620925","0.016679302501895376","0.016679302501895376","0.016679302501895376"
"36","0.6785443517816527","0.6785443517816527","0.6785443517816527","0.17437452615617893","0.17437452615617893","0.17437452615617893"
"40","0.6762699014404853","0.6762699014404853","0.6762699014404853","0.41546626231993933","0.41546626231993933","0.41546626231993933"
"44","0.6884003032600455","0.6884003032600455","0.6884003032600455","0.5140257771038665","0.5140257771038665","0.5140257771038665"
"48","0.7210007581501138","0.7210007581501138","0.7210007581501138","0.5822592873388931","0.5822592873388931","0.5822592873388931"
"52","0.7354056103108415","0.7354056103108415","0.7354056103108415","0.6315390447308568","0.6315390447308568","0.6315390447308568"
"56","0.7619408642911296","0.7619408642911296","0.7619408642911296","0.645185746777862","0.645185746777862","0.645185746777862"
"60","0.7414708112206216","0.7414708112206216","0.7414708112206216","0.6846095526914329","0.6846095526914329","0.6846095526914329"
"64","0.7384382107657316","0.7384382107657316","0.7384382107657316","0.7225170583775588","0.7225170583775588","0.7225170583775588"
"68","0.7437452615617892","0.7437452615617892","0.7437452615617892","0.7391963608794542","0.7391963608794542","0.7391963608794542"
"72","0.7202426080363912","0.7202426080363912","0.7202426080363912","0.7490523123578469","0.7490523123578469","0.7490523123578469"
"76","0.7225170583775588","0.7225170583775588","0.7225170583775588","0.7528430629264594","0.7528430629264594","0.7528430629264594"
"80","0.686125852918878","0.686125852918878","0.686125852918878","0.7429871114480667","0.7429871114480667","0.7429871114480667"
"84","","","","0.7384382107657316","0.7384382107657316","0.7384382107657316"
"88","","","","0.7475360121304018","0.7475360121304018","0.7475360121304018"
"92","","","","0.6959818043972706","0.6959818043972706","0.6959818043972706"
"96","","","","0.3570887035633055","0.3570887035633055","0.3570887035633055"
"100","","","","0","0","0"
