"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500__MAX"
"0","0.33","0.33","0.33","0.002","0.002","0.002"
"4","0.368","0.368","0.368","0.004","0.004","0.004"
"8","0.374","0.374","0.374","0.004","0.004","0.004"
"12","0.376","0.376","0.376","0.006","0.006","0.006"
"16","0.38","0.38","0.38","0.01","0.01","0.01"
"20","0.372","0.372","0.372","0.028","0.028","0.028"
"24","0.426","0.426","0.426","0.05","0.05","0.05"
"28","0.408","0.408","0.408","0.102","0.102","0.102"
"32","0.412","0.412","0.412","0.168","0.168","0.168"
"36","0.454","0.454","0.454","0.308","0.308","0.308"
"40","0.454","0.454","0.454","0.356","0.356","0.356"
"44","0.448","0.448","0.448","0.368","0.368","0.368"
"48","0.466","0.466","0.466","0.416","0.416","0.416"
"52","0.446","0.446","0.446","0.43","0.43","0.43"
"56","0.466","0.466","0.466","0.446","0.446","0.446"
"60","0.478","0.478","0.478","0.468","0.468","0.468"
"64","0.468","0.468","0.468","0.472","0.472","0.472"
"68","0.48","0.48","0.48","0.494","0.494","0.494"
"72","0.404","0.404","0.404","0.488","0.488","0.488"
"76","0.404","0.404","0.404","0.506","0.506","0.506"
"80","0.37","0.37","0.37","0.486","0.486","0.486"
"84","","","","0.468","0.468","0.468"
"88","","","","0.442","0.442","0.442"
"92","","","","0.374","0.374","0.374"
"96","","","","0.232","0.232","0.232"
"100","","","","0","0","0"
