"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/OlympiadBench__MAX"
"0","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"4","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.005943536404160475","0.005943536404160475","0.005943536404160475"
"8","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.01188707280832095","0.01188707280832095","0.01188707280832095"
"12","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.010401188707280832","0.010401188707280832","0.010401188707280832"
"16","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.01634472511144131","0.01634472511144131","0.01634472511144131"
"20","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.031203566121842496","0.031203566121842496","0.031203566121842496"
"24","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.05200594353640416","0.05200594353640416","0.05200594353640416"
"28","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.0950965824665676","0.0950965824665676","0.0950965824665676"
"32","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"36","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"40","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"44","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"48","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"52","0.150074294205052","0.150074294205052","0.150074294205052","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"56","0.14710252600297177","0.14710252600297177","0.14710252600297177","0.16344725111441308","0.16344725111441308","0.16344725111441308"
"60","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.15453194650817237","0.15453194650817237","0.15453194650817237"
"64","0.15453194650817237","0.15453194650817237","0.15453194650817237","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"68","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.16790490341753342","0.16790490341753342","0.16790490341753342"
"72","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"76","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.19167904903417535","0.19167904903417535","0.19167904903417535"
"80","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"84","","","","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"88","","","","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"92","","","","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"96","","","","0.09955423476968796","0.09955423476968796","0.09955423476968796"
"100","","","","0","0","0"
