"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/AMC23__MAX"
"0","598.6","598.6","598.6","","",""
"4","911.4","911.4","911.4","","",""
"8","516.75","516.75","516.75","","",""
"12","616.125","616.125","616.125","","",""
"16","732.6666666666666","732.6666666666666","732.6666666666666","","",""
"20","851.4","851.4","851.4","","",""
"24","828.375","828.375","828.375","8192","8192","8192"
"28","707.1","707.1","707.1","2460.5","2460.5","2460.5"
"32","1193.4545454545455","1193.4545454545455","1193.4545454545455","5411","5411","5411"
"36","1224.5555555555557","1224.5555555555557","1224.5555555555557","1657.8","1657.8","1657.8"
"40","1878","1878","1878","3607.1111111111113","3607.1111111111113","3607.1111111111113"
"44","1820.1818181818182","1820.1818181818182","1820.1818181818182","3282.8888888888887","3282.8888888888887","3282.8888888888887"
"48","2527.0666666666666","2527.0666666666666","2527.0666666666666","1622.2","1622.2","1622.2"
"52","2585.0833333333335","2585.0833333333335","2585.0833333333335","3053.5","3053.5","3053.5"
"56","2728.9","2728.9","2728.9","2144.4285714285716","2144.4285714285716","2144.4285714285716"
"60","2212.4545454545455","2212.4545454545455","2212.4545454545455","3685.3333333333335","3685.3333333333335","3685.3333333333335"
"64","2976.3636363636365","2976.3636363636365","2976.3636363636365","3941.25","3941.25","3941.25"
"68","1618.6666666666667","1618.6666666666667","1618.6666666666667","2354","2354","2354"
"72","2952.375","2952.375","2952.375","3497.4615384615386","3497.4615384615386","3497.4615384615386"
"76","1356.6","1356.6","1356.6","3956.5714285714284","3956.5714285714284","3956.5714285714284"
"80","1393.75","1393.75","1393.75","3339.5","3339.5","3339.5"
"84","","","","2612.7","2612.7","2612.7"
"88","","","","2643.818181818182","2643.818181818182","2643.818181818182"
"92","","","","2773.5","2773.5","2773.5"
"96","","","","3866.75","3866.75","3866.75"
