"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/GSM8k__MAX"
"0","213.70287539936103","213.70287539936103","213.70287539936103","","",""
"4","210.63766233766233","210.63766233766233","210.63766233766233","","",""
"8","231.43010752688173","231.43010752688173","231.43010752688173","","",""
"12","222.13475177304966","222.13475177304966","222.13475177304966","","",""
"16","224.45432977461448","224.45432977461448","224.45432977461448","","",""
"20","241.9697322467986","241.9697322467986","241.9697322467986","1337","1337","1337"
"24","242.3748558246828","242.3748558246828","242.3748558246828","869","869","869"
"28","291.1156462585034","291.1156462585034","291.1156462585034","1146","1146","1146"
"32","270.00341296928326","270.00341296928326","270.00341296928326","1472.409090909091","1472.409090909091","1472.409090909091"
"36","295.71843575418995","295.71843575418995","295.71843575418995","985.0608695652174","985.0608695652174","985.0608695652174"
"40","345.11995515695065","345.11995515695065","345.11995515695065","901.2974452554745","901.2974452554745","901.2974452554745"
"44","376.8314977973568","376.8314977973568","376.8314977973568","843.401179941003","843.401179941003","843.401179941003"
"48","569.446898002103","569.446898002103","569.446898002103","911.7473958333334","911.7473958333334","911.7473958333334"
"52","586.3907216494846","586.3907216494846","586.3907216494846","897.9507803121248","897.9507803121248","897.9507803121248"
"56","723.0099502487562","723.0099502487562","723.0099502487562","818.5687426556992","818.5687426556992","818.5687426556992"
"60","710.6022494887526","710.6022494887526","710.6022494887526","914.8826135105205","914.8826135105205","914.8826135105205"
"64","724.5195071868583","724.5195071868583","724.5195071868583","907.3126967471144","907.3126967471144","907.3126967471144"
"68","702.1702344546381","702.1702344546381","702.1702344546381","879.2666666666667","879.2666666666667","879.2666666666667"
"72","694.5526315789474","694.5526315789474","694.5526315789474","878.004048582996","878.004048582996","878.004048582996"
"76","671.5708289611753","671.5708289611753","671.5708289611753","942.3101711983887","942.3101711983887","942.3101711983887"
"80","580.6618784530386","580.6618784530386","580.6618784530386","922.7510204081633","922.7510204081633","922.7510204081633"
"84","","","","952.8603696098562","952.8603696098562","952.8603696098562"
"88","","","","970.9249492900609","970.9249492900609","970.9249492900609"
"92","","","","874.4989106753812","874.4989106753812","874.4989106753812"
"96","","","","770.447983014862","770.447983014862","770.447983014862"
