"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/MATH500__MAX"
"0","336.4909090909091","336.4909090909091","336.4909090909091","82","82","82"
"4","364.67934782608694","364.67934782608694","364.67934782608694","375","375","375"
"8","340.4438502673797","340.4438502673797","340.4438502673797","4330.5","4330.5","4330.5"
"12","381.3510638297872","381.3510638297872","381.3510638297872","5583.666666666667","5583.666666666667","5583.666666666667"
"16","394.9157894736842","394.9157894736842","394.9157894736842","5023.6","5023.6","5023.6"
"20","488.9516129032258","488.9516129032258","488.9516129032258","3489.285714285714","3489.285714285714","3489.285714285714"
"24","557.9530516431925","557.9530516431925","557.9530516431925","3963.28","3963.28","3963.28"
"28","648.593137254902","648.593137254902","648.593137254902","3595.1960784313724","3595.1960784313724","3595.1960784313724"
"32","565.1067961165048","565.1067961165048","565.1067961165048","2674.690476190476","2674.690476190476","2674.690476190476"
"36","722.9383259911895","722.9383259911895","722.9383259911895","2422.2272727272725","2422.2272727272725","2422.2272727272725"
"40","971.7533039647577","971.7533039647577","971.7533039647577","2099.7303370786517","2099.7303370786517","2099.7303370786517"
"44","1156.4955357142858","1156.4955357142858","1156.4955357142858","2017.0054347826087","2017.0054347826087","2017.0054347826087"
"48","1316.8969957081545","1316.8969957081545","1316.8969957081545","2086.9423076923076","2086.9423076923076","2086.9423076923076"
"52","1575.4170403587443","1575.4170403587443","1575.4170403587443","2152.2372093023255","2152.2372093023255","2152.2372093023255"
"56","1689.1201716738196","1689.1201716738196","1689.1201716738196","2100.103139013453","2100.103139013453","2100.103139013453"
"60","1686.5271966527196","1686.5271966527196","1686.5271966527196","2072.482905982906","2072.482905982906","2072.482905982906"
"64","1433.679487179487","1433.679487179487","1433.679487179487","2060.728813559322","2060.728813559322","2060.728813559322"
"68","1462.7333333333333","1462.7333333333333","1462.7333333333333","2154.587044534413","2154.587044534413","2154.587044534413"
"72","1392.549504950495","1392.549504950495","1392.549504950495","1950.2131147540983","1950.2131147540983","1950.2131147540983"
"76","1305","1305","1305","2098.3715415019765","2098.3715415019765","2098.3715415019765"
"80","1235.0324324324324","1235.0324324324324","1235.0324324324324","1981.1440329218108","1981.1440329218108","1981.1440329218108"
"84","","","","2024.2051282051282","2024.2051282051282","2024.2051282051282"
"88","","","","1926.1764705882354","1926.1764705882354","1926.1764705882354"
"92","","","","1907.0320855614973","1907.0320855614973","1907.0320855614973"
"96","","","","1892","1892","1892"
