"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","539.031746031746","539.031746031746","539.031746031746","1296.6666666666667","1296.6666666666667","1296.6666666666667"
"4","680.5151515151515","680.5151515151515","680.5151515151515","1056.25","1056.25","1056.25"
"8","669.5538461538462","669.5538461538462","669.5538461538462","916","916","916"
"12","762.6835443037975","762.6835443037975","762.6835443037975","954.5714285714286","954.5714285714286","954.5714285714286"
"16","819.7590361445783","819.7590361445783","819.7590361445783","2055","2055","2055"
"20","803.578947368421","803.578947368421","803.578947368421","1727.5238095238096","1727.5238095238096","1727.5238095238096"
"24","904.7582417582418","904.7582417582418","904.7582417582418","3159.8","3159.8","3159.8"
"28","1155.9117647058824","1155.9117647058824","1155.9117647058824","3324.515625","3324.515625","3324.515625"
"32","1371.0754716981132","1371.0754716981132","1371.0754716981132","3874.3882352941177","3874.3882352941177","3874.3882352941177"
"36","1195.0978260869565","1195.0978260869565","1195.0978260869565","4019.3440860215055","4019.3440860215055","4019.3440860215055"
"40","1518.923076923077","1518.923076923077","1518.923076923077","4422.575757575758","4422.575757575758","4422.575757575758"
"44","2156.122641509434","2156.122641509434","2156.122641509434","4373.64705882353","4373.64705882353","4373.64705882353"
"48","2606.5894736842106","2606.5894736842106","2606.5894736842106","4581.52","4581.52","4581.52"
"52","2820.108910891089","2820.108910891089","2820.108910891089","3995.27","3995.27","3995.27"
"56","2420.5151515151515","2420.5151515151515","2420.5151515151515","4314.318181818182","4314.318181818182","4314.318181818182"
"60","2311.1894736842105","2311.1894736842105","2311.1894736842105","4103.942307692308","4103.942307692308","4103.942307692308"
"64","2682.3076923076924","2682.3076923076924","2682.3076923076924","3783.415254237288","3783.415254237288","3783.415254237288"
"68","2367.3333333333335","2367.3333333333335","2367.3333333333335","3800.778761061947","3800.778761061947","3800.778761061947"
"72","2107.883116883117","2107.883116883117","2107.883116883117","3623.262711864407","3623.262711864407","3623.262711864407"
"76","2145.8333333333335","2145.8333333333335","2145.8333333333335","3371.8217054263564","3371.8217054263564","3371.8217054263564"
"80","2114.8591549295775","2114.8591549295775","2114.8591549295775","3068.97247706422","3068.97247706422","3068.97247706422"
"84","","","","2923.098039215686","2923.098039215686","2923.098039215686"
"88","","","","3270.277777777778","3270.277777777778","3270.277777777778"
"92","","","","3002.0813953488373","3002.0813953488373","3002.0813953488373"
"96","","","","3280.5522388059703","3280.5522388059703","3280.5522388059703"
