"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MAX"
"0","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517","0","0","0"
"4","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"12","0","0","0","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"16","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517","0","0","0"
"24","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517","0","0","0"
"28","0","0","0","0.011372251705837756","0.011372251705837756","0.011372251705837756","0.002274450341167551","0.002274450341167551","0.002274450341167551"
"32","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.0887035633055345","0.0887035633055345","0.0887035633055345","0.004548900682335102","0.004548900682335102","0.004548900682335102"
"36","0.015163002274450341","0.015163002274450341","0.015163002274450341","0.2987111448066717","0.2987111448066717","0.2987111448066717","0.02122820318423048","0.02122820318423048","0.02122820318423048"
"40","0.04473085670962851","0.04473085670962851","0.04473085670962851","0.5140257771038665","0.5140257771038665","0.5140257771038665","0.2259287338893101","0.2259287338893101","0.2259287338893101"
"44","0.08946171341925702","0.08946171341925702","0.08946171341925702","0.6057619408642911","0.6057619408642911","0.6057619408642911","0.33358605003790753","0.33358605003790753","0.33358605003790753"
"48","0.1463229719484458","0.1463229719484458","0.1463229719484458","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.510235026535254","0.510235026535254","0.510235026535254"
"52","0.26156178923426837","0.26156178923426837","0.26156178923426837","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.6065200909780136","0.6065200909780136","0.6065200909780136"
