"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0.002","0.002","0.002"
"4","0.004","0.004","0.004","0.002","0.002","0.002"
"8","0.004","0.004","0.004","0.008","0.008","0.008"
"12","0.008","0.008","0.008","0.006","0.006","0.006"
"16","0.008","0.008","0.008","0.012","0.012","0.012"
"20","0.016","0.016","0.016","0.022","0.022","0.022"
"24","0.044","0.044","0.044","0.062","0.062","0.062"
"28","0.068","0.068","0.068","0.09","0.09","0.09"
"32","0.098","0.098","0.098","0.112","0.112","0.112"
"36","0.128","0.128","0.128","0.14","0.14","0.14"
"40","0.158","0.158","0.158","0.172","0.172","0.172"
"44","0.162","0.162","0.162","0.198","0.198","0.198"
"48","0.204","0.204","0.204","0.236","0.236","0.236"
"52","0.216","0.216","0.216","0.286","0.286","0.286"
"56","0.222","0.222","0.222","0.324","0.324","0.324"
"60","0.252","0.252","0.252","0.356","0.356","0.356"
"64","0.234","0.234","0.234","0.314","0.314","0.314"
"68","0.246","0.246","0.246","0.322","0.322","0.322"
"72","0.266","0.266","0.266","0.308","0.308","0.308"
"76","0.288","0.288","0.288","0.31","0.31","0.31"
"80","0.278","0.278","0.278","0.324","0.324","0.324"
"84","0.264","0.264","0.264","0.324","0.324","0.324"
"88","0.292","0.292","0.292","0.338","0.338","0.338"
"92","0.3","0.3","0.3","0.336","0.336","0.336"
"96","0.306","0.306","0.306","0.326","0.326","0.326"
"100","0.302","0.302","0.302","0.348","0.348","0.348"
"104","0.306","0.306","0.306","0.342","0.342","0.342"
"108","0.304","0.304","0.304","0.33","0.33","0.33"
"112","0.318","0.318","0.318","0.346","0.346","0.346"
"116","0.312","0.312","0.312","0.342","0.342","0.342"
"120","0.326","0.326","0.326","0.346","0.346","0.346"
"124","0.346","0.346","0.346","0.344","0.344","0.344"
"128","0.328","0.328","0.328","0.336","0.336","0.336"
"132","0.334","0.334","0.334","0.346","0.346","0.346"
"136","0.344","0.344","0.344","0.326","0.326","0.326"
"140","0.322","0.322","0.322","0.314","0.314","0.314"
"144","0.312","0.312","0.312","0.34","0.34","0.34"
"148","0.324","0.324","0.324","0.338","0.338","0.338"
"152","0.344","0.344","0.344","0.344","0.344","0.344"
"156","0.356","0.356","0.356","0.342","0.342","0.342"
"160","0.356","0.356","0.356","0.344","0.344","0.344"
"164","0.348","0.348","0.348","0.36","0.36","0.36"
"168","0.346","0.346","0.346","0.356","0.356","0.356"
"172","0.328","0.328","0.328","0.358","0.358","0.358"
"176","0.336","0.336","0.336","0.35","0.35","0.35"
"180","0.336","0.336","0.336","0.354","0.354","0.354"
"184","0.344","0.344","0.344","0.34","0.34","0.34"
"188","0.352","0.352","0.352","0.37","0.37","0.37"
"192","0.336","0.336","0.336","0.354","0.354","0.354"
"196","0.334","0.334","0.334","0.358","0.358","0.358"
"200","0.354","0.354","0.354","0.362","0.362","0.362"
"204","0.346","0.346","0.346","0.368","0.368","0.368"
"208","0.356","0.356","0.356","0.356","0.356","0.356"
"212","0.338","0.338","0.338","0.358","0.358","0.358"
"216","0.352","0.352","0.352","0.368","0.368","0.368"
"220","0.352","0.352","0.352","0.348","0.348","0.348"
"224","0.35","0.35","0.35","0.35","0.35","0.35"
"228","0.346","0.346","0.346","0.346","0.346","0.346"
"232","0.332","0.332","0.332","0.366","0.366","0.366"
"236","0.336","0.336","0.336","","",""
"240","0.33","0.33","0.33","","",""
"244","0.356","0.356","0.356","","",""
"248","0.36","0.36","0.36","","",""
"252","0.324","0.324","0.324","","",""
"256","0.346","0.346","0.346","","",""
