"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23__MAX"
"0","0","0","0","0","0","0"
"4","0.025","0.025","0.025","0","0","0"
"8","0.05","0.05","0.05","0","0","0"
"12","0.05","0.05","0.05","0","0","0"
"16","0.05","0.05","0.05","0.025","0.025","0.025"
"20","0.05","0.05","0.05","0.025","0.025","0.025"
"24","0.025","0.025","0.025","0.025","0.025","0.025"
"28","0.125","0.125","0.125","0.05","0.05","0.05"
"32","0.1","0.1","0.1","0.05","0.05","0.05"
"36","0.1","0.1","0.1","0.05","0.05","0.05"
"40","0.1","0.1","0.1","0.05","0.05","0.05"
"44","0.15","0.15","0.15","0.05","0.05","0.05"
"48","0.15","0.15","0.15","0.075","0.075","0.075"
"52","0.15","0.15","0.15","0.1","0.1","0.1"
"56","0.125","0.125","0.125","0.125","0.125","0.125"
"60","0.125","0.125","0.125","0.1","0.1","0.1"
"64","0.05","0.05","0.05","0.075","0.075","0.075"
"68","0.1","0.1","0.1","0.1","0.1","0.1"
"72","0.125","0.125","0.125","0.15","0.15","0.15"
"76","0.15","0.15","0.15","0.15","0.15","0.15"
"80","0.15","0.15","0.15","0.15","0.15","0.15"
"84","0.075","0.075","0.075","0.15","0.15","0.15"
"88","0.1","0.1","0.1","0.15","0.15","0.15"
"92","0.075","0.075","0.075","0.15","0.15","0.15"
"96","0.1","0.1","0.1","0.125","0.125","0.125"
"100","0.175","0.175","0.175","0.15","0.15","0.15"
"104","0.2","0.2","0.2","0.1","0.1","0.1"
"108","0.15","0.15","0.15","0.125","0.125","0.125"
"112","0.125","0.125","0.125","0.15","0.15","0.15"
"116","0.125","0.125","0.125","0.2","0.2","0.2"
"120","0.1","0.1","0.1","0.1","0.1","0.1"
"124","0.175","0.175","0.175","0.075","0.075","0.075"
"128","0.175","0.175","0.175","0.125","0.125","0.125"
"132","0.175","0.175","0.175","0.1","0.1","0.1"
"136","0.2","0.2","0.2","0.1","0.1","0.1"
"140","0.15","0.15","0.15","0.075","0.075","0.075"
"144","0.175","0.175","0.175","0.15","0.15","0.15"
"148","0.2","0.2","0.2","0.15","0.15","0.15"
"152","0.175","0.175","0.175","0.125","0.125","0.125"
"156","0.15","0.15","0.15","0.15","0.15","0.15"
"160","0.175","0.175","0.175","0.15","0.15","0.15"
"164","0.175","0.175","0.175","0.075","0.075","0.075"
"168","0.175","0.175","0.175","0.175","0.175","0.175"
"172","0.15","0.15","0.15","0.125","0.125","0.125"
"176","0.125","0.125","0.125","0.1","0.1","0.1"
"180","0.125","0.125","0.125","0.1","0.1","0.1"
"184","0.1","0.1","0.1","0.125","0.125","0.125"
"188","0.15","0.15","0.15","0.125","0.125","0.125"
"192","0.05","0.05","0.05","0.15","0.15","0.15"
"196","0.1","0.1","0.1","0.175","0.175","0.175"
"200","0.15","0.15","0.15","0.125","0.125","0.125"
"204","0.15","0.15","0.15","0.125","0.125","0.125"
"208","0.15","0.15","0.15","0.125","0.125","0.125"
"212","0.175","0.175","0.175","0.15","0.15","0.15"
"216","0.125","0.125","0.125","0.125","0.125","0.125"
"220","0.125","0.125","0.125","0.1","0.1","0.1"
"224","0.125","0.125","0.125","0.125","0.125","0.125"
"228","0.125","0.125","0.125","0.15","0.15","0.15"
"232","0.175","0.175","0.175","0.175","0.175","0.175"
"236","0.1","0.1","0.1","","",""
"240","0.075","0.075","0.075","","",""
"244","0.175","0.175","0.175","","",""
"248","0.05","0.05","0.05","","",""
"252","0.075","0.075","0.075","","",""
"256","0.15","0.15","0.15","","",""
