"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","","","","10","10","10"
"4","","","","194.5","194.5","194.5"
"8","","","","7.5","7.5","7.5"
"12","7","7","7","55","55","55"
"16","8","8","8","86.71428571428571","86.71428571428571","86.71428571428571"
"20","22.142857142857142","22.142857142857142","22.142857142857142","656.0714285714286","656.0714285714286","656.0714285714286"
"24","482.3333333333333","482.3333333333333","482.3333333333333","185.82758620689654","185.82758620689654","185.82758620689654"
"28","746.95","746.95","746.95","200.1627906976744","200.1627906976744","200.1627906976744"
"32","484.22727272727275","484.22727272727275","484.22727272727275","430.1875","430.1875","430.1875"
"36","216.41463414634146","216.41463414634146","216.41463414634146","128.71153846153845","128.71153846153845","128.71153846153845"
"40","103.44680851063829","103.44680851063829","103.44680851063829","49.31372549019608","49.31372549019608","49.31372549019608"
"44","195.13333333333333","195.13333333333333","195.13333333333333","92.32075471698113","92.32075471698113","92.32075471698113"
"48","215.29545454545453","215.29545454545453","215.29545454545453","314.2295081967213","314.2295081967213","314.2295081967213"
"52","36.97560975609756","36.97560975609756","36.97560975609756","413.6190476190476","413.6190476190476","413.6190476190476"
"56","240.76190476190476","240.76190476190476","240.76190476190476","427.5238095238095","427.5238095238095","427.5238095238095"
"60","546.3023255813954","546.3023255813954","546.3023255813954","697.3275862068965","697.3275862068965","697.3275862068965"
"64","565.7021276595744","565.7021276595744","565.7021276595744","743.1060606060606","743.1060606060606","743.1060606060606"
"68","798.7333333333333","798.7333333333333","798.7333333333333","762.3","762.3","762.3"
"72","622.1428571428571","622.1428571428571","622.1428571428571","839.3809523809524","839.3809523809524","839.3809523809524"
"76","528.9183673469388","528.9183673469388","528.9183673469388","762.4920634920635","762.4920634920635","762.4920634920635"
"80","452.8125","452.8125","452.8125","738.4285714285714","738.4285714285714","738.4285714285714"
"84","318.7241379310345","318.7241379310345","318.7241379310345","733.72","733.72","733.72"
"88","283.4925373134328","283.4925373134328","283.4925373134328","784.955223880597","784.955223880597","784.955223880597"
"92","221.41666666666666","221.41666666666666","221.41666666666666","815.7014925373135","815.7014925373135","815.7014925373135"
"96","269.296875","269.296875","269.296875","842.375","842.375","842.375"
