"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MAX"
"0","5","5","5","5","5","5"
"4","51.5","51.5","51.5","5","5","5"
"8","51.5","51.5","51.5","216.25","216.25","216.25"
"12","28.25","28.25","28.25","341","341","341"
"16","80.5","80.5","80.5","263.3333333333333","263.3333333333333","263.3333333333333"
"20","51.375","51.375","51.375","244.45454545454547","244.45454545454547","244.45454545454547"
"24","89.18181818181819","89.18181818181819","89.18181818181819","582.1612903225806","582.1612903225806","582.1612903225806"
"28","410.02941176470586","410.02941176470586","410.02941176470586","807.9777777777778","807.9777777777778","807.9777777777778"
"32","556.1632653061224","556.1632653061224","556.1632653061224","669.5714285714286","669.5714285714286","669.5714285714286"
"36","407.84375","407.84375","407.84375","620.1571428571428","620.1571428571428","620.1571428571428"
"40","142.86075949367088","142.86075949367088","142.86075949367088","340.04651162790697","340.04651162790697","340.04651162790697"
"44","287.8888888888889","287.8888888888889","287.8888888888889","324.6868686868687","324.6868686868687","324.6868686868687"
"48","264.80392156862746","264.80392156862746","264.80392156862746","361.77966101694915","361.77966101694915","361.77966101694915"
"52","452.6296296296296","452.6296296296296","452.6296296296296","267.993006993007","267.993006993007","267.993006993007"
"56","507.15315315315314","507.15315315315314","507.15315315315314","344.641975308642","344.641975308642","344.641975308642"
"60","555.5952380952381","555.5952380952381","555.5952380952381","407.42134831460675","407.42134831460675","407.42134831460675"
"64","527.042735042735","527.042735042735","527.042735042735","386.97452229299364","386.97452229299364","386.97452229299364"
"68","763.9430894308944","763.9430894308944","763.9430894308944","458.3105590062112","458.3105590062112","458.3105590062112"
"72","538.1127819548872","538.1127819548872","538.1127819548872","431.02597402597405","431.02597402597405","431.02597402597405"
"76","455.9861111111111","455.9861111111111","455.9861111111111","428.8451612903226","428.8451612903226","428.8451612903226"
"80","371","371","371","442.2716049382716","442.2716049382716","442.2716049382716"
"84","248.02272727272728","248.02272727272728","248.02272727272728","433.87654320987656","433.87654320987656","433.87654320987656"
"88","279.041095890411","279.041095890411","279.041095890411","435.50887573964496","435.50887573964496","435.50887573964496"
"92","299.7866666666667","299.7866666666667","299.7866666666667","445.6666666666667","445.6666666666667","445.6666666666667"
"96","230.98692810457516","230.98692810457516","230.98692810457516","428.1717791411043","428.1717791411043","428.1717791411043"
"100","232.56953642384107","232.56953642384107","232.56953642384107","461.37931034482756","461.37931034482756","461.37931034482756"
"104","292.9934640522876","292.9934640522876","292.9934640522876","514.5029239766081","514.5029239766081","514.5029239766081"
"108","230.7565789473684","230.7565789473684","230.7565789473684","526.1151515151515","526.1151515151515","526.1151515151515"
"112","282.9937106918239","282.9937106918239","282.9937106918239","527.2080924855492","527.2080924855492","527.2080924855492"
"116","223.71153846153845","223.71153846153845","223.71153846153845","541.0175438596491","541.0175438596491","541.0175438596491"
"120","230.7361963190184","230.7361963190184","230.7361963190184","510.485549132948","510.485549132948","510.485549132948"
"124","272.4971098265896","272.4971098265896","272.4971098265896","470.69767441860466","470.69767441860466","470.69767441860466"
"128","245.46341463414635","245.46341463414635","245.46341463414635","505.73809523809524","505.73809523809524","505.73809523809524"
"132","227.4251497005988","227.4251497005988","227.4251497005988","612.7514450867052","612.7514450867052","612.7514450867052"
"136","284.13953488372096","284.13953488372096","284.13953488372096","523.361963190184","523.361963190184","523.361963190184"
"140","257.9875776397516","257.9875776397516","257.9875776397516","499.1528662420382","499.1528662420382","499.1528662420382"
"144","279.20512820512823","279.20512820512823","279.20512820512823","630.1411764705882","630.1411764705882","630.1411764705882"
