"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MAX"
"8","","","","90","90","90"
"12","","","","90","90","90"
"28","","","","239.66666666666666","239.66666666666666","239.66666666666666"
"32","108","108","108","254.66666666666666","254.66666666666666","254.66666666666666"
"36","534.05","534.05","534.05","183.25","183.25","183.25"
"40","182.05084745762713","182.05084745762713","182.05084745762713","232.4765100671141","232.4765100671141","232.4765100671141"
"44","285.6525423728813","285.6525423728813","285.6525423728813","237.5772727272727","237.5772727272727","237.5772727272727"
"48","174.21243523316062","174.21243523316062","174.21243523316062","199.27934621099556","199.27934621099556","199.27934621099556"
"52","227.27246376811595","227.27246376811595","227.27246376811595","207.4775","207.4775","207.4775"
"56","241.01202404809618","241.01202404809618","241.01202404809618","215.8643216080402","215.8643216080402","215.8643216080402"
"60","249.82363315696648","249.82363315696648","249.82363315696648","211.31930693069307","211.31930693069307","211.31930693069307"
"64","298.25728155339806","298.25728155339806","298.25728155339806","219.8288508557457","219.8288508557457","219.8288508557457"
"68","351.19174041297936","351.19174041297936","351.19174041297936","222.56341463414634","222.56341463414634","222.56341463414634"
"72","288.72578444747614","288.72578444747614","288.72578444747614","225.0084541062802","225.0084541062802","225.0084541062802"
"76","187.1718120805369","187.1718120805369","187.1718120805369","232.93961352657004","232.93961352657004","232.93961352657004"
"80","165.73257287705957","165.73257287705957","165.73257287705957","232.49406175771972","232.49406175771972","232.49406175771972"
"84","135.59948979591837","135.59948979591837","135.59948979591837","221.21848739495798","221.21848739495798","221.21848739495798"
"88","143.76381909547737","143.76381909547737","143.76381909547737","231.75352112676057","231.75352112676057","231.75352112676057"
"92","142.96139476961395","142.96139476961395","142.96139476961395","235.16883116883116","235.16883116883116","235.16883116883116"
"96","145.389486260454","145.389486260454","145.389486260454","222.13216374269007","222.13216374269007","222.13216374269007"
"100","159.23424494649228","159.23424494649228","159.23424494649228","218.75263774912074","218.75263774912074","218.75263774912074"
"104","171.2794292508918","171.2794292508918","171.2794292508918","249.59761904761905","249.59761904761905","249.59761904761905"
"108","160.53623188405797","160.53623188405797","160.53623188405797","249.83333333333334","249.83333333333334","249.83333333333334"
"112","144.17995169082127","144.17995169082127","144.17995169082127","232.34470158343484","232.34470158343484","232.34470158343484"
"116","150.49940546967895","150.49940546967895","150.49940546967895","265.34149184149186","265.34149184149186","265.34149184149186"
"120","146.03533568904592","146.03533568904592","146.03533568904592","266.0126291618829","266.0126291618829","266.0126291618829"
"124","144.78307508939213","144.78307508939213","144.78307508939213","245.18150289017342","245.18150289017342","245.18150289017342"
"128","147.93509615384616","147.93509615384616","147.93509615384616","244.94324631101023","244.94324631101023","244.94324631101023"
"132","147.70760233918128","147.70760233918128","147.70760233918128","234.73387096774192","234.73387096774192","234.73387096774192"
"136","141.55516014234877","141.55516014234877","141.55516014234877","242.90362811791383","242.90362811791383","242.90362811791383"
"140","138.698224852071","138.698224852071","138.698224852071","239.3348729792148","239.3348729792148","239.3348729792148"
"144","150.9266589057043","150.9266589057043","150.9266589057043","258.82548794489094","258.82548794489094","258.82548794489094"
"148","152.5143184421535","152.5143184421535","152.5143184421535","256.9047619047619","256.9047619047619","256.9047619047619"
"152","144.25514874141876","144.25514874141876","144.25514874141876","271.2156862745098","271.2156862745098","271.2156862745098"
"156","146.52981651376146","146.52981651376146","146.52981651376146","278.6369785794814","278.6369785794814","278.6369785794814"
"160","147.86651583710406","147.86651583710406","147.86651583710406","271.69933184855233","271.69933184855233","271.69933184855233"
"164","154.2541993281075","154.2541993281075","154.2541993281075","263.60091220068415","263.60091220068415","263.60091220068415"
"168","153.9362912400455","153.9362912400455","153.9362912400455","272.45912653975364","272.45912653975364","272.45912653975364"
"172","165.98637911464246","165.98637911464246","165.98637911464246","271.25730337078653","271.25730337078653","271.25730337078653"
"176","160.6211251435132","160.6211251435132","160.6211251435132","278.24724061810156","278.24724061810156","278.24724061810156"
"180","149.5752625437573","149.5752625437573","149.5752625437573","270.49721293199553","270.49721293199553","270.49721293199553"
"184","150.72280701754386","150.72280701754386","150.72280701754386","281.9863325740319","281.9863325740319","281.9863325740319"
"188","161.40500568828213","161.40500568828213","161.40500568828213","268.1465909090909","268.1465909090909","268.1465909090909"
"192","153.71774193548387","153.71774193548387","153.71774193548387","287.76168757126567","287.76168757126567","287.76168757126567"
"196","149.94171428571428","149.94171428571428","149.94171428571428","284.2312072892939","284.2312072892939","284.2312072892939"
"200","147.9738041002278","147.9738041002278","147.9738041002278","266.35600907029476","266.35600907029476","266.35600907029476"
"204","146.74161073825502","146.74161073825502","146.74161073825502","293.76801801801804","293.76801801801804","293.76801801801804"
"208","152.84396355353076","152.84396355353076","152.84396355353076","289.93333333333334","289.93333333333334","289.93333333333334"
"212","145.4067415730337","145.4067415730337","145.4067415730337","301.24888392857144","301.24888392857144","301.24888392857144"
"216","146.84375","146.84375","146.84375","291.52457142857145","291.52457142857145","291.52457142857145"
"220","143.65750286368842","143.65750286368842","143.65750286368842","278.75654152445964","278.75654152445964","278.75654152445964"
"224","145.7232346241458","145.7232346241458","145.7232346241458","295.7646408839779","295.7646408839779","295.7646408839779"
"228","159.54370034052212","159.54370034052212","159.54370034052212","300.88035126234905","300.88035126234905","300.88035126234905"
"232","151.72480181200453","151.72480181200453","151.72480181200453","314.1742006615215","314.1742006615215","314.1742006615215"
"236","149.24067796610169","149.24067796610169","149.24067796610169","","",""
"240","151.97058823529412","151.97058823529412","151.97058823529412","","",""
"244","145.87721238938053","145.87721238938053","145.87721238938053","","",""
"248","153.20575221238937","153.20575221238937","153.20575221238937","","",""
"252","155.74690663667042","155.74690663667042","155.74690663667042","","",""
"256","149.28932261768082","149.28932261768082","149.28932261768082","","",""
