"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23__MAX"
"4","5","5","5","","",""
"8","6","6","6","","",""
"12","6","6","6","","",""
"16","6","6","6","189","189","189"
"20","6","6","6","4096","4096","4096"
"24","7","7","7","426","426","426"
"28","62","62","62","166.5","166.5","166.5"
"32","37.25","37.25","37.25","261.5","261.5","261.5"
"36","33","33","33","265.5","265.5","265.5"
"40","39","39","39","906.5","906.5","906.5"
"44","75.33333333333333","75.33333333333333","75.33333333333333","2168","2168","2168"
"48","760.5","760.5","760.5","1510","1510","1510"
"52","1457.5","1457.5","1457.5","1205","1205","1205"
"56","897","897","897","353.8","353.8","353.8"
"60","237.2","237.2","237.2","398.5","398.5","398.5"
"64","268.5","268.5","268.5","467.6666666666667","467.6666666666667","467.6666666666667"
"68","1214.25","1214.25","1214.25","309","309","309"
"72","1069.2","1069.2","1069.2","322.3333333333333","322.3333333333333","322.3333333333333"
"76","916.5","916.5","916.5","362.5","362.5","362.5"
"80","932","932","932","588.5","588.5","588.5"
"84","299","299","299","916.8333333333334","916.8333333333334","916.8333333333334"
"88","391.5","391.5","391.5","533.1666666666666","533.1666666666666","533.1666666666666"
"92","335.6666666666667","335.6666666666667","335.6666666666667","976","976","976"
"96","1212.5","1212.5","1212.5","405.8","405.8","405.8"
"100","310.42857142857144","310.42857142857144","310.42857142857144","696.3333333333334","696.3333333333334","696.3333333333334"
"104","342.75","342.75","342.75","463.75","463.75","463.75"
"108","523.8333333333334","523.8333333333334","523.8333333333334","1575","1575","1575"
"112","380.8","380.8","380.8","471.6666666666667","471.6666666666667","471.6666666666667"
"116","390.2","390.2","390.2","981.375","981.375","981.375"
"120","216.75","216.75","216.75","1292.75","1292.75","1292.75"
"124","937.5714285714286","937.5714285714286","937.5714285714286","1655","1655","1655"
"128","325.57142857142856","325.57142857142856","325.57142857142856","968.4","968.4","968.4"
"132","312.7142857142857","312.7142857142857","312.7142857142857","1458.75","1458.75","1458.75"
"136","185","185","185","2184","2184","2184"
"140","198.83333333333334","198.83333333333334","198.83333333333334","415","415","415"
"144","241.14285714285714","241.14285714285714","241.14285714285714","416.6666666666667","416.6666666666667","416.6666666666667"
"148","365.5","365.5","365.5","891","891","891"
"152","878.7142857142857","878.7142857142857","878.7142857142857","464","464","464"
"156","840.5","840.5","840.5","730.8333333333334","730.8333333333334","730.8333333333334"
"160","321.2857142857143","321.2857142857143","321.2857142857143","596","596","596"
"164","262.57142857142856","262.57142857142856","262.57142857142856","582","582","582"
"168","222","222","222","677.8571428571429","677.8571428571429","677.8571428571429"
"172","424.6666666666667","424.6666666666667","424.6666666666667","1602.4","1602.4","1602.4"
"176","307","307","307","1297","1297","1297"
"180","368.6","368.6","368.6","655.75","655.75","655.75"
"184","404.5","404.5","404.5","524","524","524"
"188","593","593","593","595.6","595.6","595.6"
"192","225","225","225","397.1666666666667","397.1666666666667","397.1666666666667"
"196","384.75","384.75","384.75","615.1428571428571","615.1428571428571","615.1428571428571"
"200","633","633","633","480","480","480"
"204","198.16666666666666","198.16666666666666","198.16666666666666","590.8","590.8","590.8"
"208","308.1666666666667","308.1666666666667","308.1666666666667","902.6","902.6","902.6"
"212","429","429","429","690","690","690"
"216","267","267","267","780.2","780.2","780.2"
"220","290.8","290.8","290.8","308.75","308.75","308.75"
"224","537","537","537","901","901","901"
"228","301","301","301","1497.8333333333333","1497.8333333333333","1497.8333333333333"
"232","296.57142857142856","296.57142857142856","296.57142857142856","992.4285714285714","992.4285714285714","992.4285714285714"
"236","403.75","403.75","403.75","","",""
"240","318.6666666666667","318.6666666666667","318.6666666666667","","",""
"244","574","574","574","","",""
"248","446.5","446.5","446.5","","",""
"252","304.3333333333333","304.3333333333333","304.3333333333333","","",""
"256","421.8333333333333","421.8333333333333","421.8333333333333","","",""
