"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MAX"
"120","0.416","0.416","0.416"
"124","0.41","0.41","0.41"
"128","0.412","0.412","0.412"
"132","0.394","0.394","0.394"
"136","0.426","0.426","0.426"
"140","0.402","0.402","0.402"
"144","0.38","0.38","0.38"
"148","0.408","0.408","0.408"
"152","0.408","0.408","0.408"
"156","0.436","0.436","0.436"
"160","0.406","0.406","0.406"
"164","0.416","0.408","0.424"
"168","0.416","0.41","0.422"
"172","0.416","0.416","0.416"
"176","0.426","0.426","0.426"
"180","0.392","0.392","0.392"
"184","0.432","0.432","0.432"
"188","0.414","0.414","0.414"
"192","0.42","0.42","0.42"
"196","0.426","0.426","0.426"
