"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MAX"
"120","2707","2707","2707"
"124","1854.1666666666667","1854.1666666666667","1854.1666666666667"
"128","2207.75","2207.75","2207.75"
"132","1900.875","1900.875","1900.875"
"136","1843.5555555555557","1843.5555555555557","1843.5555555555557"
"140","1980","1980","1980"
"144","2027","2027","2027"
"148","2009","2009","2009"
"152","2267.3636363636365","2267.3636363636365","2267.3636363636365"
"156","816.8","816.8","816.8"
"160","1842.8333333333333","1842.8333333333333","1842.8333333333333"
"164","2011.9375","1978.5","2045.375"
"168","2036.1944444444443","1541.888888888889","2530.5"
"172","2305.6666666666665","2305.6666666666665","2305.6666666666665"
"176","2208.8","2208.8","2208.8"
"180","2472","2472","2472"
"184","2202.8","2202.8","2202.8"
"188","2754.8571428571427","2754.8571428571427","2754.8571428571427"
"192","2636","2636","2636"
"196","3373.25","3373.25","3373.25"
