"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MAX"
"120","1590.791724137931","1590.791724137931","1590.791724137931"
"124","1609.2281420765028","1609.2281420765028","1609.2281420765028"
"128","1772.641095890411","1772.641095890411","1772.641095890411"
"132","1803.818431911967","1803.818431911967","1803.818431911967"
"136","1360.5767123287671","1360.5767123287671","1360.5767123287671"
"140","1102.8319672131147","1102.8319672131147","1102.8319672131147"
"144","981.096256684492","981.096256684492","981.096256684492"
"148","1057.8905817174516","1057.8905817174516","1057.8905817174516"
"152","1056.8422459893047","1056.8422459893047","1056.8422459893047"
"156","1026.6891534391534","1026.6891534391534","1026.6891534391534"
"160","1002.5991902834008","1002.5991902834008","1002.5991902834008"
"164","950.8078192133918","861.9043250327654","1039.7113133940181"
"168","1042.407548780931","1006.6657824933687","1078.1493150684933"
"172","1073.708609271523","1073.708609271523","1073.708609271523"
"176","955.6167108753316","955.6167108753316","955.6167108753316"
"180","844.2493224932249","844.2493224932249","844.2493224932249"
"184","936.5865257595773","936.5865257595773","936.5865257595773"
"188","987.5913838120105","987.5913838120105","987.5913838120105"
"192","1090.0559895833333","1090.0559895833333","1090.0559895833333"
"196","1225.870249017038","1225.870249017038","1225.870249017038"
