"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MAX"
"120","1745.2884615384614","1745.2884615384614","1745.2884615384614"
"124","1941.4829268292683","1941.4829268292683","1941.4829268292683"
"128","1886.6844660194174","1886.6844660194174","1886.6844660194174"
"132","1981.4670050761422","1981.4670050761422","1981.4670050761422"
"136","1623.7605633802816","1623.7605633802816","1623.7605633802816"
"140","1588.3333333333333","1588.3333333333333","1588.3333333333333"
"144","1447.3052631578948","1447.3052631578948","1447.3052631578948"
"148","1569.1666666666667","1569.1666666666667","1569.1666666666667"
"152","1597.2058823529412","1597.2058823529412","1597.2058823529412"
"156","1408.8119266055046","1408.8119266055046","1408.8119266055046"
"160","1450.9310344827586","1450.9310344827586","1450.9310344827586"
"164","1459.9640214576398","1380.0931372549019","1539.8349056603774"
"168","1477.788128540053","1381.9317073170732","1573.6445497630332"
"172","1386.201923076923","1386.201923076923","1386.201923076923"
"176","1528.3615023474179","1528.3615023474179","1528.3615023474179"
"180","1163.7448979591836","1163.7448979591836","1163.7448979591836"
"184","1415.9027777777778","1415.9027777777778","1415.9027777777778"
"188","1391.4009661835748","1391.4009661835748","1391.4009661835748"
"192","1475.7619047619048","1475.7619047619048","1475.7619047619048"
"196","1469.3474178403756","1469.3474178403756","1469.3474178403756"
