"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MAX"
"120","2490.2978723404253","2490.2978723404253","2490.2978723404253"
"124","2371.5","2371.5","2371.5"
"128","2705.6330275229357","2705.6330275229357","2705.6330275229357"
"132","2591.098039215686","2591.098039215686","2591.098039215686"
"136","2282.90625","2282.90625","2282.90625"
"140","2169.5309734513276","2169.5309734513276","2169.5309734513276"
"144","2394.1009174311926","2394.1009174311926","2394.1009174311926"
"148","2173.688679245283","2173.688679245283","2173.688679245283"
"152","2222.2056074766356","2222.2056074766356","2222.2056074766356"
"156","2078","2078","2078"
"160","2203.196261682243","2203.196261682243","2203.196261682243"
"164","2189.4747474747473","2121.2272727272725","2257.722222222222"
"168","2225.6582461786","2088.0619469026547","2363.2545454545457"
"172","2117.091743119266","2117.091743119266","2117.091743119266"
"176","2234.8867924528304","2234.8867924528304","2234.8867924528304"
"180","1921.5688073394494","1921.5688073394494","1921.5688073394494"
"184","2099.4690265486724","2099.4690265486724","2099.4690265486724"
"188","1997.282258064516","1997.282258064516","1997.282258064516"
"192","2126.51","2126.51","2126.51"
"196","2180.2169811320755","2180.2169811320755","2180.2169811320755"
