"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/AMC23","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/AMC23__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/AMC23","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/AMC23__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/AMC23__MAX"
"0","0","0","0","0.1","0.1","0.1"
"4","0","0","0","0.15","0.15","0.15"
"8","0","0","0","0.175","0.175","0.175"
"12","0","0","0","0.3","0.3","0.3"
"16","0","0","0","0.375","0.375","0.375"
"20","0","0","0","0.475","0.475","0.475"
"24","0","0","0","0.45","0.45","0.45"
"28","0","0","0","0.45","0.45","0.45"
"32","0","0","0","0.425","0.425","0.425"
"36","0","0","0","0.425","0.425","0.425"
"40","0","0","0","0.425","0.425","0.425"
"44","0","0","0","0.35","0.35","0.35"
"48","0","0","0","0.35","0.35","0.35"
"52","0","0","0","0.325","0.325","0.325"
"56","0","0","0","0.325","0.325","0.325"
"60","0.025","0.025","0.025","0.3","0.3","0.3"
"64","0.05","0.05","0.05","0.3","0.3","0.3"
"68","0.025","0.025","0.025","0.275","0.275","0.275"
"72","0.025","0.025","0.025","0.325","0.325","0.325"
"76","0.075","0.075","0.075","0.425","0.425","0.425"
"80","0.075","0.075","0.075","0.375","0.375","0.375"
"84","0.05","0.05","0.05","0.35","0.35","0.35"
"88","0.05","0.05","0.05","0.325","0.325","0.325"
"92","0.025","0.025","0.025","0.35","0.35","0.35"
"96","0.05","0.05","0.05","0.4","0.4","0.4"
"100","0.025","0.025","0.025","0.425","0.425","0.425"
"104","0.025","0.025","0.025","0.4","0.4","0.4"
"108","0.05","0.05","0.05","0.45","0.45","0.45"
"112","0.025","0.025","0.025","0.375","0.375","0.375"
"116","0.025","0.025","0.025","0.325","0.325","0.325"
"120","0.05","0.05","0.05","0.425","0.425","0.425"
"124","0.075","0.075","0.075","0.375","0.375","0.375"
"128","0.075","0.075","0.075","0.375","0.375","0.375"
"132","0.075","0.075","0.075","0.3","0.3","0.3"
"136","0.075","0.075","0.075","0.35","0.35","0.35"
"140","0.075","0.075","0.075","0.4","0.4","0.4"
"144","0.05","0.05","0.05","0.35","0.35","0.35"
"148","0.05","0.05","0.05","0.425","0.425","0.425"
"152","0.075","0.075","0.075","0.425","0.425","0.425"
"156","0.075","0.075","0.075","0.5","0.5","0.5"
"160","0.1","0.1","0.1","0.425","0.425","0.425"
"164","0.1","0.1","0.1","0.4","0.4","0.4"
"168","0.075","0.075","0.075","0.375","0.375","0.375"
"172","0.1","0.1","0.1","0.4","0.4","0.4"
"176","0.075","0.075","0.075","0.425","0.425","0.425"
"180","0.075","0.075","0.075","0.425","0.425","0.425"
"184","0.1","0.1","0.1","0.45","0.45","0.45"
"188","0.1","0.1","0.1","0.45","0.45","0.45"
"192","0.1","0.1","0.1","0.4","0.4","0.4"
"196","0.075","0.075","0.075","0.475","0.475","0.475"
"200","0.1","0.1","0.1","0.525","0.525","0.525"
"204","0.075","0.075","0.075","0.425","0.425","0.425"
"208","0.075","0.075","0.075","0.475","0.475","0.475"
"212","0.075","0.075","0.075","0.35","0.35","0.35"
"216","0.1","0.1","0.1","0.4","0.4","0.4"
"220","0.1","0.1","0.1","0.325","0.325","0.325"
"224","0.1","0.1","0.1","0.375","0.375","0.375"
"228","","","","0.4","0.4","0.4"
"232","","","","0.425","0.425","0.425"
"236","","","","0.4","0.4","0.4"
"240","","","","0.45","0.45","0.45"
"244","","","","0.4","0.4","0.4"
"248","","","","0.375","0.375","0.375"
"252","","","","0.4","0.4","0.4"
"256","","","","0.475","0.475","0.475"
"260","","","","0.475","0.475","0.475"
"264","","","","0.45","0.45","0.45"
"268","","","","0.475","0.475","0.475"
"272","","","","0.525","0.525","0.525"
"276","","","","0.425","0.425","0.425"
"280","","","","0.375","0.375","0.375"
"284","","","","0.4","0.4","0.4"
"288","","","","0.45","0.45","0.45"
"292","","","","0.425","0.425","0.425"
"296","","","","0.35","0.35","0.35"
"300","","","","0.4","0.4","0.4"
