"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/MATH500","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/MATH500__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/MATH500","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/MATH500__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/MATH500__MAX"
"0","0","0","0","0.142","0.142","0.142"
"4","0","0","0","0.176","0.176","0.176"
"8","0","0","0","0.262","0.262","0.262"
"12","0","0","0","0.454","0.454","0.454"
"16","0","0","0","0.534","0.534","0.534"
"20","0","0","0","0.582","0.582","0.582"
"24","0","0","0","0.594","0.594","0.594"
"28","0.004","0.004","0.004","0.596","0.596","0.596"
"32","0.006","0.006","0.006","0.624","0.624","0.624"
"36","0.006","0.006","0.006","0.608","0.608","0.608"
"40","0.012","0.012","0.012","0.632","0.632","0.632"
"44","0.012","0.012","0.012","0.626","0.626","0.626"
"48","0.01","0.01","0.01","0.614","0.614","0.614"
"52","0.012","0.012","0.012","0.62","0.62","0.62"
"56","0.032","0.032","0.032","0.61","0.61","0.61"
"60","0.032","0.032","0.032","0.61","0.61","0.61"
"64","0.058","0.058","0.058","0.622","0.622","0.622"
"68","0.052","0.052","0.052","0.634","0.634","0.634"
"72","0.064","0.064","0.064","0.632","0.632","0.632"
"76","0.064","0.064","0.064","0.618","0.618","0.618"
"80","0.078","0.078","0.078","0.624","0.624","0.624"
"84","0.072","0.072","0.072","0.622","0.622","0.622"
"88","0.084","0.084","0.084","0.634","0.634","0.634"
"92","0.086","0.086","0.086","0.644","0.644","0.644"
"96","0.084","0.084","0.084","0.644","0.644","0.644"
"100","0.086","0.086","0.086","0.642","0.642","0.642"
"104","0.088","0.088","0.088","0.64","0.64","0.64"
"108","0.082","0.082","0.082","0.62","0.62","0.62"
"112","0.086","0.086","0.086","0.634","0.634","0.634"
"116","0.088","0.088","0.088","0.648","0.648","0.648"
"120","0.08","0.08","0.08","0.642","0.642","0.642"
"124","0.078","0.078","0.078","0.622","0.622","0.622"
"128","0.082","0.082","0.082","0.63","0.63","0.63"
"132","0.082","0.082","0.082","0.622","0.622","0.622"
"136","0.09","0.09","0.09","0.644","0.644","0.644"
"140","0.086","0.086","0.086","0.63","0.63","0.63"
"144","0.09","0.09","0.09","0.62","0.62","0.62"
"148","0.094","0.094","0.094","0.62","0.62","0.62"
"152","0.096","0.096","0.096","0.656","0.656","0.656"
"156","0.096","0.096","0.096","0.636","0.636","0.636"
"160","0.096","0.096","0.096","0.618","0.618","0.618"
"164","0.096","0.096","0.096","0.634","0.634","0.634"
"168","0.092","0.092","0.092","0.634","0.634","0.634"
"172","0.092","0.092","0.092","0.64","0.64","0.64"
"176","0.094","0.094","0.094","0.618","0.618","0.618"
"180","0.09","0.09","0.09","0.624","0.624","0.624"
"184","0.09","0.09","0.09","0.626","0.626","0.626"
"188","0.088","0.088","0.088","0.624","0.624","0.624"
"192","0.09","0.09","0.09","0.63","0.63","0.63"
"196","0.096","0.096","0.096","0.634","0.634","0.634"
"200","0.1","0.1","0.1","0.626","0.626","0.626"
"204","0.1","0.1","0.1","0.654","0.654","0.654"
"208","0.096","0.096","0.096","0.628","0.628","0.628"
"212","0.096","0.096","0.096","0.632","0.632","0.632"
"216","0.098","0.098","0.098","0.628","0.628","0.628"
"220","0.102","0.102","0.102","0.638","0.638","0.638"
"224","0.096","0.096","0.096","0.644","0.644","0.644"
"228","","","","0.666","0.666","0.666"
"232","","","","0.642","0.642","0.642"
"236","","","","0.652","0.652","0.652"
"240","","","","0.658","0.658","0.658"
"244","","","","0.652","0.652","0.652"
"248","","","","0.658","0.658","0.658"
"252","","","","0.662","0.662","0.662"
"256","","","","0.654","0.654","0.654"
"260","","","","0.658","0.658","0.658"
"264","","","","0.662","0.662","0.662"
"268","","","","0.668","0.668","0.668"
"272","","","","0.674","0.674","0.674"
"276","","","","0.646","0.646","0.646"
"280","","","","0.664","0.664","0.664"
"284","","","","0.658","0.658","0.658"
"288","","","","0.648","0.648","0.648"
"292","","","","0.646","0.646","0.646"
"296","","","","0.664","0.664","0.664"
"300","","","","0.67","0.67","0.67"
