"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/AMC23","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/AMC23__MAX"
"0","","","","157","157","157"
"4","","","","344.3333333333333","344.3333333333333","344.3333333333333"
"8","","","","360.85714285714283","360.85714285714283","360.85714285714283"
"12","","","","613.4166666666666","613.4166666666666","613.4166666666666"
"16","","","","709.4666666666667","709.4666666666667","709.4666666666667"
"20","","","","644.3157894736842","644.3157894736842","644.3157894736842"
"24","","","","727.2777777777778","727.2777777777778","727.2777777777778"
"28","","","","627.5555555555555","627.5555555555555","627.5555555555555"
"32","","","","627.6470588235294","627.6470588235294","627.6470588235294"
"36","","","","669.7647058823529","669.7647058823529","669.7647058823529"
"40","","","","667.5294117647059","667.5294117647059","667.5294117647059"
"44","","","","585.2857142857143","585.2857142857143","585.2857142857143"
"48","","","","694.5714285714286","694.5714285714286","694.5714285714286"
"52","","","","578.2307692307693","578.2307692307693","578.2307692307693"
"56","","","","590.7692307692307","590.7692307692307","590.7692307692307"
"60","4096","4096","4096","571.75","571.75","571.75"
"64","2064","2064","2064","685.4166666666666","685.4166666666666","685.4166666666666"
"68","151","151","151","629.9090909090909","629.9090909090909","629.9090909090909"
"72","168","168","168","747.9230769230769","747.9230769230769","747.9230769230769"
"76","82.33333333333333","82.33333333333333","82.33333333333333","834.1176470588235","834.1176470588235","834.1176470588235"
"80","23.666666666666668","23.666666666666668","23.666666666666668","847.1333333333333","847.1333333333333","847.1333333333333"
"84","31.5","31.5","31.5","832.3571428571429","832.3571428571429","832.3571428571429"
"88","73","73","73","772.8461538461538","772.8461538461538","772.8461538461538"
"92","115","115","115","743.0714285714286","743.0714285714286","743.0714285714286"
"96","98","98","98","728","728","728"
"100","130","130","130","735.6470588235294","735.6470588235294","735.6470588235294"
"104","99","99","99","708.375","708.375","708.375"
"108","2072","2072","2072","860.2777777777778","860.2777777777778","860.2777777777778"
"112","4096","4096","4096","722.1333333333333","722.1333333333333","722.1333333333333"
"116","4096","4096","4096","652","652","652"
"120","4096","4096","4096","755.6470588235294","755.6470588235294","755.6470588235294"
"124","4096","4096","4096","848.5333333333333","848.5333333333333","848.5333333333333"
"128","2768.6666666666665","2768.6666666666665","2768.6666666666665","816.9333333333333","816.9333333333333","816.9333333333333"
"132","4096","4096","4096","843","843","843"
"136","4096","4096","4096","775.7142857142857","775.7142857142857","775.7142857142857"
"140","4096","4096","4096","748.75","748.75","748.75"
"144","4096","4096","4096","759.8571428571429","759.8571428571429","759.8571428571429"
"148","4096","4096","4096","860.8235294117648","860.8235294117648","860.8235294117648"
"152","4096","4096","4096","765.4117647058823","765.4117647058823","765.4117647058823"
"156","4096","4096","4096","898.9","898.9","898.9"
"160","4096","4096","4096","776.2352941176471","776.2352941176471","776.2352941176471"
"164","4096","4096","4096","817.625","817.625","817.625"
"168","4096","4096","4096","819.2666666666667","819.2666666666667","819.2666666666667"
"172","4096","4096","4096","848.1875","848.1875","848.1875"
"176","4096","4096","4096","813.0588235294117","813.0588235294117","813.0588235294117"
"180","4096","4096","4096","841.4117647058823","841.4117647058823","841.4117647058823"
"184","4096","4096","4096","796.7222222222222","796.7222222222222","796.7222222222222"
"188","4096","4096","4096","737.7222222222222","737.7222222222222","737.7222222222222"
"192","4096","4096","4096","742.875","742.875","742.875"
"196","4096","4096","4096","768.2105263157895","768.2105263157895","768.2105263157895"
"200","4096","4096","4096","748.8095238095239","748.8095238095239","748.8095238095239"
"204","4096","4096","4096","788.3529411764706","788.3529411764706","788.3529411764706"
"208","4096","4096","4096","664.3157894736842","664.3157894736842","664.3157894736842"
"212","4096","4096","4096","541.5714285714286","541.5714285714286","541.5714285714286"
"216","4096","4096","4096","731.25","731.25","731.25"
"220","4096","4096","4096","635.4615384615385","635.4615384615385","635.4615384615385"
"224","4096","4096","4096","704.2","704.2","704.2"
"228","","","","670.8125","670.8125","670.8125"
"232","","","","710.2941176470588","710.2941176470588","710.2941176470588"
"236","","","","764.5","764.5","764.5"
"240","","","","825.7222222222222","825.7222222222222","825.7222222222222"
"244","","","","910.125","910.125","910.125"
"248","","","","697.6","697.6","697.6"
"252","","","","691.875","691.875","691.875"
"256","","","","745.7368421052631","745.7368421052631","745.7368421052631"
"260","","","","743.1578947368421","743.1578947368421","743.1578947368421"
"264","","","","662","662","662"
"268","","","","651.8421052631579","651.8421052631579","651.8421052631579"
"272","","","","710.7619047619048","710.7619047619048","710.7619047619048"
"276","","","","632.8235294117648","632.8235294117648","632.8235294117648"
"280","","","","771.5333333333333","771.5333333333333","771.5333333333333"
"284","","","","598.375","598.375","598.375"
"288","","","","656.5555555555555","656.5555555555555","656.5555555555555"
"292","","","","820.8235294117648","820.8235294117648","820.8235294117648"
"296","","","","719.2857142857143","719.2857142857143","719.2857142857143"
"300","","","","775.125","775.125","775.125"
