"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k__MAX"
"4","","","","320.5","320.5","320.5"
"8","","","","306.8","306.8","306.8"
"12","","","","312.4539877300613","312.4539877300613","312.4539877300613"
"16","","","","306.01447368421054","306.01447368421054","306.01447368421054"
"20","","","","296.1417322834646","296.1417322834646","296.1417322834646"
"24","","","","288.8753462603878","288.8753462603878","288.8753462603878"
"28","","","","288.95821980018167","288.95821980018167","288.95821980018167"
"32","","","","289.8561085972851","289.8561085972851","289.8561085972851"
"36","","","","289.5870556061987","289.5870556061987","289.5870556061987"
"40","","","","290.0771324863884","290.0771324863884","290.0771324863884"
"44","","","","288.79326047358836","288.79326047358836","288.79326047358836"
"48","","","","289.0524886877828","289.0524886877828","289.0524886877828"
"52","","","","289.75180505415165","289.75180505415165","289.75180505415165"
"56","","","","288.3030027297543","288.3030027297543","288.3030027297543"
"60","","","","287.0653950953678","287.0653950953678","287.0653950953678"
"64","","","","288.43196347031966","288.43196347031966","288.43196347031966"
"68","175","175","175","291.50451263537906","291.50451263537906","291.50451263537906"
"72","1424.3333333333333","1424.3333333333333","1424.3333333333333","292.25","292.25","292.25"
"76","1617.6666666666667","1617.6666666666667","1617.6666666666667","291.0916442048518","291.0916442048518","291.0916442048518"
"80","286.9807692307692","286.9807692307692","286.9807692307692","293.64637421665174","293.64637421665174","293.64637421665174"
"84","380.0098039215686","380.0098039215686","380.0098039215686","296.1216216216216","296.1216216216216","296.1216216216216"
"88","617.6608695652174","617.6608695652174","617.6608695652174","296.6052393857272","296.6052393857272","296.6052393857272"
"92","1042.7083333333333","1042.7083333333333","1042.7083333333333","297.10394265232975","297.10394265232975","297.10394265232975"
"96","1721.6902654867256","1721.6902654867256","1721.6902654867256","296.7262118491921","296.7262118491921","296.7262118491921"
"100","1731.375","1731.375","1731.375","297.04386750223813","297.04386750223813","297.04386750223813"
"104","2310.146153846154","2310.146153846154","2310.146153846154","299.67235188509875","299.67235188509875","299.67235188509875"
"108","2891.9836065573772","2891.9836065573772","2891.9836065573772","299.81322609472744","299.81322609472744","299.81322609472744"
"112","3198.871794871795","3198.871794871795","3198.871794871795","300.62890276538803","300.62890276538803","300.62890276538803"
"116","3588.3622047244094","3588.3622047244094","3588.3622047244094","301.3953695458593","301.3953695458593","301.3953695458593"
"120","3616","3616","3616","301.13866666666667","301.13866666666667","301.13866666666667"
"124","3699.5535714285716","3699.5535714285716","3699.5535714285716","301.9681697612732","301.9681697612732","301.9681697612732"
"128","3700.6936936936936","3700.6936936936936","3700.6936936936936","299.73955555555557","299.73955555555557","299.73955555555557"
"132","3497.930693069307","3497.930693069307","3497.930693069307","300.26796805678794","300.26796805678794","300.26796805678794"
"136","3526.4666666666667","3526.4666666666667","3526.4666666666667","299.86678507992895","299.86678507992895","299.86678507992895"
"140","3631.2545454545457","3631.2545454545457","3631.2545454545457","297.89605734767025","297.89605734767025","297.89605734767025"
"144","3586.5229357798166","3586.5229357798166","3586.5229357798166","300.5267857142857","300.5267857142857","300.5267857142857"
"148","3836.8190476190475","3836.8190476190475","3836.8190476190475","298.74333925399645","298.74333925399645","298.74333925399645"
"152","4021.435185185185","4021.435185185185","4021.435185185185","299.23262032085563","299.23262032085563","299.23262032085563"
"156","3950.5585585585586","3950.5585585585586","3950.5585585585586","301.6448763250883","301.6448763250883","301.6448763250883"
"160","4020.490566037736","4020.490566037736","4020.490566037736","298.70640569395016","298.70640569395016","298.70640569395016"
"164","3982.07476635514","3982.07476635514","3982.07476635514","298.1712511091393","298.1712511091393","298.1712511091393"
"168","4021.8073394495414","4021.8073394495414","4021.8073394495414","296.8199643493761","296.8199643493761","296.8199643493761"
"172","4059.418181818182","4059.418181818182","4059.418181818182","296.76143497757846","296.76143497757846","296.76143497757846"
"176","3990.592920353982","3990.592920353982","3990.592920353982","297.9813167259787","297.9813167259787","297.9813167259787"
"180","4056.903846153846","4056.903846153846","4056.903846153846","300.36170212765956","300.36170212765956","300.36170212765956"
"184","3942.190476190476","3942.190476190476","3942.190476190476","301.2758007117438","301.2758007117438","301.2758007117438"
"188","4096","4096","4096","302.05788067675866","302.05788067675866","302.05788067675866"
"192","4057.822429906542","4057.822429906542","4057.822429906542","300.50572687224667","300.50572687224667","300.50572687224667"
"196","3986.189189189189","3986.189189189189","3986.189189189189","300.0397877984085","300.0397877984085","300.0397877984085"
"200","4023.3660714285716","4023.3660714285716","4023.3660714285716","298.64476021314385","298.64476021314385","298.64476021314385"
"204","4059.849557522124","4059.849557522124","4059.849557522124","300.40616740088103","300.40616740088103","300.40616740088103"
"208","4058.5229357798166","4058.5229357798166","4058.5229357798166","298.90168290522587","298.90168290522587","298.90168290522587"
"212","4023.8761061946902","4023.8761061946902","4023.8761061946902","296.46437994722953","296.46437994722953","296.46437994722953"
"216","3986.1171171171172","3986.1171171171172","3986.1171171171172","297.6040564373898","297.6040564373898","297.6040564373898"
"220","4022.7297297297296","4022.7297297297296","4022.7297297297296","296.07975460122697","296.07975460122697","296.07975460122697"
"224","3948.681818181818","3948.681818181818","3948.681818181818","297.6509598603839","297.6509598603839","297.6509598603839"
