"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500__MAX"
"0","","","","277.7323943661972","277.7323943661972","277.7323943661972"
"4","","","","283.3636363636364","283.3636363636364","283.3636363636364"
"8","","","","322.0610687022901","322.0610687022901","322.0610687022901"
"12","","","","423.9867841409692","423.9867841409692","423.9867841409692"
"16","","","","441.22846441947564","441.22846441947564","441.22846441947564"
"20","","","","424.73883161512026","424.73883161512026","424.73883161512026"
"24","","","","439.7845117845118","439.7845117845118","439.7845117845118"
"28","83.5","83.5","83.5","432.93959731543623","432.93959731543623","432.93959731543623"
"32","2732.3333333333335","2732.3333333333335","2732.3333333333335","437.14102564102564","437.14102564102564","437.14102564102564"
"36","1371.6666666666667","1371.6666666666667","1371.6666666666667","446.76973684210526","446.76973684210526","446.76973684210526"
"40","2052","2052","2052","449.6898734177215","449.6898734177215","449.6898734177215"
"44","1426.8333333333333","1426.8333333333333","1426.8333333333333","444.07987220447285","444.07987220447285","444.07987220447285"
"48","1653.2","1653.2","1653.2","441.51465798045604","441.51465798045604","441.51465798045604"
"52","2101.1666666666665","2101.1666666666665","2101.1666666666665","440.4935483870968","440.4935483870968","440.4935483870968"
"56","1571.4375","1571.4375","1571.4375","436.94426229508196","436.94426229508196","436.94426229508196"
"60","821.4375","821.4375","821.4375","443.455737704918","443.455737704918","443.455737704918"
"64","351.2758620689655","351.2758620689655","351.2758620689655","443.0257234726688","443.0257234726688","443.0257234726688"
"68","989.0769230769231","989.0769230769231","989.0769230769231","467.2807570977918","467.2807570977918","467.2807570977918"
"72","828.09375","828.09375","828.09375","465.2911392405063","465.2911392405063","465.2911392405063"
"76","810.5625","810.5625","810.5625","460.59546925566343","460.59546925566343","460.59546925566343"
