"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","","","","349.7692307692308","349.7692307692308","349.7692307692308"
"4","","","","393.11764705882354","393.11764705882354","393.11764705882354"
"8","","","","452.5375","452.5375","452.5375"
"12","","","","580.4353741496599","580.4353741496599","580.4353741496599"
"16","","","","597.7278106508876","597.7278106508876","597.7278106508876"
"20","","","","611.4240837696335","611.4240837696335","611.4240837696335"
"24","","","","596.75","596.75","596.75"
"28","","","","594.9106145251396","594.9106145251396","594.9106145251396"
"32","21","21","21","633.5675675675676","633.5675675675676","633.5675675675676"
"36","21","21","21","591.264367816092","591.264367816092","591.264367816092"
"40","2091.5","2091.5","2091.5","583.7572254335261","583.7572254335261","583.7572254335261"
"44","1212","1212","1212","590.5697674418604","590.5697674418604","590.5697674418604"
"48","1223.142857142857","1223.142857142857","1223.142857142857","603.4745762711865","603.4745762711865","603.4745762711865"
"52","2375.285714285714","2375.285714285714","2375.285714285714","599.1567567567567","599.1567567567567","599.1567567567567"
"56","2226.9473684210525","2226.9473684210525","2226.9473684210525","598.2254335260116","598.2254335260116","598.2254335260116"
"60","1859.52","1859.52","1859.52","606.8258426966293","606.8258426966293","606.8258426966293"
"64","691.7777777777778","691.7777777777778","691.7777777777778","643.1590909090909","643.1590909090909","643.1590909090909"
"68","1149.8666666666666","1149.8666666666666","1149.8666666666666","628.3149171270718","628.3149171270718","628.3149171270718"
"72","393.85714285714283","393.85714285714283","393.85714285714283","649.8461538461538","649.8461538461538","649.8461538461538"
"76","733.8285714285714","733.8285714285714","733.8285714285714","614.7712765957447","614.7712765957447","614.7712765957447"
"80","260.0285714285714","260.0285714285714","260.0285714285714","644.0879120879121","644.0879120879121","644.0879120879121"
"84","660.9787234042553","660.9787234042553","660.9787234042553","637.2608695652174","637.2608695652174","637.2608695652174"
"88","361.0652173913044","361.0652173913044","361.0652173913044","657.6296296296297","657.6296296296297","657.6296296296297"
"92","795.5641025641025","795.5641025641025","795.5641025641025","637.6898395721926","637.6898395721926","637.6898395721926"
"96","931.6486486486486","931.6486486486486","931.6486486486486","619.521052631579","619.521052631579","619.521052631579"
"100","2112.9772727272725","2112.9772727272725","2112.9772727272725","628.2472527472528","628.2472527472528","628.2472527472528"
"104","2727.1951219512193","2727.1951219512193","2727.1951219512193","626.9042553191489","626.9042553191489","626.9042553191489"
"108","2418.4583333333335","2418.4583333333335","2418.4583333333335","670.9538461538461","670.9538461538461","670.9538461538461"
"112","2459.5510204081634","2459.5510204081634","2459.5510204081634","655.9516129032259","655.9516129032259","655.9516129032259"
"116","3126.46","3126.46","3126.46","644.1329787234042","644.1329787234042","644.1329787234042"
"120","3497.446808510638","3497.446808510638","3497.446808510638","654.151832460733","654.151832460733","654.151832460733"
"124","3085.4772727272725","3085.4772727272725","3085.4772727272725","677.5243243243243","677.5243243243243","677.5243243243243"
"128","2843.1666666666665","2843.1666666666665","2843.1666666666665","629.767955801105","629.767955801105","629.767955801105"
"132","2866.304347826087","2866.304347826087","2866.304347826087","639.1803278688525","639.1803278688525","639.1803278688525"
"136","2913.431818181818","2913.431818181818","2913.431818181818","639.1243243243243","639.1243243243243","639.1243243243243"
"140","3270.7954545454545","3270.7954545454545","3270.7954545454545","629.9516129032259","629.9516129032259","629.9516129032259"
"144","3482.913043478261","3482.913043478261","3482.913043478261","652.8626373626373","652.8626373626373","652.8626373626373"
"148","3628.6279069767443","3628.6279069767443","3628.6279069767443","650.6353591160221","650.6353591160221","650.6353591160221"
"152","3817.6511627906975","3817.6511627906975","3817.6511627906975","649.9444444444445","649.9444444444445","649.9444444444445"
"156","4096","4096","4096","667.0052083333334","667.0052083333334","667.0052083333334"
"160","3903.268292682927","3903.268292682927","3903.268292682927","666.3314917127071","666.3314917127071","666.3314917127071"
"164","3988.5526315789475","3988.5526315789475","3988.5526315789475","660.1164021164021","660.1164021164021","660.1164021164021"
"168","3894.25","3894.25","3894.25","659.8974358974359","659.8974358974359","659.8974358974359"
"172","4096","4096","4096","672.8963730569948","672.8963730569948","672.8963730569948"
"176","4096","4096","4096","708.7727272727273","708.7727272727273","708.7727272727273"
"180","3759.75","3759.75","3759.75","724.9035532994924","724.9035532994924","724.9035532994924"
"184","3791.7","3791.7","3791.7","674.9637305699482","674.9637305699482","674.9637305699482"
"188","3994.95","3994.95","3994.95","663.7098445595855","663.7098445595855","663.7098445595855"
"192","3767.9189189189187","3767.9189189189187","3767.9189189189187","656.4766839378239","656.4766839378239","656.4766839378239"
"196","3876.4324324324325","3876.4324324324325","3876.4324324324325","653.5882352941177","653.5882352941177","653.5882352941177"
