Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k__MIN
0,0.0333586050037907,0.0333586050037907,0.0333586050037907,0.0879454131918119,0.0879454131918119,0.0879454131918119,0.0879454131918119,0.0879454131918119,0.0879454131918119
4,0.0447308567096285,0.0447308567096285,0.0447308567096285,0.1213040181956027,0.1213040181956027,0.1213040181956027,0.0985595147839272,0.0985595147839272,0.0985595147839272
8,0.068991660348749,0.068991660348749,0.068991660348749,0.332827899924185,0.332827899924185,0.332827899924185,0.3555724033358605,0.3555724033358605,0.3555724033358605
12,0.0682335102350265,0.0682335102350265,0.0682335102350265,0.4647460197119029,0.4647460197119029,0.4647460197119029,0.5072024260803639,0.5072024260803639,0.5072024260803639
16,0.1122062168309325,0.1122062168309325,0.1122062168309325,0.5200909780136467,0.5200909780136467,0.5200909780136467,0.5481425322213799,0.5481425322213799,0.5481425322213799
20,0.178923426838514,0.178923426838514,0.178923426838514,0.5200909780136467,0.5200909780136467,0.5200909780136467,0.5375284306292646,0.5375284306292646,0.5375284306292646
24,0.2827899924184988,0.2827899924184988,0.2827899924184988,0.5344958301743745,0.5344958301743745,0.5344958301743745,0.558756633813495,0.558756633813495,0.558756633813495
28,0.335860500379075,0.335860500379075,0.335860500379075,0.5322213798332069,0.5322213798332069,0.5322213798332069,0.5322213798332069,0.5322213798332069,0.5322213798332069
32,0.3623957543593631,0.3623957543593631,0.3623957543593631,0.5299469294920395,0.5299469294920395,0.5299469294920395,0.5489006823351024,0.5489006823351024,0.5489006823351024
36,0.3912054586808188,0.3912054586808188,0.3912054586808188,0.5375284306292646,0.5375284306292646,0.5375284306292646,0.5754359363153905,0.5754359363153905,0.5754359363153905
40,0.4548900682335102,0.4548900682335102,0.4548900682335102,0.5413191811978771,0.5413191811978771,0.5413191811978771,0.5701288855193328,0.5701288855193328,0.5701288855193328
44,0.4435178165276724,0.4435178165276724,0.4435178165276724,0.5549658832448825,0.5549658832448825,0.5549658832448825,0.5655799848369977,0.5655799848369977,0.5655799848369977
48,0.4450341167551175,0.4450341167551175,0.4450341167551175,0.5564821834723275,0.5564821834723275,0.5564821834723275,0.5769522365428355,0.5769522365428355,0.5769522365428355
52,0.4465504169825625,0.4465504169825625,0.4465504169825625,0.558756633813495,0.558756633813495,0.558756633813495,0.577710386656558,0.577710386656558,0.577710386656558
56,0.4359363153904473,0.4359363153904473,0.4359363153904473,0.577710386656558,0.577710386656558,0.577710386656558,0.5807429871114481,0.5807429871114481,0.5807429871114481
60,0.4510993176648976,0.4510993176648976,0.4510993176648976,0.5655799848369977,0.5655799848369977,0.5655799848369977,0.5815011372251706,0.5815011372251706,0.5815011372251706
64,0.4601971190295678,0.4601971190295678,0.4601971190295678,0.5716451857467779,0.5716451857467779,0.5716451857467779,0.5883244882486732,0.5883244882486732,0.5883244882486732
68,0.4601971190295678,0.4601971190295678,0.4601971190295678,0.576194086429113,0.576194086429113,0.576194086429113,0.5837755875663382,0.5837755875663382,0.5837755875663382
72,0.4746019711902957,0.4746019711902957,0.4746019711902957,0.5731614859742229,0.5731614859742229,0.5731614859742229,0.5989385898407885,0.5989385898407885,0.5989385898407885
76,0.4738438210765731,0.4738438210765731,0.4738438210765731,0.5617892342683851,0.5617892342683851,0.5617892342683851,0.5989385898407885,0.5989385898407885,0.5989385898407885
80,0.491281273692191,0.491281273692191,0.491281273692191,0.5617892342683851,0.5617892342683851,0.5617892342683851,0.5966641394996209,0.5966641394996209,0.5966641394996209
84,0.4950720242608036,0.4950720242608036,0.4950720242608036,0.5868081880212282,0.5868081880212282,0.5868081880212282,0.5890826383623957,0.5890826383623957,0.5890826383623957
88,0.5367702805155421,0.5367702805155421,0.5367702805155421,0.5686125852918877,0.5686125852918877,0.5686125852918877,0.5974222896133434,0.5974222896133434,0.5974222896133434
92,0.5246398786959818,0.5246398786959818,0.5246398786959818,0.5640636846095527,0.5640636846095527,0.5640636846095527,0.6004548900682335,0.6004548900682335,0.6004548900682335
96,0.5216072782410918,0.5216072782410918,0.5216072782410918,0.5815011372251706,0.5815011372251706,0.5815011372251706,0.6034874905231236,0.6034874905231236,0.6034874905231236
100,0.5579984836997726,0.5579984836997726,0.5579984836997726,0.5852918877937832,0.5852918877937832,0.5852918877937832,0.6133434420015162,0.6133434420015162,0.6133434420015162
104,0.5299469294920395,0.5299469294920395,0.5299469294920395,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.6095526914329037,0.6095526914329037,0.6095526914329037
108,0.535253980288097,0.535253980288097,0.535253980288097,0.579226686884003,0.579226686884003,0.579226686884003,0.6057619408642911,0.6057619408642911,0.6057619408642911
112,0.5579984836997726,0.5579984836997726,0.5579984836997726,0.5739196360879454,0.5739196360879454,0.5739196360879454,0.6065200909780136,0.6065200909780136,0.6065200909780136
116,0.5466262319939348,0.5466262319939348,0.5466262319939348,0.5663381349507203,0.5663381349507203,0.5663381349507203,0.6133434420015162,0.6133434420015162,0.6133434420015162
120,0.5496588324488249,0.5496588324488249,0.5496588324488249,0.5784685367702805,0.5784685367702805,0.5784685367702805,0.6118271417740713,0.6118271417740713,0.6118271417740713
124,0.5451099317664898,0.5451099317664898,0.5451099317664898,0.5860500379075056,0.5860500379075056,0.5860500379075056,0.623199393479909,0.623199393479909,0.623199393479909
128,0.5534495830174374,0.5534495830174374,0.5534495830174374,0.5769522365428355,0.5769522365428355,0.5769522365428355,0.6178923426838514,0.6178923426838514,0.6178923426838514
132,0.5511751326762699,0.5511751326762699,0.5511751326762699,0.579226686884003,0.579226686884003,0.579226686884003,0.6057619408642911,0.6057619408642911,0.6057619408642911
136,0.5534495830174374,0.5534495830174374,0.5534495830174374,0.5784685367702805,0.5784685367702805,0.5784685367702805,0.6178923426838514,0.6178923426838514,0.6178923426838514
140,0.5549658832448825,0.5549658832448825,0.5549658832448825,0.5807429871114481,0.5807429871114481,0.5807429871114481,0.6269901440485216,0.6269901440485216,0.6269901440485216
144,0.5670962850644428,0.5670962850644428,0.5670962850644428,0.5905989385898408,0.5905989385898408,0.5905989385898408,0.6072782410917361,0.6072782410917361,0.6072782410917361
148,0.5473843821076573,0.5473843821076573,0.5473843821076573,0.5784685367702805,0.5784685367702805,0.5784685367702805,0.6095526914329037,0.6095526914329037,0.6095526914329037
152,0.5670962850644428,0.5670962850644428,0.5670962850644428,0.576194086429113,0.576194086429113,0.576194086429113,0.6118271417740713,0.6118271417740713,0.6118271417740713
156,0.5731614859742229,0.5731614859742229,0.5731614859742229,0.577710386656558,0.577710386656558,0.577710386656558,0.624715693707354,0.624715693707354,0.624715693707354
160,0.5617892342683851,0.5617892342683851,0.5617892342683851,0.577710386656558,0.577710386656558,0.577710386656558,0.6262319939347991,0.6262319939347991,0.6262319939347991
