Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MIN
0,0.066,0.066,0.066,0.114,0.114,0.114,0.144,0.144,0.144
4,0.084,0.084,0.084,0.16,0.16,0.16,0.192,0.192,0.192
8,0.1,0.1,0.1,0.338,0.338,0.338,0.33,0.33,0.33
12,0.1,0.1,0.1,0.368,0.368,0.368,0.378,0.378,0.378
16,0.134,0.134,0.134,0.378,0.378,0.378,0.388,0.388,0.388
20,0.208,0.208,0.208,0.408,0.408,0.408,0.402,0.402,0.402
24,0.252,0.252,0.252,0.408,0.408,0.408,0.374,0.374,0.374
28,0.276,0.276,0.276,0.39,0.39,0.39,0.382,0.382,0.382
32,0.28,0.28,0.28,0.424,0.424,0.424,0.404,0.404,0.404
36,0.276,0.276,0.276,0.402,0.402,0.402,0.41,0.41,0.41
40,0.304,0.304,0.304,0.412,0.412,0.412,0.424,0.424,0.424
44,0.33,0.33,0.33,0.418,0.418,0.418,0.396,0.396,0.396
48,0.338,0.338,0.338,0.418,0.418,0.418,0.406,0.406,0.406
52,0.358,0.358,0.358,0.43,0.43,0.43,0.406,0.406,0.406
56,0.362,0.362,0.362,0.412,0.412,0.412,0.39,0.39,0.39
60,0.356,0.356,0.356,0.424,0.424,0.424,0.4,0.4,0.4
64,0.388,0.388,0.388,0.422,0.422,0.422,0.4,0.4,0.4
68,0.356,0.356,0.356,0.426,0.426,0.426,0.402,0.402,0.402
72,0.358,0.358,0.358,0.432,0.432,0.432,0.428,0.428,0.428
76,0.366,0.366,0.366,0.418,0.418,0.418,0.408,0.408,0.408
80,0.374,0.374,0.374,0.428,0.428,0.428,0.416,0.416,0.416
84,0.388,0.388,0.388,0.424,0.424,0.424,0.43,0.43,0.43
88,0.386,0.386,0.386,0.404,0.404,0.404,0.43,0.43,0.43
92,0.406,0.406,0.406,0.42,0.42,0.42,0.436,0.436,0.436
96,0.386,0.386,0.386,0.422,0.422,0.422,0.406,0.406,0.406
100,0.39,0.39,0.39,0.438,0.438,0.438,0.422,0.422,0.422
104,0.396,0.396,0.396,0.432,0.432,0.432,0.452,0.452,0.452
108,0.404,0.404,0.404,0.446,0.446,0.446,0.452,0.452,0.452
112,0.408,0.408,0.408,0.426,0.426,0.426,0.446,0.446,0.446
116,0.428,0.428,0.428,0.442,0.442,0.442,0.438,0.438,0.438
120,0.416,0.416,0.416,0.412,0.412,0.412,0.412,0.412,0.412
124,0.39,0.39,0.39,0.45,0.45,0.45,0.418,0.418,0.418
128,0.412,0.412,0.412,0.438,0.438,0.438,0.44,0.44,0.44
132,0.394,0.394,0.394,0.428,0.428,0.428,0.436,0.436,0.436
136,0.426,0.426,0.426,0.424,0.424,0.424,0.432,0.432,0.432
140,0.402,0.402,0.402,0.42,0.42,0.42,0.434,0.434,0.434
144,0.38,0.38,0.38,0.438,0.438,0.438,0.438,0.438,0.438
148,0.408,0.408,0.408,0.428,0.428,0.428,0.434,0.434,0.434
152,0.408,0.408,0.408,0.426,0.426,0.426,0.438,0.438,0.438
156,0.436,0.436,0.436,0.434,0.434,0.434,0.44,0.44,0.44
160,0.406,0.406,0.406,0.44,0.44,0.44,0.434,0.434,0.434
164,0.416,0.424,0.408,0.432,0.432,0.432,0.448,0.448,0.448
168,0.416,0.422,0.41,0.428,0.428,0.428,0.464,0.464,0.464
172,0.416,0.416,0.416,0.432,0.432,0.432,0.45,0.45,0.45
176,0.426,0.426,0.426,0.43,0.43,0.43,0.446,0.446,0.446
180,0.392,0.392,0.392,0.402,0.402,0.402,0.438,0.438,0.438
184,0.432,0.432,0.432,0.412,0.412,0.412,0.422,0.422,0.422
188,0.414,0.414,0.414,0.432,0.432,0.432,0.414,0.414,0.414
192,0.42,0.42,0.42,0.444,0.444,0.444,0.444,0.444,0.444
196,0.426,0.426,0.426,0.45,0.45,0.45,0.44,0.44,0.44
200,,,,0.416,0.416,0.416,0.436,0.436,0.436
204,,,,0.422,0.422,0.422,0.45,0.45,0.45
208,,,,0.458,0.458,0.458,0.45,0.45,0.45
212,,,,0.432,0.432,0.432,0.454,0.454,0.454
216,,,,0.438,0.438,0.438,0.438,0.438,0.438
220,,,,0.456,0.456,0.456,0.44,0.44,0.44
224,,,,0.462,0.462,0.462,0.422,0.422,0.422
228,,,,0.454,0.454,0.454,0.444,0.444,0.444
232,,,,0.466,0.466,0.466,0.448,0.448,0.448
236,,,,0.45,0.45,0.45,0.448,0.448,0.448
240,,,,0.444,0.444,0.444,0.456,0.456,0.456
244,,,,0.454,0.454,0.454,0.43,0.43,0.43
248,,,,0.428,0.428,0.428,0.458,0.458,0.458
252,,,,0.45,0.45,0.45,0.44,0.44,0.44
256,,,,0.474,0.474,0.474,0.436,0.436,0.436
260,,,,0.458,0.458,0.458,0.45,0.45,0.45
264,,,,0.464,0.464,0.464,0.432,0.432,0.432
268,,,,0.462,0.462,0.462,0.444,0.444,0.444
272,,,,0.438,0.438,0.438,0.448,0.448,0.448
276,,,,0.45,0.45,0.45,0.45,0.45,0.45
280,,,,0.458,0.458,0.458,0.456,0.456,0.456
284,,,,0.454,0.454,0.454,0.464,0.464,0.464
288,,,,0.424,0.424,0.424,0.462,0.462,0.462
292,,,,0.46,0.46,0.46,0.458,0.458,0.458
296,,,,0.44,0.44,0.44,0.448,0.448,0.448
300,,,,0.446,0.446,0.446,0.44,0.44,0.44
304,,,,0.44,0.44,0.44,0.454,0.454,0.454
308,,,,0.442,0.442,0.442,0.444,0.444,0.444
