Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MIN
0,96.6923076923077,96.6923076923077,96.6923076923077,216.25,216.25,216.25,252.1,252.1,252.1
4,144.08333333333334,144.08333333333334,144.08333333333334,376.3555555555556,376.3555555555556,376.3555555555556,421.69444444444446,421.69444444444446,421.69444444444446
8,26.13888888888889,26.13888888888889,26.13888888888889,478.0434782608696,478.0434782608696,478.0434782608696,494.6666666666667,494.6666666666667,494.6666666666667
12,93.575,93.575,93.575,490.6190476190476,490.6190476190476,490.6190476190476,525.171875,525.171875,525.171875
16,332.25,332.25,332.25,561.2615384615384,561.2615384615384,561.2615384615384,572.5820895522388,572.5820895522388,572.5820895522388
20,502.85,502.85,502.85,571.9848484848485,571.9848484848485,571.9848484848485,571.8939393939394,571.8939393939394,571.8939393939394
24,595.4918032786885,595.4918032786885,595.4918032786885,507.359375,507.359375,507.359375,573.3589743589744,573.3589743589744,573.3589743589744
28,698.8,698.8,698.8,493.75714285714287,493.75714285714287,493.75714285714287,463.1126760563381,463.1126760563381,463.1126760563381
32,747.179104477612,747.179104477612,747.179104477612,474.15584415584414,474.15584415584414,474.15584415584414,487.37974683544303,487.37974683544303,487.37974683544303
36,840.3188405797101,840.3188405797101,840.3188405797101,522.2777777777778,522.2777777777778,522.2777777777778,492.247191011236,492.247191011236,492.247191011236
40,645.1129032258065,645.1129032258065,645.1129032258065,458.3658536585366,458.3658536585366,458.3658536585366,500.2150537634408,500.2150537634408,500.2150537634408
44,837.0909090909091,837.0909090909091,837.0909090909091,483.4634146341463,483.4634146341463,483.4634146341463,469.94505494505495,469.94505494505495,469.94505494505495
48,691.0,691.0,691.0,460.5584415584416,460.5584415584416,460.5584415584416,445.45454545454544,445.45454545454544,445.45454545454544
52,747.4533333333334,747.4533333333334,747.4533333333334,464.5769230769231,464.5769230769231,464.5769230769231,430.6184210526316,430.6184210526316,430.6184210526316
56,805.746835443038,805.746835443038,805.746835443038,450.0857142857143,450.0857142857143,450.0857142857143,408.6794871794872,408.6794871794872,408.6794871794872
60,792.2345679012345,792.2345679012345,792.2345679012345,493.05555555555554,493.05555555555554,493.05555555555554,403.4,403.4,403.4
64,808.635294117647,808.635294117647,808.635294117647,501.5243902439024,501.5243902439024,501.5243902439024,444.975,444.975,444.975
68,827.56,827.56,827.56,458.36470588235295,458.36470588235295,458.36470588235295,411.9342105263158,411.9342105263158,411.9342105263158
72,770.1578947368421,770.1578947368421,770.1578947368421,494.62105263157895,494.62105263157895,494.62105263157895,402.5882352941176,402.5882352941176,402.5882352941176
76,984.65,984.65,984.65,471.219512195122,471.219512195122,471.219512195122,410.1829268292683,410.1829268292683,410.1829268292683
80,1012.4880952380952,1012.4880952380952,1012.4880952380952,528.1333333333333,528.1333333333333,528.1333333333333,397.1538461538461,397.1538461538461,397.1538461538461
84,1071.2134831460671,1071.2134831460671,1071.2134831460671,501.0595238095238,501.0595238095238,501.0595238095238,431.075,431.075,431.075
88,1267.9887640449438,1267.9887640449438,1267.9887640449438,477.3555555555556,477.3555555555556,477.3555555555556,402.675,402.675,402.675
92,1318.8461538461538,1318.8461538461538,1318.8461538461538,487.5568181818182,487.5568181818182,487.5568181818182,437.5061728395062,437.5061728395062,437.5061728395062
96,1248.9036144578313,1248.9036144578313,1248.9036144578313,484.7469879518072,484.7469879518072,484.7469879518072,405.7411764705882,405.7411764705882,405.7411764705882
100,2110.435294117647,2110.435294117647,2110.435294117647,481.4352941176471,481.4352941176471,481.4352941176471,438.53164556962025,438.53164556962025,438.53164556962025
104,2135.977011494253,2135.977011494253,2135.977011494253,434.5,434.5,434.5,494.3152173913044,494.3152173913044,494.3152173913044
108,2005.1941747572816,2005.1941747572816,2005.1941747572816,554.6818181818181,554.6818181818181,554.6818181818181,440.1630434782609,440.1630434782609,440.1630434782609
112,2646.2065217391305,2646.2065217391305,2646.2065217391305,609.1914893617021,609.1914893617021,609.1914893617021,516.1208791208791,516.1208791208791,516.1208791208791
116,2229.4166666666665,2229.4166666666665,2229.4166666666665,483.44827586206895,483.44827586206895,483.44827586206895,424.4235294117647,424.4235294117647,424.4235294117647
120,2490.2978723404253,2490.2978723404253,2490.2978723404253,446.65,446.65,446.65,511.75324675324674,511.75324675324674,511.75324675324674
124,2338.340206185567,2338.340206185567,2338.340206185567,447.65686274509807,447.65686274509807,447.65686274509807,529.1219512195122,529.1219512195122,529.1219512195122
128,2705.633027522936,2705.633027522936,2705.633027522936,465.7471264367816,465.7471264367816,465.7471264367816,410.8888888888889,410.8888888888889,410.8888888888889
132,2591.098039215686,2591.098039215686,2591.098039215686,450.5108695652174,450.5108695652174,450.5108695652174,457.5,457.5,457.5
136,2282.90625,2282.90625,2282.90625,423.35632183908046,423.35632183908046,423.35632183908046,481.5869565217391,481.5869565217391,481.5869565217391
140,2169.530973451328,2169.530973451328,2169.530973451328,493.3883495145631,493.3883495145631,493.3883495145631,443.9125,443.9125,443.9125
144,2394.100917431193,2394.100917431193,2394.100917431193,479.7052631578948,479.7052631578948,479.7052631578948,466.8589743589744,466.8589743589744,466.8589743589744
148,2173.688679245283,2173.688679245283,2173.688679245283,510.74285714285713,510.74285714285713,510.74285714285713,471.5,471.5,471.5
152,2222.205607476636,2222.205607476636,2222.205607476636,588.6326530612245,588.6326530612245,588.6326530612245,471.8953488372093,471.8953488372093,471.8953488372093
156,2078.0,2078.0,2078.0,466.7272727272728,466.7272727272728,466.7272727272728,509.94505494505495,509.94505494505495,509.94505494505495
160,2203.196261682243,2203.196261682243,2203.196261682243,484.4285714285714,484.4285714285714,484.4285714285714,489.6206896551725,489.6206896551725,489.6206896551725
164,2189.474747474748,2257.722222222222,2121.2272727272725,492.778947368421,492.778947368421,492.778947368421,510.5652173913044,510.5652173913044,510.5652173913044
