"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MAX"
"0","0.1","0.1","0.1","0.025","0.025","0.025","0.1","0.1","0.1"
"4","0.1","0.1","0.1","0.025","0.025","0.025","0.05","0.05","0.05"
"8","0.125","0.125","0.125","0.05","0.05","0.05","0.15","0.15","0.15"
"12","0.225","0.225","0.225","0.05","0.05","0.05","0.125","0.125","0.125"
"16","0.175","0.175","0.175","0.075","0.075","0.075","0.2","0.2","0.2"
"20","0.15","0.15","0.15","0.125","0.125","0.125","0.25","0.25","0.25"
"24","0.175","0.175","0.175","0.1","0.1","0.1","0.2","0.2","0.2"
"28","0.225","0.225","0.225","0.075","0.075","0.075","0.15","0.15","0.15"
"32","0.125","0.125","0.125","0.1","0.1","0.1","0.25","0.25","0.25"
"36","0.225","0.225","0.225","0.15","0.15","0.15","0.225","0.225","0.225"
"40","0.175","0.175","0.175","0.125","0.125","0.125","0.2","0.2","0.2"
"44","0.175","0.175","0.175","0.125","0.125","0.125","0.175","0.175","0.175"
"48","0.175","0.175","0.175","0.125","0.125","0.125","0.2","0.2","0.2"
"52","0.15","0.15","0.15","0.15","0.15","0.15","0.2","0.2","0.2"
"56","0.2","0.2","0.2","0.125","0.125","0.125","0.275","0.275","0.275"
"60","0.225","0.225","0.225","0.175","0.175","0.175","0.225","0.225","0.225"
"64","0.225","0.225","0.225","0.125","0.125","0.125","0.25","0.25","0.25"
"68","0.275","0.275","0.275","0.1","0.1","0.1","0.2","0.2","0.2"
"72","0.2","0.2","0.2","0.15","0.15","0.15","0.15","0.15","0.15"
"76","0.25","0.25","0.25","0.225","0.225","0.225","0.2","0.2","0.2"
"80","0.225","0.225","0.225","0.2","0.2","0.2","0.3","0.3","0.3"
"84","0.15","0.15","0.15","0.25","0.25","0.25","0.275","0.275","0.275"
"88","0.175","0.175","0.175","0.25","0.25","0.25","0.25","0.25","0.25"
"92","0.175","0.175","0.175","0.15","0.15","0.15","0.175","0.175","0.175"
"96","0.15","0.15","0.15","0.2","0.2","0.2","0.175","0.175","0.175"
"100","0.225","0.225","0.225","0.175","0.175","0.175","0.275","0.275","0.275"
"104","0.2","0.2","0.2","0.175","0.175","0.175","0.225","0.225","0.225"
"108","0.2","0.2","0.2","0.175","0.175","0.175","0.275","0.275","0.275"
"112","0.2","0.2","0.2","0.15","0.15","0.15","0.3","0.3","0.3"
"116","0.225","0.225","0.225","0.2","0.2","0.2","0.225","0.225","0.225"
"120","0.15","0.15","0.15","0.2","0.2","0.2","0.2","0.2","0.2"
"124","0.2","0.2","0.2","0.175","0.175","0.175","0.275","0.275","0.275"
"128","0.2","0.2","0.2","","","","0.35","0.35","0.35"
"132","0.225","0.225","0.225","","","","0.175","0.175","0.175"
"136","0.3","0.3","0.3","","","","0.25","0.25","0.25"
"140","0.35","0.35","0.35","","","","0.3","0.3","0.3"
"144","0.275","0.275","0.275","","","","0.275","0.275","0.275"
"148","0.225","0.225","0.225","","","","0.325","0.325","0.325"
"152","0.2","0.2","0.2","","","","0.25","0.25","0.25"
"156","0.15","0.15","0.15","","","","0.3","0.3","0.3"
"160","0.2","0.2","0.2","","","","0.225","0.225","0.225"
