Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MIN
0,0.025,0.025,0.025,0.1,0.1,0.1,0.1,0.1,0.1
4,0.025,0.025,0.025,0.05,0.05,0.05,0.1,0.1,0.1
8,0.05,0.05,0.05,0.15,0.15,0.15,0.125,0.125,0.125
12,0.05,0.05,0.05,0.125,0.125,0.125,0.225,0.225,0.225
16,0.075,0.075,0.075,0.2,0.2,0.2,0.175,0.175,0.175
20,0.125,0.125,0.125,0.25,0.25,0.25,0.15,0.15,0.15
24,0.1,0.1,0.1,0.2,0.2,0.2,0.175,0.175,0.175
28,0.075,0.075,0.075,0.15,0.15,0.15,0.225,0.225,0.225
32,0.1,0.1,0.1,0.25,0.25,0.25,0.125,0.125,0.125
36,0.15,0.15,0.15,0.225,0.225,0.225,0.225,0.225,0.225
40,0.125,0.125,0.125,0.2,0.2,0.2,0.175,0.175,0.175
44,0.125,0.125,0.125,0.175,0.175,0.175,0.175,0.175,0.175
48,0.125,0.125,0.125,0.2,0.2,0.2,0.175,0.175,0.175
52,0.15,0.15,0.15,0.2,0.2,0.2,0.15,0.15,0.15
56,0.125,0.125,0.125,0.275,0.275,0.275,0.2,0.2,0.2
60,0.175,0.175,0.175,0.225,0.225,0.225,0.225,0.225,0.225
64,0.125,0.125,0.125,0.25,0.25,0.25,0.225,0.225,0.225
68,0.1,0.1,0.1,0.2,0.2,0.2,0.275,0.275,0.275
72,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.2
76,0.225,0.225,0.225,0.2,0.2,0.2,0.25,0.25,0.25
80,0.2,0.2,0.2,0.3,0.3,0.3,0.225,0.225,0.225
84,0.25,0.25,0.25,0.275,0.275,0.275,0.15,0.15,0.15
88,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.175,0.175
92,0.15,0.15,0.15,0.175,0.175,0.175,0.175,0.175,0.175
96,0.2,0.2,0.2,0.175,0.175,0.175,0.15,0.15,0.15
100,0.175,0.175,0.175,0.275,0.275,0.275,0.225,0.225,0.225
104,0.175,0.175,0.175,0.225,0.225,0.225,0.2,0.2,0.2
108,0.175,0.175,0.175,0.275,0.275,0.275,0.2,0.2,0.2
112,0.15,0.15,0.15,0.3,0.3,0.3,0.2,0.2,0.2
116,0.2,0.2,0.2,0.225,0.225,0.225,0.225,0.225,0.225
120,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15
124,0.175,0.175,0.175,0.275,0.275,0.275,0.2,0.2,0.2
128,0.2,0.2,0.2,0.35,0.35,0.35,0.2,0.2,0.2
132,0.2,0.2,0.2,0.175,0.175,0.175,0.225,0.225,0.225
136,0.225,0.225,0.225,0.25,0.25,0.25,0.3,0.3,0.3
140,0.25,0.25,0.25,0.3,0.3,0.3,0.35,0.35,0.35
144,0.225,0.225,0.225,0.275,0.275,0.275,0.275,0.275,0.275
148,0.225,0.225,0.225,0.325,0.325,0.325,0.225,0.225,0.225
152,0.275,0.275,0.275,0.25,0.25,0.25,0.2,0.2,0.2
156,0.125,0.125,0.125,0.3,0.3,0.3,0.15,0.15,0.15
160,0.3,0.3,0.3,0.225,0.225,0.225,0.2,0.2,0.2
164,0.2,0.2,0.2,0.275,0.275,0.275,0.175,0.175,0.175
168,0.1875,0.225,0.15,0.225,0.225,0.225,0.2,0.2,0.2
172,0.15,0.15,0.15,0.2,0.2,0.2,0.15,0.15,0.15
176,0.125,0.125,0.125,0.225,0.225,0.225,0.225,0.225,0.225
180,0.175,0.175,0.175,0.15,0.15,0.15,0.175,0.175,0.175
184,0.125,0.125,0.125,0.225,0.225,0.225,0.2,0.2,0.2
188,0.175,0.175,0.175,0.25,0.25,0.25,0.2,0.2,0.2
192,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
196,0.2,0.2,0.2,0.15,0.15,0.15,0.25,0.25,0.25
200,,,,0.225,0.225,0.225,0.2,0.2,0.2
204,,,,0.25,0.25,0.25,0.15,0.15,0.15
208,,,,0.2,0.2,0.2,0.2,0.2,0.2
