"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/GSM8k__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/GSM8k__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/GSM8k__MAX"
"0","0.08794541319181198","0.08794541319181198","0.08794541319181198","0.03335860500379075","0.03335860500379075","0.03335860500379075","0.08794541319181198","0.08794541319181198","0.08794541319181198"
"4","0.09855951478392722","0.09855951478392722","0.09855951478392722","0.04473085670962851","0.04473085670962851","0.04473085670962851","0.12130401819560273","0.12130401819560273","0.12130401819560273"
"8","0.3555724033358605","0.3555724033358605","0.3555724033358605","0.06899166034874905","0.06899166034874905","0.06899166034874905","0.332827899924185","0.332827899924185","0.332827899924185"
"12","0.5072024260803639","0.5072024260803639","0.5072024260803639","0.06823351023502654","0.06823351023502654","0.06823351023502654","0.46474601971190294","0.46474601971190294","0.46474601971190294"
"16","0.5481425322213799","0.5481425322213799","0.5481425322213799","0.11220621683093253","0.11220621683093253","0.11220621683093253","0.5200909780136467","0.5200909780136467","0.5200909780136467"
"20","0.5375284306292646","0.5375284306292646","0.5375284306292646","0.17892342683851403","0.17892342683851403","0.17892342683851403","0.5200909780136467","0.5200909780136467","0.5200909780136467"
"24","0.558756633813495","0.558756633813495","0.558756633813495","0.28278999241849884","0.28278999241849884","0.28278999241849884","0.5344958301743745","0.5344958301743745","0.5344958301743745"
"28","0.5322213798332069","0.5322213798332069","0.5322213798332069","0.33586050037907506","0.33586050037907506","0.33586050037907506","0.5322213798332069","0.5322213798332069","0.5322213798332069"
"32","0.5489006823351024","0.5489006823351024","0.5489006823351024","0.36239575435936316","0.36239575435936316","0.36239575435936316","0.5299469294920395","0.5299469294920395","0.5299469294920395"
"36","0.5754359363153905","0.5754359363153905","0.5754359363153905","0.3912054586808188","0.3912054586808188","0.3912054586808188","0.5375284306292646","0.5375284306292646","0.5375284306292646"
"40","0.5701288855193328","0.5701288855193328","0.5701288855193328","0.45489006823351025","0.45489006823351025","0.45489006823351025","0.5413191811978771","0.5413191811978771","0.5413191811978771"
"44","0.5655799848369977","0.5655799848369977","0.5655799848369977","0.44351781652767247","0.44351781652767247","0.44351781652767247","0.5549658832448825","0.5549658832448825","0.5549658832448825"
"48","0.5769522365428355","0.5769522365428355","0.5769522365428355","0.4450341167551175","0.4450341167551175","0.4450341167551175","0.5564821834723275","0.5564821834723275","0.5564821834723275"
"52","0.577710386656558","0.577710386656558","0.577710386656558","0.44655041698256254","0.44655041698256254","0.44655041698256254","0.558756633813495","0.558756633813495","0.558756633813495"
"56","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.4359363153904473","0.4359363153904473","0.4359363153904473","0.577710386656558","0.577710386656558","0.577710386656558"
"60","0.5815011372251706","0.5815011372251706","0.5815011372251706","0.45109931766489764","0.45109931766489764","0.45109931766489764","0.5655799848369977","0.5655799848369977","0.5655799848369977"
"64","0.5883244882486732","0.5883244882486732","0.5883244882486732","0.46019711902956784","0.46019711902956784","0.46019711902956784","0.5716451857467779","0.5716451857467779","0.5716451857467779"
"68","0.5837755875663382","0.5837755875663382","0.5837755875663382","0.46019711902956784","0.46019711902956784","0.46019711902956784","0.576194086429113","0.576194086429113","0.576194086429113"
"72","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.4746019711902957","0.4746019711902957","0.4746019711902957","0.5731614859742229","0.5731614859742229","0.5731614859742229"
"76","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.47384382107657314","0.47384382107657314","0.47384382107657314","0.5617892342683851","0.5617892342683851","0.5617892342683851"
"80","0.5966641394996209","0.5966641394996209","0.5966641394996209","0.49128127369219105","0.49128127369219105","0.49128127369219105","0.5617892342683851","0.5617892342683851","0.5617892342683851"
"84","0.5890826383623957","0.5890826383623957","0.5890826383623957","0.49507202426080366","0.49507202426080366","0.49507202426080366","0.5868081880212282","0.5868081880212282","0.5868081880212282"
"88","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.5367702805155421","0.5367702805155421","0.5367702805155421","0.5686125852918877","0.5686125852918877","0.5686125852918877"
"92","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.5246398786959818","0.5246398786959818","0.5246398786959818","0.5640636846095527","0.5640636846095527","0.5640636846095527"
"96","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.5216072782410918","0.5216072782410918","0.5216072782410918","0.5815011372251706","0.5815011372251706","0.5815011372251706"
"100","0.6133434420015162","0.6133434420015162","0.6133434420015162","0.5579984836997726","0.5579984836997726","0.5579984836997726","0.5852918877937832","0.5852918877937832","0.5852918877937832"
"104","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.5299469294920395","0.5299469294920395","0.5299469294920395","0.5883244882486732","0.5883244882486732","0.5883244882486732"
"108","0.6057619408642911","0.6057619408642911","0.6057619408642911","0.535253980288097","0.535253980288097","0.535253980288097","0.579226686884003","0.579226686884003","0.579226686884003"
"112","0.6065200909780136","0.6065200909780136","0.6065200909780136","0.5579984836997726","0.5579984836997726","0.5579984836997726","0.5739196360879454","0.5739196360879454","0.5739196360879454"
"116","0.6133434420015162","0.6133434420015162","0.6133434420015162","0.5466262319939348","0.5466262319939348","0.5466262319939348","0.5663381349507203","0.5663381349507203","0.5663381349507203"
"120","0.6118271417740713","0.6118271417740713","0.6118271417740713","0.5496588324488249","0.5496588324488249","0.5496588324488249","0.5784685367702805","0.5784685367702805","0.5784685367702805"
"124","0.623199393479909","0.623199393479909","0.623199393479909","0.5451099317664898","0.5451099317664898","0.5451099317664898","0.5860500379075056","0.5860500379075056","0.5860500379075056"
