"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MAX"
"0","0.144","0.144","0.144","0.066","0.066","0.066","0.114","0.114","0.114"
"4","0.192","0.192","0.192","0.084","0.084","0.084","0.16","0.16","0.16"
"8","0.33","0.33","0.33","0.1","0.1","0.1","0.338","0.338","0.338"
"12","0.378","0.378","0.378","0.1","0.1","0.1","0.368","0.368","0.368"
"16","0.388","0.388","0.388","0.134","0.134","0.134","0.378","0.378","0.378"
"20","0.402","0.402","0.402","0.208","0.208","0.208","0.408","0.408","0.408"
"24","0.374","0.374","0.374","0.252","0.252","0.252","0.408","0.408","0.408"
"28","0.382","0.382","0.382","0.276","0.276","0.276","0.39","0.39","0.39"
"32","0.404","0.404","0.404","0.28","0.28","0.28","0.424","0.424","0.424"
"36","0.41","0.41","0.41","0.276","0.276","0.276","0.402","0.402","0.402"
"40","0.424","0.424","0.424","0.304","0.304","0.304","0.412","0.412","0.412"
"44","0.396","0.396","0.396","0.33","0.33","0.33","0.418","0.418","0.418"
"48","0.406","0.406","0.406","0.338","0.338","0.338","0.418","0.418","0.418"
"52","0.406","0.406","0.406","0.358","0.358","0.358","0.43","0.43","0.43"
"56","0.39","0.39","0.39","0.362","0.362","0.362","0.412","0.412","0.412"
"60","0.4","0.4","0.4","0.356","0.356","0.356","0.424","0.424","0.424"
"64","0.4","0.4","0.4","0.388","0.388","0.388","0.422","0.422","0.422"
"68","0.402","0.402","0.402","0.356","0.356","0.356","0.426","0.426","0.426"
"72","0.428","0.428","0.428","0.358","0.358","0.358","0.432","0.432","0.432"
"76","0.408","0.408","0.408","0.366","0.366","0.366","0.418","0.418","0.418"
"80","0.416","0.416","0.416","0.374","0.374","0.374","0.428","0.428","0.428"
"84","0.43","0.43","0.43","0.388","0.388","0.388","0.424","0.424","0.424"
"88","0.43","0.43","0.43","0.386","0.386","0.386","0.404","0.404","0.404"
"92","0.436","0.436","0.436","0.406","0.406","0.406","0.42","0.42","0.42"
"96","0.406","0.406","0.406","0.386","0.386","0.386","0.422","0.422","0.422"
"100","0.422","0.422","0.422","0.39","0.39","0.39","0.438","0.438","0.438"
"104","0.452","0.452","0.452","0.396","0.396","0.396","0.432","0.432","0.432"
"108","0.452","0.452","0.452","0.404","0.404","0.404","0.446","0.446","0.446"
"112","0.446","0.446","0.446","0.408","0.408","0.408","0.426","0.426","0.426"
"116","0.438","0.438","0.438","0.428","0.428","0.428","0.442","0.442","0.442"
"120","0.412","0.412","0.412","0.416","0.416","0.416","0.412","0.412","0.412"
"124","0.418","0.418","0.418","0.39","0.39","0.39","0.45","0.45","0.45"
"128","0.44","0.44","0.44","","","","0.438","0.438","0.438"
"132","0.436","0.436","0.436","","","","0.428","0.428","0.428"
"136","0.432","0.432","0.432","","","","0.424","0.424","0.424"
"140","0.434","0.434","0.434","","","","0.42","0.42","0.42"
"144","0.438","0.438","0.438","","","","0.438","0.438","0.438"
"148","0.434","0.434","0.434","","","","0.428","0.428","0.428"
"152","0.438","0.438","0.438","","","","0.426","0.426","0.426"
"156","0.44","0.44","0.44","","","","0.434","0.434","0.434"
"160","0.434","0.434","0.434","","","","0.44","0.44","0.44"
"164","0.448","0.448","0.448","","","","0.432","0.432","0.432"
"168","0.464","0.464","0.464","","","","0.428","0.428","0.428"
"172","0.45","0.45","0.45","","","","0.432","0.432","0.432"
"176","0.446","0.446","0.446","","","","0.43","0.43","0.43"
"180","0.438","0.438","0.438","","","","0.402","0.402","0.402"
"184","0.422","0.422","0.422","","","","0.412","0.412","0.412"
"188","0.414","0.414","0.414","","","","0.432","0.432","0.432"
"192","0.444","0.444","0.444","","","","0.444","0.444","0.444"
"196","0.44","0.44","0.44","","","","0.45","0.45","0.45"
"200","0.436","0.436","0.436","","","","0.416","0.416","0.416"
"204","0.45","0.45","0.45","","","","0.422","0.422","0.422"
"208","0.45","0.45","0.45","","","","0.458","0.458","0.458"
"212","0.454","0.454","0.454","","","","0.432","0.432","0.432"
"216","0.438","0.438","0.438","","","","0.438","0.438","0.438"
"220","0.44","0.44","0.44","","","","0.456","0.456","0.456"
"224","0.422","0.422","0.422","","","","0.462","0.462","0.462"
"228","0.444","0.444","0.444","","","","0.454","0.454","0.454"
"232","0.448","0.448","0.448","","","","0.466","0.466","0.466"
"236","0.448","0.448","0.448","","","","0.45","0.45","0.45"
"240","0.456","0.456","0.456","","","","0.444","0.444","0.444"
"244","0.43","0.43","0.43","","","","0.454","0.454","0.454"
"248","0.458","0.458","0.458","","","","0.428","0.428","0.428"
"252","0.44","0.44","0.44","","","","0.45","0.45","0.45"
"256","0.436","0.436","0.436","","","","0.474","0.474","0.474"
"260","0.45","0.45","0.45","","","","0.458","0.458","0.458"
"264","0.432","0.432","0.432","","","","0.464","0.464","0.464"
"268","0.444","0.444","0.444","","","","0.462","0.462","0.462"
"272","0.448","0.448","0.448","","","","0.438","0.438","0.438"
"276","0.45","0.45","0.45","","","","0.45","0.45","0.45"
"280","0.456","0.456","0.456","","","","0.458","0.458","0.458"
"284","0.464","0.464","0.464","","","","0.454","0.454","0.454"
"288","0.462","0.462","0.462","","","","0.424","0.424","0.424"
"292","0.458","0.458","0.458","","","","0.46","0.46","0.46"
"296","0.448","0.448","0.448","","","","0.44","0.44","0.44"
"300","0.44","0.44","0.44","","","","0.446","0.446","0.446"
"304","0.454","0.454","0.454","","","","0.44","0.44","0.44"
"308","0.444","0.444","0.444","","","","0.442","0.442","0.442"
"312","0.448","0.448","0.448","","","","0.45","0.45","0.45"
"316","0.434","0.434","0.434","","","","0.452","0.452","0.452"
"320","0.448","0.448","0.448","","","","0.432","0.432","0.432"
"324","0.452","0.452","0.452","","","","0.448","0.448","0.448"
"328","0.46","0.46","0.46","","","","0.438","0.438","0.438"
"332","0.448","0.448","0.448","","","","0.434","0.434","0.434"
"336","0.426","0.426","0.426","","","","0.434","0.434","0.434"
"340","0.438","0.438","0.438","","","","0.456","0.456","0.456"
"344","0.45","0.45","0.45","","","","0.424","0.424","0.424"
"348","0.44","0.44","0.44","","","","0.45","0.45","0.45"
"352","0.43","0.43","0.43","","","","0.426","0.426","0.426"
"356","0.448","0.448","0.448","","","","0.436","0.436","0.436"
"360","0.442","0.442","0.442","","","","0.432","0.432","0.432"
"364","0.456","0.456","0.456","","","","0.432","0.432","0.432"
"368","0.456","0.456","0.456","","","","0.446","0.446","0.446"
"372","0.44","0.44","0.44","","","","0.446","0.446","0.446"
"376","0.444","0.444","0.444","","","","0.45","0.45","0.45"
"380","0.456","0.456","0.456","","","","0.452","0.452","0.452"
"384","0.462","0.462","0.462","","","","0.45","0.45","0.45"
"388","0.468","0.468","0.468","","","","0.442","0.442","0.442"
"392","0.446","0.446","0.446","","","","0.46","0.46","0.46"
"396","0.444","0.444","0.444","","","","0.468","0.468","0.468"
"400","0.456","0.456","0.456","","","","0.448","0.448","0.448"
"404","0.446","0.446","0.446","","","","0.438","0.438","0.438"
"408","0.466","0.466","0.466","","","","0.46","0.46","0.46"
"412","0.45","0.45","0.45","","","","0.452","0.452","0.452"
"416","0.476","0.476","0.476","","","","0.432","0.432","0.432"
"420","0.452","0.452","0.452","","","","0.46","0.46","0.46"
"424","0.454","0.454","0.454","","","","0.446","0.446","0.446"
"428","0.442","0.442","0.442","","","","0.456","0.456","0.456"
"432","0.454","0.454","0.454","","","","0.438","0.438","0.438"
"436","0.436","0.436","0.436","","","","0.462","0.462","0.462"
"440","0.454","0.454","0.454","","","","0.464","0.464","0.464"
"444","0.446","0.446","0.446","","","","0.44","0.44","0.44"
"448","0.438","0.438","0.438","","","","0.446","0.446","0.446"
"452","0.422","0.422","0.422","","","","0.45","0.45","0.45"
"456","0.442","0.442","0.442","","","","0.434","0.434","0.434"
"460","0.454","0.454","0.454","","","","0.448","0.448","0.448"
"464","0.45","0.45","0.45","","","","0.458","0.458","0.458"
"468","0.436","0.436","0.436","","","","0.462","0.462","0.462"
"472","0.436","0.436","0.436","","","","0.434","0.434","0.434"
"476","0.442","0.442","0.442","","","","0.448","0.448","0.448"
"480","0.448","0.448","0.448","","","","0.424","0.424","0.424"
"484","0.44","0.44","0.44","","","","0.444","0.444","0.444"
"488","0.432","0.432","0.432","","","","0.45","0.45","0.45"
"492","0.438","0.438","0.438","","","","0.454","0.454","0.454"
"496","0.43","0.43","0.43","","","","0.444","0.444","0.444"
"500","0.434","0.434","0.434","","","","0.444","0.444","0.444"
"504","0.456","0.456","0.456","","","","0.45","0.45","0.45"
"508","0.426","0.426","0.426","","","","0.45","0.45","0.45"
"512","0.442","0.442","0.442","","","","0.464","0.464","0.464"
"516","0.458","0.458","0.458","","","","0.45","0.45","0.45"
"520","0.448","0.448","0.448","","","","0.478","0.478","0.478"
"524","0.452","0.452","0.452","","","","0.468","0.468","0.468"
"528","0.432","0.432","0.432","","","","0.458","0.458","0.458"
"532","0.43","0.43","0.43","","","","0.458","0.458","0.458"
"536","0.432","0.432","0.432","","","","0.494","0.494","0.494"
"540","0.456","0.456","0.456","","","","0.458","0.458","0.458"
"544","0.472","0.472","0.472","","","","0.47","0.47","0.47"
"548","0.444","0.444","0.444","","","","0.462","0.462","0.462"
"552","0.454","0.454","0.454","","","","0.454","0.454","0.454"
"556","0.438","0.438","0.438","","","","0.456","0.456","0.456"
"560","0.444","0.444","0.444","","","","0.47","0.47","0.47"
"564","0.448","0.448","0.448","","","","0.478","0.478","0.478"
"568","0.432","0.432","0.432","","","","0.468","0.468","0.468"
