"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MAX"
"0","109","109","109","7","7","7","87.75","87.75","87.75"
"4","298.75","298.75","298.75","7","7","7","111.5","111.5","111.5"
"8","476.2","476.2","476.2","7","7","7","439.1666666666667","439.1666666666667","439.1666666666667"
"12","465","465","465","318","318","318","450","450","450"
"16","457.42857142857144","457.42857142857144","457.42857142857144","350.6666666666667","350.6666666666667","350.6666666666667","502.125","502.125","502.125"
"20","402.8333333333333","402.8333333333333","402.8333333333333","367.6","367.6","367.6","506.3","506.3","506.3"
"24","379.42857142857144","379.42857142857144","379.42857142857144","464.25","464.25","464.25","592.25","592.25","592.25"
"28","497.22222222222223","497.22222222222223","497.22222222222223","846.6666666666666","846.6666666666666","846.6666666666666","464.3333333333333","464.3333333333333","464.3333333333333"
"32","353.6","353.6","353.6","691","691","691","529.7","529.7","529.7"
"36","459.77777777777777","459.77777777777777","459.77777777777777","606.6666666666666","606.6666666666666","606.6666666666666","409.8888888888889","409.8888888888889","409.8888888888889"
"40","453.2857142857143","453.2857142857143","453.2857142857143","471.4","471.4","471.4","404.625","404.625","404.625"
"44","380.42857142857144","380.42857142857144","380.42857142857144","508.8","508.8","508.8","400.14285714285717","400.14285714285717","400.14285714285717"
"48","312.2857142857143","312.2857142857143","312.2857142857143","507","507","507","555.375","555.375","555.375"
"52","299.5","299.5","299.5","412.6666666666667","412.6666666666667","412.6666666666667","497.25","497.25","497.25"
"56","439","439","439","677.8","677.8","677.8","477.72727272727275","477.72727272727275","477.72727272727275"
"60","404","404","404","539.1428571428571","539.1428571428571","539.1428571428571","463.77777777777777","463.77777777777777","463.77777777777777"
"64","428.8888888888889","428.8888888888889","428.8888888888889","1073.8","1073.8","1073.8","459.9","459.9","459.9"
"68","512.4545454545455","512.4545454545455","512.4545454545455","385","385","385","448.25","448.25","448.25"
"72","401","401","401","397","397","397","434.3333333333333","434.3333333333333","434.3333333333333"
"76","532.2","532.2","532.2","773.4444444444445","773.4444444444445","773.4444444444445","463.5","463.5","463.5"
"80","707.7777777777778","707.7777777777778","707.7777777777778","888","888","888","587.3333333333334","587.3333333333334","587.3333333333334"
"84","263.3333333333333","263.3333333333333","263.3333333333333","1102.4","1102.4","1102.4","649.4545454545455","649.4545454545455","649.4545454545455"
"88","462.14285714285717","462.14285714285717","462.14285714285717","1000.1","1000.1","1000.1","472.2","472.2","472.2"
"92","380","380","380","988.8333333333334","988.8333333333334","988.8333333333334","500.14285714285717","500.14285714285717","500.14285714285717"
"96","259","259","259","1189.75","1189.75","1189.75","425.57142857142856","425.57142857142856","425.57142857142856"
"100","848.6666666666666","848.6666666666666","848.6666666666666","1539.4285714285713","1539.4285714285713","1539.4285714285713","528.9090909090909","528.9090909090909","528.9090909090909"
"104","380","380","380","2270","2270","2270","490.22222222222223","490.22222222222223","490.22222222222223"
"108","784.25","784.25","784.25","1612.4285714285713","1612.4285714285713","1612.4285714285713","512.5454545454545","512.5454545454545","512.5454545454545"
"112","384.25","384.25","384.25","2868","2868","2868","557.9166666666666","557.9166666666666","557.9166666666666"
"116","447.44444444444446","447.44444444444446","447.44444444444446","1939.5","1939.5","1939.5","473.44444444444446","473.44444444444446","473.44444444444446"
"120","253.16666666666666","253.16666666666666","253.16666666666666","2707","2707","2707","530","530","530"
"124","443.375","443.375","443.375","2058.714285714286","2058.714285714286","2058.714285714286","539.1818181818181","539.1818181818181","539.1818181818181"
"128","490.875","490.875","490.875","","","","526.2142857142857","526.2142857142857","526.2142857142857"
"132","540.4444444444445","540.4444444444445","540.4444444444445","","","","389.42857142857144","389.42857142857144","389.42857142857144"
"136","551.8333333333334","551.8333333333334","551.8333333333334","","","","461.6","461.6","461.6"
"140","491.57142857142856","491.57142857142856","491.57142857142856","","","","545.1666666666666","545.1666666666666","545.1666666666666"
"144","413.8181818181818","413.8181818181818","413.8181818181818","","","","442.45454545454544","442.45454545454544","442.45454545454544"
"148","350.22222222222223","350.22222222222223","350.22222222222223","","","","439.9230769230769","439.9230769230769","439.9230769230769"
"152","410.5","410.5","410.5","","","","374.3","374.3","374.3"
"156","753.8333333333334","753.8333333333334","753.8333333333334","","","","482.3333333333333","482.3333333333333","482.3333333333333"
"160","600.5","600.5","600.5","","","","373.6666666666667","373.6666666666667","373.6666666666667"
"164","596.8571428571429","596.8571428571429","596.8571428571429","","","","460.3636363636364","460.3636363636364","460.3636363636364"
"168","403.375","403.375","403.375","","","","493.6666666666667","493.6666666666667","493.6666666666667"
"172","351.1666666666667","351.1666666666667","351.1666666666667","","","","930.875","930.875","930.875"
"176","931.7777777777778","931.7777777777778","931.7777777777778","","","","520.7777777777778","520.7777777777778","520.7777777777778"
"180","544.8571428571429","544.8571428571429","544.8571428571429","","","","362.3333333333333","362.3333333333333","362.3333333333333"
"184","458.125","458.125","458.125","","","","957","957","957"
"188","587","587","587","","","","493.8","493.8","493.8"
"192","443.625","443.625","443.625","","","","628.875","628.875","628.875"
"196","459.7","459.7","459.7","","","","354","354","354"
"200","284.75","284.75","284.75","","","","391.77777777777777","391.77777777777777","391.77777777777777"
"204","269.5","269.5","269.5","","","","394.3","394.3","394.3"
"208","307.75","307.75","307.75","","","","360.125","360.125","360.125"
"212","494.09090909090907","494.09090909090907","494.09090909090907","","","","397.375","397.375","397.375"
"216","384","384","384","","","","912.1666666666666","912.1666666666666","912.1666666666666"
"220","498.6666666666667","498.6666666666667","498.6666666666667","","","","484.6666666666667","484.6666666666667","484.6666666666667"
"224","296.1666666666667","296.1666666666667","296.1666666666667","","","","366.625","366.625","366.625"
"228","401.72727272727275","401.72727272727275","401.72727272727275","","","","351.25","351.25","351.25"
"232","463","463","463","","","","431.22222222222223","431.22222222222223","431.22222222222223"
"236","496.7","496.7","496.7","","","","530.1111111111111","530.1111111111111","530.1111111111111"
"240","411.3333333333333","411.3333333333333","411.3333333333333","","","","648.8","648.8","648.8"
"244","382.14285714285717","382.14285714285717","382.14285714285717","","","","395.3333333333333","395.3333333333333","395.3333333333333"
"248","345","345","345","","","","491.125","491.125","491.125"
"252","438.5","438.5","438.5","","","","489.44444444444446","489.44444444444446","489.44444444444446"
"256","489.22222222222223","489.22222222222223","489.22222222222223","","","","449.22222222222223","449.22222222222223","449.22222222222223"
"260","409.77777777777777","409.77777777777777","409.77777777777777","","","","482.5","482.5","482.5"
"264","441.44444444444446","441.44444444444446","441.44444444444446","","","","523","523","523"
"268","652.5555555555555","652.5555555555555","652.5555555555555","","","","372.875","372.875","372.875"
"272","678.4","678.4","678.4","","","","391.75","391.75","391.75"
"276","631.1111111111111","631.1111111111111","631.1111111111111","","","","376.55555555555554","376.55555555555554","376.55555555555554"
"280","342.1666666666667","342.1666666666667","342.1666666666667","","","","434.75","434.75","434.75"
"284","507.75","507.75","507.75","","","","515.875","515.875","515.875"
"288","419.4","419.4","419.4","","","","470.875","470.875","470.875"
"292","351.55555555555554","351.55555555555554","351.55555555555554","","","","525.75","525.75","525.75"
"296","415.57142857142856","415.57142857142856","415.57142857142856","","","","791.2307692307693","791.2307692307693","791.2307692307693"
"300","998.4444444444445","998.4444444444445","998.4444444444445","","","","504.09090909090907","504.09090909090907","504.09090909090907"
"304","720.7142857142857","720.7142857142857","720.7142857142857","","","","479.6363636363636","479.6363636363636","479.6363636363636"
"308","652.5714285714286","652.5714285714286","652.5714285714286","","","","733.8333333333334","733.8333333333334","733.8333333333334"
"312","454.55555555555554","454.55555555555554","454.55555555555554","","","","443.8181818181818","443.8181818181818","443.8181818181818"
"316","382.3333333333333","382.3333333333333","382.3333333333333","","","","346.2857142857143","346.2857142857143","346.2857142857143"
"320","500.75","500.75","500.75","","","","452.8","452.8","452.8"
"324","355.3333333333333","355.3333333333333","355.3333333333333","","","","467.42857142857144","467.42857142857144","467.42857142857144"
"328","530","530","530","","","","281.7142857142857","281.7142857142857","281.7142857142857"
"332","500.7","500.7","500.7","","","","440.22222222222223","440.22222222222223","440.22222222222223"
"336","483.7142857142857","483.7142857142857","483.7142857142857","","","","398.54545454545456","398.54545454545456","398.54545454545456"
"340","496.8","496.8","496.8","","","","577.5555555555555","577.5555555555555","577.5555555555555"
"344","508.1","508.1","508.1","","","","321.6666666666667","321.6666666666667","321.6666666666667"
"348","351.22222222222223","351.22222222222223","351.22222222222223","","","","521.0909090909091","521.0909090909091","521.0909090909091"
"352","512","512","512","","","","1381","1381","1381"
"356","623.5","623.5","623.5","","","","595.9","595.9","595.9"
"360","824.8333333333334","824.8333333333334","824.8333333333334","","","","417.6666666666667","417.6666666666667","417.6666666666667"
"364","407.875","407.875","407.875","","","","478.625","478.625","478.625"
"368","417.8333333333333","417.8333333333333","417.8333333333333","","","","545.6363636363636","545.6363636363636","545.6363636363636"
"372","475.875","475.875","475.875","","","","575.1428571428571","575.1428571428571","575.1428571428571"
"376","443.5","443.5","443.5","","","","775.5","775.5","775.5"
"380","412.8","412.8","412.8","","","","590.6666666666666","590.6666666666666","590.6666666666666"
"384","455.9","455.9","455.9","","","","535.6","535.6","535.6"
"388","461.8181818181818","461.8181818181818","461.8181818181818","","","","511.75","511.75","511.75"
"392","336.375","336.375","336.375","","","","637.6","637.6","637.6"
"396","384.6","384.6","384.6","","","","476.44444444444446","476.44444444444446","476.44444444444446"
"400","405.125","405.125","405.125","","","","306.1666666666667","306.1666666666667","306.1666666666667"
"404","515.6666666666666","515.6666666666666","515.6666666666666","","","","399.27272727272725","399.27272727272725","399.27272727272725"
"408","350.625","350.625","350.625","","","","411","411","411"
"412","317","317","317","","","","499.42857142857144","499.42857142857144","499.42857142857144"
"416","357.2","357.2","357.2","","","","620","620","620"
"420","302.8333333333333","302.8333333333333","302.8333333333333","","","","1569.2857142857142","1569.2857142857142","1569.2857142857142"
"424","733.5","733.5","733.5","","","","546.625","546.625","546.625"
"428","514.5","514.5","514.5","","","","552.8888888888889","552.8888888888889","552.8888888888889"
"432","429.85714285714283","429.85714285714283","429.85714285714283","","","","498.125","498.125","498.125"
"436","552.75","552.75","552.75","","","","558.5","558.5","558.5"
"440","447.375","447.375","447.375","","","","534.375","534.375","534.375"
"444","423.7142857142857","423.7142857142857","423.7142857142857","","","","506.15384615384613","506.15384615384613","506.15384615384613"
"448","400.25","400.25","400.25","","","","545.4545454545455","545.4545454545455","545.4545454545455"
"452","354.2857142857143","354.2857142857143","354.2857142857143","","","","524.5555555555555","524.5555555555555","524.5555555555555"
"456","375.75","375.75","375.75","","","","463.375","463.375","463.375"
"460","400.85714285714283","400.85714285714283","400.85714285714283","","","","584","584","584"
"464","393.85714285714283","393.85714285714283","393.85714285714283","","","","773.5714285714286","773.5714285714286","773.5714285714286"
"468","571","571","571","","","","514.3333333333334","514.3333333333334","514.3333333333334"
"472","381.27272727272725","381.27272727272725","381.27272727272725","","","","400.5","400.5","400.5"
"476","302.25","302.25","302.25","","","","412","412","412"
"480","513.1428571428571","513.1428571428571","513.1428571428571","","","","725","725","725"
"484","794.1111111111111","794.1111111111111","794.1111111111111","","","","577","577","577"
"488","365.8181818181818","365.8181818181818","365.8181818181818","","","","663.375","663.375","663.375"
"492","540.0833333333334","540.0833333333334","540.0833333333334","","","","519.7777777777778","519.7777777777778","519.7777777777778"
"496","539.4545454545455","539.4545454545455","539.4545454545455","","","","584.7","584.7","584.7"
"500","441","441","441","","","","835.8","835.8","835.8"
"504","381.8333333333333","381.8333333333333","381.8333333333333","","","","584.6428571428571","584.6428571428571","584.6428571428571"
"508","595.375","595.375","595.375","","","","379.2857142857143","379.2857142857143","379.2857142857143"
"512","444.8888888888889","444.8888888888889","444.8888888888889","","","","426.7","426.7","426.7"
"516","489.85714285714283","489.85714285714283","489.85714285714283","","","","484.25","484.25","484.25"
"520","511.625","511.625","511.625","","","","427.85714285714283","427.85714285714283","427.85714285714283"
"524","538.0909090909091","538.0909090909091","538.0909090909091","","","","475.3636363636364","475.3636363636364","475.3636363636364"
"528","685.0909090909091","685.0909090909091","685.0909090909091","","","","471.75","471.75","471.75"
"532","404","404","404","","","","598.2","598.2","598.2"
"536","451.44444444444446","451.44444444444446","451.44444444444446","","","","491","491","491"
"540","395.42857142857144","395.42857142857144","395.42857142857144","","","","486.55555555555554","486.55555555555554","486.55555555555554"
"544","413.3076923076923","413.3076923076923","413.3076923076923","","","","460.6666666666667","460.6666666666667","460.6666666666667"
"548","510","510","510","","","","573.4545454545455","573.4545454545455","573.4545454545455"
"552","391.85714285714283","391.85714285714283","391.85714285714283","","","","468","468","468"
"556","622.4444444444445","622.4444444444445","622.4444444444445","","","","527.6","527.6","527.6"
"560","365.875","365.875","365.875","","","","573.5","573.5","573.5"
"564","555.7","555.7","555.7","","","","438.75","438.75","438.75"
"568","953.75","953.75","953.75","","","","357.57142857142856","357.57142857142856","357.57142857142856"
"572","662.875","662.875","662.875","","","","424.3333333333333","424.3333333333333","424.3333333333333"
"576","580","580","580","","","","322.14285714285717","322.14285714285717","322.14285714285717"
"580","466.44444444444446","466.44444444444446","466.44444444444446","","","","520","520","520"
"584","440.5","440.5","440.5","","","","297","297","297"
"588","421.7","421.7","421.7","","","","569.4","569.4","569.4"
"592","529.3846153846154","529.3846153846154","529.3846153846154","","","","601.5714285714286","601.5714285714286","601.5714285714286"
"596","380.90909090909093","380.90909090909093","380.90909090909093","","","","403","403","403"
"600","420","420","420","","","","617.4545454545455","617.4545454545455","617.4545454545455"
"604","330.1","330.1","330.1","","","","577.6","577.6","577.6"
"608","488","488","488","","","","629.8888888888889","629.8888888888889","629.8888888888889"
"612","481.22222222222223","481.22222222222223","481.22222222222223","","","","462.1111111111111","462.1111111111111","462.1111111111111"
"616","478.6666666666667","478.6666666666667","478.6666666666667","","","","577.1666666666666","577.1666666666666","577.1666666666666"
"620","334","334","334","","","","606.9090909090909","606.9090909090909","606.9090909090909"
"624","624.2857142857143","624.2857142857143","624.2857142857143","","","","692.875","692.875","692.875"
"628","781.4","781.4","781.4","","","","555.875","555.875","555.875"
"632","478.6666666666667","478.6666666666667","478.6666666666667","","","","486.8888888888889","486.8888888888889","486.8888888888889"
"636","541.4285714285714","541.4285714285714","541.4285714285714","","","","507.22222222222223","507.22222222222223","507.22222222222223"
"640","579.5","579.5","579.5","","","","767.5833333333334","767.5833333333334","767.5833333333334"
"644","682.75","682.75","682.75","","","","508.55555555555554","508.55555555555554","508.55555555555554"
"648","459.8181818181818","459.8181818181818","459.8181818181818","","","","574.8","574.8","574.8"
"652","625.125","625.125","625.125","","","","468.85714285714283","468.85714285714283","468.85714285714283"
"656","498.57142857142856","498.57142857142856","498.57142857142856","","","","589.6666666666666","589.6666666666666","589.6666666666666"
"660","483","483","483","","","","595","595","595"
"664","382.44444444444446","382.44444444444446","382.44444444444446","","","","554.625","554.625","554.625"
"668","420.77777777777777","420.77777777777777","420.77777777777777","","","","504.5","504.5","504.5"
"672","453.6363636363636","453.6363636363636","453.6363636363636","","","","467.14285714285717","467.14285714285717","467.14285714285717"
"676","344.8333333333333","344.8333333333333","344.8333333333333","","","","426.6666666666667","426.6666666666667","426.6666666666667"
"680","570.875","570.875","570.875","","","","542.5","542.5","542.5"
"684","346","346","346","","","","380.4","380.4","380.4"
"688","425.42857142857144","425.42857142857144","425.42857142857144","","","","822.6666666666666","822.6666666666666","822.6666666666666"
"692","387.6666666666667","387.6666666666667","387.6666666666667","","","","399.5","399.5","399.5"
"696","369","369","369","","","","","",""
"700","425.625","425.625","425.625","","","","","",""
"704","454.8333333333333","454.8333333333333","454.8333333333333","","","","","",""
"708","299.5","299.5","299.5","","","","","",""
"712","535","535","535","","","","","",""
"716","393","393","393","","","","","",""
"720","474.7","474.7","474.7","","","","","",""
"724","454.25","454.25","454.25","","","","","",""
"728","457.625","457.625","457.625","","","","","",""
"732","397.875","397.875","397.875","","","","","",""
"736","580.4285714285714","580.4285714285714","580.4285714285714","","","","","",""
