Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MIN
0,7.0,7.0,7.0,87.75,87.75,87.75,109.0,109.0,109.0
4,7.0,7.0,7.0,111.5,111.5,111.5,298.75,298.75,298.75
8,7.0,7.0,7.0,439.1666666666667,439.1666666666667,439.1666666666667,476.2,476.2,476.2
12,318.0,318.0,318.0,450.0,450.0,450.0,465.0,465.0,465.0
16,350.6666666666667,350.6666666666667,350.6666666666667,502.125,502.125,502.125,457.4285714285714,457.4285714285714,457.4285714285714
20,367.6,367.6,367.6,506.3,506.3,506.3,402.8333333333333,402.8333333333333,402.8333333333333
24,464.25,464.25,464.25,592.25,592.25,592.25,379.4285714285714,379.4285714285714,379.4285714285714
28,846.6666666666666,846.6666666666666,846.6666666666666,464.3333333333333,464.3333333333333,464.3333333333333,497.22222222222223,497.22222222222223,497.22222222222223
32,691.0,691.0,691.0,529.7,529.7,529.7,353.6,353.6,353.6
36,606.6666666666666,606.6666666666666,606.6666666666666,409.8888888888889,409.8888888888889,409.8888888888889,459.77777777777777,459.77777777777777,459.77777777777777
40,471.4,471.4,471.4,404.625,404.625,404.625,453.2857142857143,453.2857142857143,453.2857142857143
44,508.8,508.8,508.8,400.1428571428572,400.1428571428572,400.1428571428572,380.4285714285714,380.4285714285714,380.4285714285714
48,507.0,507.0,507.0,555.375,555.375,555.375,312.2857142857143,312.2857142857143,312.2857142857143
52,412.6666666666667,412.6666666666667,412.6666666666667,497.25,497.25,497.25,299.5,299.5,299.5
56,677.8,677.8,677.8,477.7272727272728,477.7272727272728,477.7272727272728,439.0,439.0,439.0
60,539.1428571428571,539.1428571428571,539.1428571428571,463.77777777777777,463.77777777777777,463.77777777777777,404.0,404.0,404.0
64,1073.8,1073.8,1073.8,459.9,459.9,459.9,428.8888888888889,428.8888888888889,428.8888888888889
