"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MAX"
"0","75.4396551724138","75.4396551724138","75.4396551724138","135.5681818181818","135.5681818181818","135.5681818181818","82.58620689655173","82.58620689655173","82.58620689655173"
"4","110.76923076923077","110.76923076923077","110.76923076923077","55.983050847457626","55.983050847457626","55.983050847457626","138.2875","138.2875","138.2875"
"8","207.53518123667376","207.53518123667376","207.53518123667376","45.73626373626374","45.73626373626374","45.73626373626374","204.07289293849658","204.07289293849658","204.07289293849658"
"12","208.71898355754857","208.71898355754857","208.71898355754857","110.67777777777778","110.67777777777778","110.67777777777778","208.3768352365416","208.3768352365416","208.3768352365416"
"16","218.06639004149378","218.06639004149378","218.06639004149378","281.60135135135135","281.60135135135135","281.60135135135135","218.84402332361515","218.84402332361515","218.84402332361515"
"20","204.73201692524682","204.73201692524682","204.73201692524682","297.9491525423729","297.9491525423729","297.9491525423729","211.98104956268222","211.98104956268222","211.98104956268222"
"24","204.02035278154682","204.02035278154682","204.02035278154682","315.10723860589815","315.10723860589815","315.10723860589815","198.80851063829786","198.80851063829786","198.80851063829786"
"28","197.48433048433048","197.48433048433048","197.48433048433048","313.7900677200903","313.7900677200903","313.7900677200903","194.5014245014245","194.5014245014245","194.5014245014245"
"32","192.84944751381215","192.84944751381215","192.84944751381215","331.9686192468619","331.9686192468619","331.9686192468619","183.51359084406295","183.51359084406295","183.51359084406295"
"36","184.30434782608697","184.30434782608697","184.30434782608697","331.984496124031","331.984496124031","331.984496124031","179.63751763046545","179.63751763046545","179.63751763046545"
