Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MIN
0,135.5681818181818,135.5681818181818,135.5681818181818,82.58620689655173,82.58620689655173,82.58620689655173,75.4396551724138,75.4396551724138,75.4396551724138
4,55.983050847457626,55.983050847457626,55.983050847457626,138.2875,138.2875,138.2875,110.76923076923076,110.76923076923076,110.76923076923076
8,45.73626373626374,45.73626373626374,45.73626373626374,204.07289293849655,204.07289293849655,204.07289293849655,207.53518123667376,207.53518123667376,207.53518123667376
12,110.67777777777778,110.67777777777778,110.67777777777778,208.3768352365416,208.3768352365416,208.3768352365416,208.71898355754857,208.71898355754857,208.71898355754857
16,281.6013513513513,281.6013513513513,281.6013513513513,218.84402332361515,218.84402332361515,218.84402332361515,218.06639004149375,218.06639004149375,218.06639004149375
20,297.9491525423729,297.9491525423729,297.9491525423729,211.98104956268224,211.98104956268224,211.98104956268224,204.7320169252468,204.7320169252468,204.7320169252468
24,315.10723860589815,315.10723860589815,315.10723860589815,198.80851063829783,198.80851063829783,198.80851063829783,204.0203527815468,204.0203527815468,204.0203527815468
28,313.7900677200903,313.7900677200903,313.7900677200903,194.5014245014245,194.5014245014245,194.5014245014245,197.48433048433048,197.48433048433048,197.48433048433048
32,331.9686192468619,331.9686192468619,331.9686192468619,183.51359084406292,183.51359084406292,183.51359084406292,192.84944751381212,192.84944751381212,192.84944751381212
36,331.984496124031,331.984496124031,331.984496124031,179.63751763046545,179.63751763046545,179.63751763046545,184.30434782608697,184.30434782608697,184.30434782608697
40,290.17833333333334,290.17833333333334,290.17833333333334,180.95238095238096,180.95238095238096,180.95238095238096,185.16755319148936,185.16755319148936,185.16755319148936
44,296.582905982906,296.582905982906,296.582905982906,178.46038251366122,178.46038251366122,178.46038251366122,184.45844504021449,184.45844504021449,184.45844504021449
48,256.3747870528109,256.3747870528109,256.3747870528109,183.54768392370573,183.54768392370573,183.54768392370573,182.1550591327201,182.1550591327201,182.1550591327201
52,203.01528013582345,203.01528013582345,203.01528013582345,179.97150610583446,179.97150610583446,179.97150610583446,175.42125984251967,175.42125984251967,175.42125984251967
56,199.5878260869565,199.5878260869565,199.5878260869565,181.3727034120735,181.3727034120735,181.3727034120735,166.84986945169712,166.84986945169712,166.84986945169712
60,232.45210084033613,232.45210084033613,232.45210084033613,182.8096514745308,182.8096514745308,182.8096514745308,161.36245110821383,161.36245110821383,161.36245110821383
64,246.29818780889624,246.29818780889624,246.29818780889624,181.75596816976127,181.75596816976127,181.75596816976127,160.1159793814433,160.1159793814433,160.1159793814433
68,256.59472817133445,256.59472817133445,256.59472817133445,180.83026315789476,180.83026315789476,180.83026315789476,158.687012987013,158.687012987013,158.687012987013
72,263.3929712460064,263.3929712460064,263.3929712460064,175.41534391534393,175.41534391534393,175.41534391534393,160.6126582278481,160.6126582278481,160.6126582278481
76,296.8832,296.8832,296.8832,177.52091767881242,177.52091767881242,177.52091767881242,164.15696202531646,164.15696202531646,164.15696202531646
80,365.287037037037,365.287037037037,365.287037037037,177.1497975708502,177.1497975708502,177.1497975708502,164.79034307496823,164.79034307496823,164.79034307496823
84,408.9739663093415,408.9739663093415,408.9739663093415,179.33204134366926,179.33204134366926,179.33204134366926,172.73873873873873,172.73873873873873,172.73873873873873
88,596.409604519774,596.409604519774,596.409604519774,173.832,173.832,173.832,169.23096446700507,169.23096446700507,169.23096446700507
92,622.8222543352601,622.8222543352601,622.8222543352601,173.9233870967742,173.9233870967742,173.9233870967742,169.5820707070707,169.5820707070707,169.5820707070707
96,593.1627906976744,593.1627906976744,593.1627906976744,175.59973924380705,175.59973924380705,175.59973924380705,167.60175879396985,167.60175879396985,167.60175879396985
100,1114.9307065217392,1114.9307065217392,1114.9307065217392,174.83031088082902,174.83031088082902,174.83031088082902,170.61557478368357,170.61557478368357,170.61557478368357
104,1013.134477825465,1013.134477825465,1013.134477825465,171.90592783505156,171.90592783505156,171.90592783505156,165.6218905472637,165.6218905472637,165.6218905472637
108,1045.229461756374,1045.229461756374,1045.229461756374,168.17801047120415,168.17801047120415,168.17801047120415,163.63329161451816,163.63329161451816,163.63329161451816
112,1504.8057065217392,1504.8057065217392,1504.8057065217392,167.70409511228533,167.70409511228533,167.70409511228533,162.25,162.25,162.25
116,1604.5520110957004,1604.5520110957004,1604.5520110957004,165.91834002677376,165.91834002677376,165.91834002677376,164.5822002472188,164.5822002472188,164.5822002472188
