"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MAX"
"0","124.51388888888889","124.51388888888889","124.51388888888889","157.3939393939394","157.3939393939394","157.3939393939394","165.7719298245614","165.7719298245614","165.7719298245614"
"4","207.76041666666666","207.76041666666666","207.76041666666666","102.52380952380952","102.52380952380952","102.52380952380952","201.6375","201.6375","201.6375"
"8","337.3151515151515","337.3151515151515","337.3151515151515","74.84","74.84","74.84","338.8639053254438","338.8639053254438","338.8639053254438"
"12","335.43386243386243","335.43386243386243","335.43386243386243","171.94","171.94","171.94","326.94565217391306","326.94565217391306","326.94565217391306"
"16","375.1701030927835","375.1701030927835","375.1701030927835","224.61194029850745","224.61194029850745","224.61194029850745","344.76719576719574","344.76719576719574","344.76719576719574"
"20","371.56716417910445","371.56716417910445","371.56716417910445","297.22115384615387","297.22115384615387","297.22115384615387","341.6372549019608","341.6372549019608","341.6372549019608"
"24","327.7754010695187","327.7754010695187","327.7754010695187","379.3253968253968","379.3253968253968","379.3253968253968","336.1617647058824","336.1617647058824","336.1617647058824"
"28","301.26178010471205","301.26178010471205","301.26178010471205","475.82608695652175","475.82608695652175","475.82608695652175","335.1179487179487","335.1179487179487","335.1179487179487"
"32","335.5049504950495","335.5049504950495","335.5049504950495","499.47857142857146","499.47857142857146","499.47857142857146","329.27830188679246","329.27830188679246","329.27830188679246"
"36","298.0731707317073","298.0731707317073","298.0731707317073","477.6666666666667","477.6666666666667","477.6666666666667","303.4875621890547","303.4875621890547","303.4875621890547"
"40","307.9056603773585","307.9056603773585","307.9056603773585","425.82236842105266","425.82236842105266","425.82236842105266","309.7378640776699","309.7378640776699","309.7378640776699"
"44","294.5353535353535","294.5353535353535","294.5353535353535","447.9757575757576","447.9757575757576","447.9757575757576","306.8373205741627","306.8373205741627","306.8373205741627"
"48","295.2512315270936","295.2512315270936","295.2512315270936","403.0473372781065","403.0473372781065","403.0473372781065","307.511961722488","307.511961722488","307.511961722488"
"52","273.4926108374384","273.4926108374384","273.4926108374384","417.89385474860336","417.89385474860336","417.89385474860336","296.8","296.8","296.8"
"56","256.574358974359","256.574358974359","256.574358974359","403.51381215469615","403.51381215469615","403.51381215469615","325.9271844660194","325.9271844660194","325.9271844660194"
"60","265.965","265.965","265.965","421.9943820224719","421.9943820224719","421.9943820224719","330.2169811320755","330.2169811320755","330.2169811320755"
"64","249.04","249.04","249.04","387.24226804123714","387.24226804123714","387.24226804123714","325.37914691943126","325.37914691943126","325.37914691943126"
"68","243.28855721393035","243.28855721393035","243.28855721393035","420.10674157303373","420.10674157303373","420.10674157303373","315.1267605633803","315.1267605633803","315.1267605633803"
"72","249.33644859813083","249.33644859813083","249.33644859813083","459.16201117318434","459.16201117318434","459.16201117318434","314.537037037037","314.537037037037","314.537037037037"
"76","247.47058823529412","247.47058823529412","247.47058823529412","470.72677595628414","470.72677595628414","470.72677595628414","311.2775119617225","311.2775119617225","311.2775119617225"
"80","288.4326923076923","288.4326923076923","288.4326923076923","574.1818181818181","574.1818181818181","574.1818181818181","330.01869158878503","330.01869158878503","330.01869158878503"
"84","280.0325581395349","280.0325581395349","280.0325581395349","601.4329896907217","601.4329896907217","601.4329896907217","330","330","330"
"88","272.9674418604651","272.9674418604651","272.9674418604651","815.0051813471503","815.0051813471503","815.0051813471503","305.66336633663366","305.66336633663366","305.66336633663366"
"92","259.1926605504587","259.1926605504587","259.1926605504587","936.615763546798","936.615763546798","936.615763546798","286.8904761904762","286.8904761904762","286.8904761904762"
"96","258.85714285714283","258.85714285714283","258.85714285714283","900.3471502590673","900.3471502590673","900.3471502590673","295.7345971563981","295.7345971563981","295.7345971563981"
"100","272.8341232227488","272.8341232227488","272.8341232227488","1427.4358974358975","1427.4358974358975","1427.4358974358975","308.6392694063927","308.6392694063927","308.6392694063927"
"104","267.03097345132744","267.03097345132744","267.03097345132744","1414.1515151515152","1414.1515151515152","1414.1515151515152","319.875","319.875","319.875"
"108","273.0619469026549","273.0619469026549","273.0619469026549","1421.0247524752476","1421.0247524752476","1421.0247524752476","308.31838565022423","308.31838565022423","308.31838565022423"
"112","267.8789237668162","267.8789237668162","267.8789237668162","1756.6813725490197","1756.6813725490197","1756.6813725490197","283.11267605633805","283.11267605633805","283.11267605633805"
"116","273.26027397260276","273.26027397260276","273.26027397260276","1730.7196261682243","1730.7196261682243","1730.7196261682243","320.9819004524887","320.9819004524887","320.9819004524887"
"120","287.18446601941747","287.18446601941747","287.18446601941747","1745.2884615384614","1745.2884615384614","1745.2884615384614","279.6407766990291","279.6407766990291","279.6407766990291"
"124","269.7607655502392","269.7607655502392","269.7607655502392","1660.9948717948719","1660.9948717948719","1660.9948717948719","320.27555555555557","320.27555555555557","320.27555555555557"
"128","280.06363636363636","280.06363636363636","280.06363636363636","","","","316.5342465753425","316.5342465753425","316.5342465753425"
"132","281.4449541284404","281.4449541284404","281.4449541284404","","","","287.8738317757009","287.8738317757009","287.8738317757009"
"136","274.1388888888889","274.1388888888889","274.1388888888889","","","","333.4198113207547","333.4198113207547","333.4198113207547"
"140","294.57142857142856","294.57142857142856","294.57142857142856","","","","307.48571428571427","307.48571428571427","307.48571428571427"
"144","280.1004566210046","280.1004566210046","280.1004566210046","","","","337.3835616438356","337.3835616438356","337.3835616438356"
"148","285.3456221198157","285.3456221198157","285.3456221198157","","","","285.51869158878503","285.51869158878503","285.51869158878503"
"152","273.18721461187215","273.18721461187215","273.18721461187215","","","","313.8967136150235","313.8967136150235","313.8967136150235"
"156","301.3863636363636","301.3863636363636","301.3863636363636","","","","302.37327188940094","302.37327188940094","302.37327188940094"
"160","283.28110599078343","283.28110599078343","283.28110599078343","","","","295.3181818181818","295.3181818181818","295.3181818181818"
"164","298.5357142857143","298.5357142857143","298.5357142857143","","","","291.97685185185185","291.97685185185185","291.97685185185185"
"168","297.0301724137931","297.0301724137931","297.0301724137931","","","","311.50467289719626","311.50467289719626","311.50467289719626"
"172","288.26222222222225","288.26222222222225","288.26222222222225","","","","310.22222222222223","310.22222222222223","310.22222222222223"
"176","279.1390134529148","279.1390134529148","279.1390134529148","","","","300.65581395348835","300.65581395348835","300.65581395348835"
"180","294.82191780821915","294.82191780821915","294.82191780821915","","","","333.1592039800995","333.1592039800995","333.1592039800995"
"184","275.1137440758294","275.1137440758294","275.1137440758294","","","","304.02912621359224","304.02912621359224","304.02912621359224"
"188","284.9710144927536","284.9710144927536","284.9710144927536","","","","327.6296296296296","327.6296296296296","327.6296296296296"
"192","285.77477477477476","285.77477477477476","285.77477477477476","","","","315.8918918918919","315.8918918918919","315.8918918918919"
"196","279.5590909090909","279.5590909090909","279.5590909090909","","","","347.02666666666664","347.02666666666664","347.02666666666664"
"200","278.76146788990826","278.76146788990826","278.76146788990826","","","","314.9951923076923","314.9951923076923","314.9951923076923"
"204","290.0711111111111","290.0711111111111","290.0711111111111","","","","331.3744075829384","331.3744075829384","331.3744075829384"
"208","273.00888888888886","273.00888888888886","273.00888888888886","","","","322.7510917030568","322.7510917030568","322.7510917030568"
"212","268.7180616740088","268.7180616740088","268.7180616740088","","","","287.5138888888889","287.5138888888889","287.5138888888889"
"216","260.74429223744295","260.74429223744295","260.74429223744295","","","","343.6575342465753","343.6575342465753","343.6575342465753"
"220","274.3863636363636","274.3863636363636","274.3863636363636","","","","322.67105263157896","322.67105263157896","322.67105263157896"
"224","255.08530805687204","255.08530805687204","255.08530805687204","","","","311.2597402597403","311.2597402597403","311.2597402597403"
"228","279.5900900900901","279.5900900900901","279.5900900900901","","","","313.3480176211454","313.3480176211454","313.3480176211454"
"232","272.26785714285717","272.26785714285717","272.26785714285717","","","","316.7381974248927","316.7381974248927","316.7381974248927"
"236","282.3794642857143","282.3794642857143","282.3794642857143","","","","322.3911111111111","322.3911111111111","322.3911111111111"
"240","279.04824561403507","279.04824561403507","279.04824561403507","","","","317.0945945945946","317.0945945945946","317.0945945945946"
"244","316.8279069767442","316.8279069767442","316.8279069767442","","","","328.86343612334804","328.86343612334804","328.86343612334804"
"248","279.28384279475983","279.28384279475983","279.28384279475983","","","","282.74766355140184","282.74766355140184","282.74766355140184"
"252","285.0272727272727","285.0272727272727","285.0272727272727","","","","295.64444444444445","295.64444444444445","295.64444444444445"
"256","287.0963302752294","287.0963302752294","287.0963302752294","","","","290.32489451476795","290.32489451476795","290.32489451476795"
"260","293.6977777777778","293.6977777777778","293.6977777777778","","","","294.0218340611354","294.0218340611354","294.0218340611354"
"264","297.2916666666667","297.2916666666667","297.2916666666667","","","","295.80172413793105","295.80172413793105","295.80172413793105"
"268","292.2927927927928","292.2927927927928","292.2927927927928","","","","299.7445887445887","299.7445887445887","299.7445887445887"
"272","298.125","298.125","298.125","","","","315.1324200913242","315.1324200913242","315.1324200913242"
"276","292.6088888888889","292.6088888888889","292.6088888888889","","","","316.05333333333334","316.05333333333334","316.05333333333334"
"280","273.7763157894737","273.7763157894737","273.7763157894737","","","","310.13100436681225","310.13100436681225","310.13100436681225"
"284","313.05172413793105","313.05172413793105","313.05172413793105","","","","295.41409691629957","295.41409691629957","295.41409691629957"
"288","303.0952380952381","303.0952380952381","303.0952380952381","","","","296.25471698113205","296.25471698113205","296.25471698113205"
