Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MIN
0,157.3939393939394,157.3939393939394,157.3939393939394,165.7719298245614,165.7719298245614,165.7719298245614,124.51388888888889,124.51388888888889,124.51388888888889
4,102.52380952380952,102.52380952380952,102.52380952380952,201.6375,201.6375,201.6375,207.76041666666663,207.76041666666663,207.76041666666663
8,74.84,74.84,74.84,338.8639053254438,338.8639053254438,338.8639053254438,337.3151515151515,337.3151515151515,337.3151515151515
12,171.94,171.94,171.94,326.94565217391306,326.94565217391306,326.94565217391306,335.43386243386243,335.43386243386243,335.43386243386243
16,224.61194029850745,224.61194029850745,224.61194029850745,344.76719576719574,344.76719576719574,344.76719576719574,375.1701030927835,375.1701030927835,375.1701030927835
20,297.22115384615387,297.22115384615387,297.22115384615387,341.6372549019608,341.6372549019608,341.6372549019608,371.56716417910445,371.56716417910445,371.56716417910445
24,379.3253968253968,379.3253968253968,379.3253968253968,336.1617647058824,336.1617647058824,336.1617647058824,327.7754010695187,327.7754010695187,327.7754010695187
28,475.82608695652175,475.82608695652175,475.82608695652175,335.1179487179487,335.1179487179487,335.1179487179487,301.26178010471205,301.26178010471205,301.26178010471205
32,499.47857142857146,499.47857142857146,499.47857142857146,329.27830188679246,329.27830188679246,329.27830188679246,335.5049504950495,335.5049504950495,335.5049504950495
36,477.6666666666667,477.6666666666667,477.6666666666667,303.4875621890547,303.4875621890547,303.4875621890547,298.0731707317073,298.0731707317073,298.0731707317073
40,425.8223684210527,425.8223684210527,425.8223684210527,309.7378640776699,309.7378640776699,309.7378640776699,307.9056603773585,307.9056603773585,307.9056603773585
44,447.9757575757576,447.9757575757576,447.9757575757576,306.8373205741627,306.8373205741627,306.8373205741627,294.5353535353535,294.5353535353535,294.5353535353535
48,403.0473372781065,403.0473372781065,403.0473372781065,307.511961722488,307.511961722488,307.511961722488,295.2512315270936,295.2512315270936,295.2512315270936
52,417.89385474860336,417.89385474860336,417.89385474860336,296.8,296.8,296.8,273.4926108374384,273.4926108374384,273.4926108374384
56,403.51381215469615,403.51381215469615,403.51381215469615,325.9271844660194,325.9271844660194,325.9271844660194,256.574358974359,256.574358974359,256.574358974359
60,421.9943820224719,421.9943820224719,421.9943820224719,330.2169811320755,330.2169811320755,330.2169811320755,265.965,265.965,265.965
64,387.24226804123714,387.24226804123714,387.24226804123714,325.37914691943126,325.37914691943126,325.37914691943126,249.04,249.04,249.04
68,420.1067415730337,420.1067415730337,420.1067415730337,315.1267605633803,315.1267605633803,315.1267605633803,243.28855721393035,243.28855721393035,243.28855721393035
72,459.16201117318434,459.16201117318434,459.16201117318434,314.537037037037,314.537037037037,314.537037037037,249.33644859813083,249.33644859813083,249.33644859813083
76,470.72677595628414,470.72677595628414,470.72677595628414,311.2775119617225,311.2775119617225,311.2775119617225,247.4705882352941,247.4705882352941,247.4705882352941
80,574.1818181818181,574.1818181818181,574.1818181818181,330.01869158878503,330.01869158878503,330.01869158878503,288.4326923076923,288.4326923076923,288.4326923076923
84,601.4329896907217,601.4329896907217,601.4329896907217,330.0,330.0,330.0,280.0325581395349,280.0325581395349,280.0325581395349
88,815.0051813471503,815.0051813471503,815.0051813471503,305.66336633663366,305.66336633663366,305.66336633663366,272.9674418604651,272.9674418604651,272.9674418604651
92,936.615763546798,936.615763546798,936.615763546798,286.8904761904762,286.8904761904762,286.8904761904762,259.1926605504587,259.1926605504587,259.1926605504587
96,900.3471502590673,900.3471502590673,900.3471502590673,295.7345971563981,295.7345971563981,295.7345971563981,258.85714285714283,258.85714285714283,258.85714285714283
100,1427.4358974358977,1427.4358974358977,1427.4358974358977,308.6392694063927,308.6392694063927,308.6392694063927,272.8341232227488,272.8341232227488,272.8341232227488
104,1414.1515151515152,1414.1515151515152,1414.1515151515152,319.875,319.875,319.875,267.03097345132744,267.03097345132744,267.03097345132744
108,1421.0247524752476,1421.0247524752476,1421.0247524752476,308.31838565022423,308.31838565022423,308.31838565022423,273.0619469026549,273.0619469026549,273.0619469026549
112,1756.6813725490197,1756.6813725490197,1756.6813725490197,283.11267605633805,283.11267605633805,283.11267605633805,267.8789237668162,267.8789237668162,267.8789237668162
116,1730.7196261682243,1730.7196261682243,1730.7196261682243,320.9819004524887,320.9819004524887,320.9819004524887,273.2602739726028,273.2602739726028,273.2602739726028
120,1745.2884615384614,1745.2884615384614,1745.2884615384614,279.6407766990291,279.6407766990291,279.6407766990291,287.18446601941747,287.18446601941747,287.18446601941747
124,1660.994871794872,1660.994871794872,1660.994871794872,320.2755555555556,320.2755555555556,320.2755555555556,269.7607655502392,269.7607655502392,269.7607655502392
128,1886.6844660194172,1886.6844660194172,1886.6844660194172,316.5342465753425,316.5342465753425,316.5342465753425,280.0636363636364,280.0636363636364,280.0636363636364
132,1981.4670050761424,1981.4670050761424,1981.4670050761424,287.8738317757009,287.8738317757009,287.8738317757009,281.4449541284404,281.4449541284404,281.4449541284404
136,1623.7605633802816,1623.7605633802816,1623.7605633802816,333.4198113207547,333.4198113207547,333.4198113207547,274.1388888888889,274.1388888888889,274.1388888888889
140,1588.3333333333333,1588.3333333333333,1588.3333333333333,307.48571428571427,307.48571428571427,307.48571428571427,294.57142857142856,294.57142857142856,294.57142857142856
144,1447.3052631578948,1447.3052631578948,1447.3052631578948,337.3835616438356,337.3835616438356,337.3835616438356,280.1004566210046,280.1004566210046,280.1004566210046
148,1569.1666666666667,1569.1666666666667,1569.1666666666667,285.51869158878503,285.51869158878503,285.51869158878503,285.3456221198157,285.3456221198157,285.3456221198157
152,1597.2058823529412,1597.2058823529412,1597.2058823529412,313.8967136150235,313.8967136150235,313.8967136150235,273.1872146118721,273.1872146118721,273.1872146118721
156,1408.8119266055046,1408.8119266055046,1408.8119266055046,302.37327188940094,302.37327188940094,302.37327188940094,301.3863636363636,301.3863636363636,301.3863636363636
160,1450.9310344827586,1450.9310344827586,1450.9310344827586,295.3181818181818,295.3181818181818,295.3181818181818,283.28110599078343,283.28110599078343,283.28110599078343
164,1459.9640214576398,1539.8349056603774,1380.093137254902,291.97685185185185,291.97685185185185,291.97685185185185,298.5357142857143,298.5357142857143,298.5357142857143
168,1477.788128540053,1573.6445497630332,1381.9317073170732,311.50467289719626,311.50467289719626,311.50467289719626,297.0301724137931,297.0301724137931,297.0301724137931
172,1386.201923076923,1386.201923076923,1386.201923076923,310.22222222222223,310.22222222222223,310.22222222222223,288.26222222222225,288.26222222222225,288.26222222222225
176,1528.361502347418,1528.361502347418,1528.361502347418,300.65581395348835,300.65581395348835,300.65581395348835,279.1390134529148,279.1390134529148,279.1390134529148
180,1163.7448979591836,1163.7448979591836,1163.7448979591836,333.1592039800995,333.1592039800995,333.1592039800995,294.82191780821915,294.82191780821915,294.82191780821915
184,1415.9027777777778,1415.9027777777778,1415.9027777777778,304.02912621359224,304.02912621359224,304.02912621359224,275.1137440758294,275.1137440758294,275.1137440758294
188,1391.4009661835748,1391.4009661835748,1391.4009661835748,327.6296296296296,327.6296296296296,327.6296296296296,284.9710144927536,284.9710144927536,284.9710144927536
