"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","252.1","252.1","252.1","96.6923076923077","96.6923076923077","96.6923076923077","216.25","216.25","216.25"
"4","421.69444444444446","421.69444444444446","421.69444444444446","144.08333333333334","144.08333333333334","144.08333333333334","376.35555555555555","376.35555555555555","376.35555555555555"
"8","494.6666666666667","494.6666666666667","494.6666666666667","26.13888888888889","26.13888888888889","26.13888888888889","478.04347826086956","478.04347826086956","478.04347826086956"
"12","525.171875","525.171875","525.171875","93.575","93.575","93.575","490.6190476190476","490.6190476190476","490.6190476190476"
"16","572.5820895522388","572.5820895522388","572.5820895522388","332.25","332.25","332.25","561.2615384615384","561.2615384615384","561.2615384615384"
"20","571.8939393939394","571.8939393939394","571.8939393939394","502.85","502.85","502.85","571.9848484848485","571.9848484848485","571.9848484848485"
"24","573.3589743589744","573.3589743589744","573.3589743589744","595.4918032786885","595.4918032786885","595.4918032786885","507.359375","507.359375","507.359375"
"28","463.11267605633805","463.11267605633805","463.11267605633805","698.8","698.8","698.8","493.75714285714287","493.75714285714287","493.75714285714287"
"32","487.37974683544303","487.37974683544303","487.37974683544303","747.179104477612","747.179104477612","747.179104477612","474.15584415584414","474.15584415584414","474.15584415584414"
"36","492.24719101123594","492.24719101123594","492.24719101123594","840.3188405797101","840.3188405797101","840.3188405797101","522.2777777777778","522.2777777777778","522.2777777777778"
"40","500.21505376344084","500.21505376344084","500.21505376344084","645.1129032258065","645.1129032258065","645.1129032258065","458.3658536585366","458.3658536585366","458.3658536585366"
"44","469.94505494505495","469.94505494505495","469.94505494505495","837.0909090909091","837.0909090909091","837.0909090909091","483.4634146341463","483.4634146341463","483.4634146341463"
"48","445.45454545454544","445.45454545454544","445.45454545454544","691","691","691","460.5584415584416","460.5584415584416","460.5584415584416"
"52","430.61842105263156","430.61842105263156","430.61842105263156","747.4533333333334","747.4533333333334","747.4533333333334","464.5769230769231","464.5769230769231","464.5769230769231"
"56","408.6794871794872","408.6794871794872","408.6794871794872","805.746835443038","805.746835443038","805.746835443038","450.0857142857143","450.0857142857143","450.0857142857143"
"60","403.4","403.4","403.4","792.2345679012345","792.2345679012345","792.2345679012345","493.05555555555554","493.05555555555554","493.05555555555554"
"64","444.975","444.975","444.975","808.635294117647","808.635294117647","808.635294117647","501.5243902439024","501.5243902439024","501.5243902439024"
"68","411.9342105263158","411.9342105263158","411.9342105263158","827.56","827.56","827.56","458.36470588235295","458.36470588235295","458.36470588235295"
"72","402.5882352941176","402.5882352941176","402.5882352941176","770.1578947368421","770.1578947368421","770.1578947368421","494.62105263157895","494.62105263157895","494.62105263157895"
"76","410.1829268292683","410.1829268292683","410.1829268292683","984.65","984.65","984.65","471.219512195122","471.219512195122","471.219512195122"
"80","397.15384615384613","397.15384615384613","397.15384615384613","1012.4880952380952","1012.4880952380952","1012.4880952380952","528.1333333333333","528.1333333333333","528.1333333333333"
"84","431.075","431.075","431.075","1071.2134831460673","1071.2134831460673","1071.2134831460673","501.0595238095238","501.0595238095238","501.0595238095238"
"88","402.675","402.675","402.675","1267.9887640449438","1267.9887640449438","1267.9887640449438","477.35555555555555","477.35555555555555","477.35555555555555"
"92","437.5061728395062","437.5061728395062","437.5061728395062","1318.8461538461538","1318.8461538461538","1318.8461538461538","487.5568181818182","487.5568181818182","487.5568181818182"
"96","405.74117647058824","405.74117647058824","405.74117647058824","1248.9036144578313","1248.9036144578313","1248.9036144578313","484.7469879518072","484.7469879518072","484.7469879518072"
"100","438.53164556962025","438.53164556962025","438.53164556962025","2110.435294117647","2110.435294117647","2110.435294117647","481.43529411764706","481.43529411764706","481.43529411764706"
"104","494.3152173913044","494.3152173913044","494.3152173913044","2135.977011494253","2135.977011494253","2135.977011494253","434.5","434.5","434.5"
"108","440.1630434782609","440.1630434782609","440.1630434782609","2005.1941747572816","2005.1941747572816","2005.1941747572816","554.6818181818181","554.6818181818181","554.6818181818181"
"112","516.1208791208791","516.1208791208791","516.1208791208791","2646.2065217391305","2646.2065217391305","2646.2065217391305","609.1914893617021","609.1914893617021","609.1914893617021"
"116","424.4235294117647","424.4235294117647","424.4235294117647","2229.4166666666665","2229.4166666666665","2229.4166666666665","483.44827586206895","483.44827586206895","483.44827586206895"
"120","511.75324675324674","511.75324675324674","511.75324675324674","2490.2978723404253","2490.2978723404253","2490.2978723404253","446.65","446.65","446.65"
"124","529.1219512195122","529.1219512195122","529.1219512195122","2338.340206185567","2338.340206185567","2338.340206185567","447.65686274509807","447.65686274509807","447.65686274509807"
"128","410.8888888888889","410.8888888888889","410.8888888888889","","","","465.7471264367816","465.7471264367816","465.7471264367816"
"132","457.5","457.5","457.5","","","","450.5108695652174","450.5108695652174","450.5108695652174"
"136","481.5869565217391","481.5869565217391","481.5869565217391","","","","423.35632183908046","423.35632183908046","423.35632183908046"
"140","443.9125","443.9125","443.9125","","","","493.3883495145631","493.3883495145631","493.3883495145631"
"144","466.85897435897436","466.85897435897436","466.85897435897436","","","","479.70526315789476","479.70526315789476","479.70526315789476"
"148","471.5","471.5","471.5","","","","510.74285714285713","510.74285714285713","510.74285714285713"
"152","471.8953488372093","471.8953488372093","471.8953488372093","","","","588.6326530612245","588.6326530612245","588.6326530612245"
"156","509.94505494505495","509.94505494505495","509.94505494505495","","","","466.72727272727275","466.72727272727275","466.72727272727275"
"160","489.62068965517244","489.62068965517244","489.62068965517244","","","","484.42857142857144","484.42857142857144","484.42857142857144"
"164","510.5652173913044","510.5652173913044","510.5652173913044","","","","492.77894736842103","492.77894736842103","492.77894736842103"
"168","511.38461538461536","511.38461538461536","511.38461538461536","","","","517.3142857142857","517.3142857142857","517.3142857142857"
"172","488.725","488.725","488.725","","","","562.2680412371134","562.2680412371134","562.2680412371134"
"176","449.0659340659341","449.0659340659341","449.0659340659341","","","","533.3163265306123","533.3163265306123","533.3163265306123"
"180","425.60215053763443","425.60215053763443","425.60215053763443","","","","546.44","546.44","546.44"
"184","461.24444444444447","461.24444444444447","461.24444444444447","","","","578.90625","578.90625","578.90625"
