"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MAX"
"0","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0"
"4","0.125","0.125","0.125","0.225","0.225","0.225","0.125","0.125","0.125"
"8","0.175","0.175","0.175","0.3","0.3","0.3","0.175","0.175","0.175"
"12","0.4","0.4","0.4","0.275","0.275","0.275","0.225","0.225","0.225"
"16","0.325","0.325","0.325","0.3","0.3","0.3","0.175","0.175","0.175"
"20","0.225","0.225","0.225","0.375","0.375","0.375","0.2","0.2","0.2"
"24","0.3","0.3","0.3","0.25","0.25","0.25","0.275","0.275","0.275"
"28","0.325","0.325","0.325","0.375","0.375","0.375","0.275","0.275","0.275"
"32","0.275","0.275","0.275","0.325","0.325","0.325","0.35","0.35","0.35"
"36","0.3","0.3","0.3","0.25","0.25","0.25","0.225","0.225","0.225"
"40","0.3","0.3","0.3","0.3","0.3","0.3","0.325","0.325","0.325"
"44","0.25","0.25","0.25","0.25","0.25","0.25","0.3","0.3","0.3"
"48","0.325","0.325","0.325","0.25","0.25","0.25","0.3","0.3","0.3"
"52","0.35","0.35","0.35","0.3","0.3","0.3","0.4","0.4","0.4"
"56","0.325","0.325","0.325","0.35","0.35","0.35","0.275","0.275","0.275"
"60","0.3","0.3","0.3","0.375","0.375","0.375","0.325","0.325","0.325"
"64","0.3","0.3","0.3","0.375","0.375","0.375","0.325","0.325","0.325"
"68","0.325","0.325","0.325","0.375","0.375","0.375","0.35","0.35","0.35"
"72","0.375","0.375","0.375","0.3","0.3","0.3","0.275","0.275","0.275"
"76","0.275","0.275","0.275","0.325","0.325","0.325","0.25","0.25","0.25"
"80","0.325","0.325","0.325","0.325","0.325","0.325","0.425","0.425","0.425"
"84","0.225","0.225","0.225","0.325","0.325","0.325","0.3","0.3","0.3"
"88","0.25","0.25","0.25","0.325","0.325","0.325","0.225","0.225","0.225"
"92","0.275","0.275","0.275","0.45","0.45","0.45","0.375","0.375","0.375"
"96","0.25","0.25","0.25","0.375","0.375","0.375","0.325","0.325","0.325"
"100","0.3","0.3","0.3","0.325","0.325","0.325","0.375","0.375","0.375"
"104","0.3","0.3","0.3","0.35","0.35","0.35","0.425","0.425","0.425"
