"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500__MAX"
"0","0.292","0.292","0.292","0.322","0.322","0.322","0.036","0.036","0.036"
"4","0.414","0.414","0.414","0.438","0.438","0.438","0.118","0.118","0.118"
"8","0.508","0.508","0.508","0.516","0.516","0.516","0.384","0.384","0.384"
"12","0.526","0.526","0.526","0.51","0.51","0.51","0.462","0.462","0.462"
"16","0.508","0.508","0.508","0.526","0.526","0.526","0.498","0.498","0.498"
"20","0.494","0.494","0.494","0.536","0.536","0.536","0.512","0.512","0.512"
"24","0.544","0.544","0.544","0.548","0.548","0.548","0.552","0.552","0.552"
"28","0.534","0.534","0.534","0.546","0.546","0.546","0.534","0.534","0.534"
"32","0.548","0.548","0.548","0.56","0.56","0.56","0.556","0.556","0.556"
"36","0.548","0.548","0.548","0.536","0.536","0.536","0.564","0.564","0.564"
"40","0.562","0.562","0.562","0.566","0.566","0.566","0.562","0.562","0.562"
"44","0.524","0.524","0.524","0.558","0.558","0.558","0.564","0.564","0.564"
"48","0.502","0.502","0.502","0.536","0.536","0.536","0.602","0.602","0.602"
"52","0.54","0.54","0.54","0.526","0.526","0.526","0.57","0.57","0.57"
"56","0.532","0.532","0.532","0.536","0.536","0.536","0.588","0.588","0.588"
"60","0.556","0.556","0.556","0.552","0.552","0.552","0.596","0.596","0.596"
"64","0.54","0.54","0.54","0.546","0.546","0.546","0.598","0.598","0.598"
"68","0.542","0.542","0.542","0.568","0.568","0.568","0.604","0.604","0.604"
"72","0.534","0.534","0.534","0.58","0.58","0.58","0.582","0.582","0.582"
"76","0.532","0.532","0.532","0.556","0.556","0.556","0.614","0.614","0.614"
"80","0.554","0.554","0.554","0.582","0.582","0.582","0.608","0.608","0.608"
"84","0.544","0.544","0.544","0.586","0.586","0.586","0.594","0.594","0.594"
"88","0.532","0.532","0.532","0.584","0.584","0.584","0.622","0.622","0.622"
"92","0.546","0.546","0.546","0.586","0.586","0.586","0.618","0.618","0.618"
"96","0.55","0.55","0.55","0.554","0.554","0.554","0.638","0.638","0.638"
"100","0.554","0.554","0.554","0.58","0.58","0.58","0.646","0.646","0.646"
"104","0.532","0.532","0.532","0.58","0.58","0.58","0.67","0.67","0.67"
"108","0.554","0.554","0.554","0.578","0.578","0.578","0.652","0.652","0.652"
"112","0.538","0.538","0.538","0.594","0.594","0.594","0.628","0.628","0.628"
"116","0.536","0.536","0.536","0.58","0.58","0.58","0.632","0.632","0.632"
"120","0.536","0.536","0.536","0.576","0.576","0.576","0.656","0.656","0.656"
"124","0.532","0.532","0.532","0.564","0.564","0.564","0.642","0.642","0.642"
"128","0.512","0.512","0.512","0.58","0.58","0.58","0.66","0.66","0.66"
"132","0.54","0.54","0.54","0.594","0.594","0.594","0.652","0.652","0.652"
"136","0.542","0.542","0.542","0.586","0.586","0.586","0.656","0.656","0.656"
"140","0.544","0.544","0.544","0.574","0.574","0.574","0.66","0.66","0.66"
"144","0.576","0.576","0.576","0.578","0.578","0.578","0.662","0.662","0.662"
"148","0.552","0.552","0.552","0.588","0.588","0.588","0.65","0.65","0.65"
"152","0.526","0.526","0.526","0.602","0.602","0.602","0.654","0.654","0.654"
"156","0.542","0.542","0.542","0.582","0.582","0.582","0.642","0.642","0.642"
"160","0.53","0.53","0.53","0.58","0.58","0.58","0.66","0.66","0.66"
"164","0.55","0.55","0.55","0.564","0.564","0.564","0.634","0.634","0.634"
"168","0.542","0.542","0.542","0.584","0.584","0.584","0.648","0.648","0.648"
"172","0.56","0.56","0.56","0.576","0.576","0.576","0.668","0.668","0.668"
"176","0.536","0.536","0.536","0.57","0.57","0.57","0.64","0.64","0.64"
"180","0.57","0.57","0.57","0.584","0.584","0.584","0.65","0.65","0.65"
"184","0.542","0.542","0.542","0.582","0.582","0.582","0.666","0.666","0.666"
"188","0.536","0.536","0.536","0.592","0.592","0.592","0.662","0.662","0.662"
"192","0.55","0.55","0.55","0.562","0.562","0.562","0.652","0.652","0.652"
"196","0.556","0.556","0.556","0.576","0.576","0.576","0.652","0.652","0.652"
"200","0.55","0.55","0.55","0.578","0.578","0.578","0.662","0.662","0.662"
"204","0.55","0.55","0.55","0.588","0.588","0.588","0.66","0.66","0.66"
"208","0.536","0.536","0.536","0.592","0.592","0.592","0.656","0.656","0.656"
"212","0.534","0.534","0.534","0.582","0.582","0.582","0.658","0.658","0.658"
"216","0.554","0.554","0.554","0.546","0.546","0.546","0.668","0.668","0.668"
"220","0.55","0.55","0.55","0.586","0.586","0.586","0.662","0.662","0.662"
"224","0.558","0.558","0.558","0.578","0.578","0.578","0.66","0.66","0.66"
