"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MAX"
"0","574","574","574","375.5","375.5","375.5","","",""
"4","392.2","392.2","392.2","465.44444444444446","465.44444444444446","465.44444444444446","1143.2","1143.2","1143.2"
"8","465.85714285714283","465.85714285714283","465.85714285714283","621.5","621.5","621.5","780.8571428571429","780.8571428571429","780.8571428571429"
"12","629.5625","629.5625","629.5625","525.2727272727273","525.2727272727273","525.2727272727273","755.2222222222222","755.2222222222222","755.2222222222222"
"16","551.1538461538462","551.1538461538462","551.1538461538462","548.0833333333334","548.0833333333334","548.0833333333334","789.2857142857143","789.2857142857143","789.2857142857143"
"20","455","455","455","698.1333333333333","698.1333333333333","698.1333333333333","847.375","847.375","847.375"
"24","642.1666666666666","642.1666666666666","642.1666666666666","625.3","625.3","625.3","1077.2727272727273","1077.2727272727273","1077.2727272727273"
"28","713.5384615384615","713.5384615384615","713.5384615384615","571.8666666666667","571.8666666666667","571.8666666666667","1046.8181818181818","1046.8181818181818","1046.8181818181818"
"32","566.7272727272727","566.7272727272727","566.7272727272727","611.3846153846154","611.3846153846154","611.3846153846154","1093.7142857142858","1093.7142857142858","1093.7142857142858"
"36","530.25","530.25","530.25","560","560","560","934.3333333333334","934.3333333333334","934.3333333333334"
"40","628.75","628.75","628.75","584","584","584","1089.923076923077","1089.923076923077","1089.923076923077"
"44","672","672","672","486.4","486.4","486.4","1131.4166666666667","1131.4166666666667","1131.4166666666667"
"48","497","497","497","556.5","556.5","556.5","1238.75","1238.75","1238.75"
"52","532.3571428571429","532.3571428571429","532.3571428571429","541","541","541","1304.5625","1304.5625","1304.5625"
"56","532.6153846153846","532.6153846153846","532.6153846153846","477.85714285714283","477.85714285714283","477.85714285714283","957.0909090909091","957.0909090909091","957.0909090909091"
"60","477.0833333333333","477.0833333333333","477.0833333333333","579.2","579.2","579.2","1304.6923076923076","1304.6923076923076","1304.6923076923076"
