"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k__MAX"
"0","204.16528925619835","204.16528925619835","204.16528925619835","194.54263565891472","194.54263565891472","194.54263565891472","81","81","81"
"4","217.33646616541353","217.33646616541353","217.33646616541353","217.156146179402","217.156146179402","217.156146179402","148.87209302325581","148.87209302325581","148.87209302325581"
"8","220.46083418107833","220.46083418107833","220.46083418107833","227.7032057911065","227.7032057911065","227.7032057911065","376.29418604651164","376.29418604651164","376.29418604651164"
"12","220.44970414201183","220.44970414201183","220.44970414201183","228.8316633266533","228.8316633266533","228.8316633266533","392.01869158878503","392.01869158878503","392.01869158878503"
"16","212.23790720631786","212.23790720631786","212.23790720631786","227.18986083499007","227.18986083499007","227.18986083499007","370.79038854805725","370.79038854805725","370.79038854805725"
"20","203.65062560153993","203.65062560153993","203.65062560153993","218.60353287536802","218.60353287536802","218.60353287536802","338.67203219315894","338.67203219315894","338.67203219315894"
"24","200.08590733590734","200.08590733590734","200.08590733590734","216.63376110562686","216.63376110562686","216.63376110562686","319.26640926640925","319.26640926640925","319.26640926640925"
"28","201.5380228136882","201.5380228136882","201.5380228136882","216.69356388088377","216.69356388088377","216.69356388088377","322.94966118102616","322.94966118102616","322.94966118102616"
"32","201.70869149952244","201.70869149952244","201.70869149952244","218.91957364341084","218.91957364341084","218.91957364341084","355.6032660902978","355.6032660902978","355.6032660902978"
"36","199.9679245283019","199.9679245283019","199.9679245283019","215.5610465116279","215.5610465116279","215.5610465116279","386.33956969130026","386.33956969130026","386.33956969130026"
