"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500__MAX"
"0","330.75342465753425","330.75342465753425","330.75342465753425","335.1304347826087","335.1304347826087","335.1304347826087","187.27777777777777","187.27777777777777","187.27777777777777"
"4","327.9710144927536","327.9710144927536","327.9710144927536","345.0821917808219","345.0821917808219","345.0821917808219","435.54237288135596","435.54237288135596","435.54237288135596"
"8","352.57086614173227","352.57086614173227","352.57086614173227","377.3217054263566","377.3217054263566","377.3217054263566","681.4479166666666","681.4479166666666","681.4479166666666"
"12","372.65019011406844","372.65019011406844","372.65019011406844","366.61960784313726","366.61960784313726","366.61960784313726","760.8484848484849","760.8484848484849","760.8484848484849"
"16","328.1456692913386","328.1456692913386","328.1456692913386","376.86692015209127","376.86692015209127","376.86692015209127","761.6666666666666","761.6666666666666","761.6666666666666"
"20","323.2712550607287","323.2712550607287","323.2712550607287","354.8358208955224","354.8358208955224","354.8358208955224","732.97265625","732.97265625","732.97265625"
"24","358.84191176470586","358.84191176470586","358.84191176470586","376.7007299270073","376.7007299270073","376.7007299270073","725.3188405797101","725.3188405797101","725.3188405797101"
"28","347.39325842696627","347.39325842696627","347.39325842696627","379.27838827838826","379.27838827838826","379.27838827838826","675.2921348314607","675.2921348314607","675.2921348314607"
"32","364.98175182481754","364.98175182481754","364.98175182481754","402.92857142857144","402.92857142857144","402.92857142857144","776.8021582733813","776.8021582733813","776.8021582733813"
"36","359.32481751824815","359.32481751824815","359.32481751824815","373.03731343283584","373.03731343283584","373.03731343283584","745.3794326241135","745.3794326241135","745.3794326241135"
"40","356.61209964412814","356.61209964412814","356.61209964412814","374.7420494699647","374.7420494699647","374.7420494699647","795.7508896797153","795.7508896797153","795.7508896797153"
"44","334.87404580152673","334.87404580152673","334.87404580152673","373.5878136200717","373.5878136200717","373.5878136200717","870.8156028368794","870.8156028368794","870.8156028368794"
"48","340.199203187251","340.199203187251","340.199203187251","380.50373134328356","380.50373134328356","380.50373134328356","898.6810631229235","898.6810631229235","898.6810631229235"
"52","370.6185185185185","370.6185185185185","370.6185185185185","377.48669201520914","377.48669201520914","377.48669201520914","833.3859649122807","833.3859649122807","833.3859649122807"
"56","338.0751879699248","338.0751879699248","338.0751879699248","361.910447761194","361.910447761194","361.910447761194","883.8163265306123","883.8163265306123","883.8163265306123"
"60","364.2410071942446","364.2410071942446","364.2410071942446","384.60869565217394","384.60869565217394","384.60869565217394","804.3691275167786","804.3691275167786","804.3691275167786"
"64","352.6333333333333","352.6333333333333","352.6333333333333","389.8021978021978","389.8021978021978","389.8021978021978","881.7993311036789","881.7993311036789","881.7993311036789"
"68","355.22140221402213","355.22140221402213","355.22140221402213","389.5492957746479","389.5492957746479","389.5492957746479","928.3443708609271","928.3443708609271","928.3443708609271"
"72","340.53183520599254","340.53183520599254","340.53183520599254","379.7448275862069","379.7448275862069","379.7448275862069","930.2164948453608","930.2164948453608","930.2164948453608"
"76","357.92105263157896","357.92105263157896","357.92105263157896","387.68345323741005","387.68345323741005","387.68345323741005","1061.4820846905538","1061.4820846905538","1061.4820846905538"
"80","362.99638989169677","362.99638989169677","362.99638989169677","369.48797250859104","369.48797250859104","369.48797250859104","1037.9901315789473","1037.9901315789473","1037.9901315789473"
"84","359.5772058823529","359.5772058823529","359.5772058823529","389.7952218430034","389.7952218430034","389.7952218430034","976.7239057239058","976.7239057239058","976.7239057239058"
"88","349.296992481203","349.296992481203","349.296992481203","404.3664383561644","404.3664383561644","404.3664383561644","960.9099678456591","960.9099678456591","960.9099678456591"
"92","341.6996336996337","341.6996336996337","341.6996336996337","406.38907849829354","406.38907849829354","406.38907849829354","871.9482200647249","871.9482200647249","871.9482200647249"
"96","370.3890909090909","370.3890909090909","370.3890909090909","371.8303249097473","371.8303249097473","371.8303249097473","896.7115987460814","896.7115987460814","896.7115987460814"
"100","365.7906137184116","365.7906137184116","365.7906137184116","385.61724137931037","385.61724137931037","385.61724137931037","990.8606811145511","990.8606811145511","990.8606811145511"
