"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","500.24675324675326","500.24675324675326","500.24675324675326","512.5555555555555","512.5555555555555","512.5555555555555","543","543","543"
"4","491.97777777777776","491.97777777777776","491.97777777777776","529.3366336633663","529.3366336633663","529.3366336633663","952.2","952.2","952.2"
"8","539.1440677966102","539.1440677966102","539.1440677966102","581.360655737705","581.360655737705","581.360655737705","998.2692307692307","998.2692307692307","998.2692307692307"
"12","602.3968253968254","602.3968253968254","602.3968253968254","602.5229357798165","602.5229357798165","602.5229357798165","987.6842105263158","987.6842105263158","987.6842105263158"
"16","560.528","560.528","560.528","586.2857142857143","586.2857142857143","586.2857142857143","1002.3125","1002.3125","1002.3125"
"20","598.7829457364342","598.7829457364342","598.7829457364342","562.984496124031","562.984496124031","562.984496124031","984.46875","984.46875","984.46875"
"24","589.8550724637681","589.8550724637681","589.8550724637681","589.6785714285714","589.6785714285714","589.6785714285714","985.6412213740458","985.6412213740458","985.6412213740458"
"28","609.4344827586207","609.4344827586207","609.4344827586207","596.8071428571428","596.8071428571428","596.8071428571428","962.8111888111888","962.8111888111888","962.8111888111888"
"32","613.95","613.95","613.95","612.1836734693877","612.1836734693877","612.1836734693877","1056.6206896551723","1056.6206896551723","1056.6206896551723"
"36","579.0148148148148","579.0148148148148","579.0148148148148","583.7862595419847","583.7862595419847","583.7862595419847","1142.8917197452229","1142.8917197452229","1142.8917197452229"
"40","626.0629370629371","626.0629370629371","626.0629370629371","594.6592592592592","594.6592592592592","594.6592592592592","1174.6447368421052","1174.6447368421052","1174.6447368421052"
"44","569.5675675675676","569.5675675675676","569.5675675675676","579.9586206896552","579.9586206896552","579.9586206896552","1188.758389261745","1188.758389261745","1188.758389261745"
"48","635.4545454545455","635.4545454545455","635.4545454545455","604.296052631579","604.296052631579","604.296052631579","1244.2781065088757","1244.2781065088757","1244.2781065088757"
"52","569.013698630137","569.013698630137","569.013698630137","620.0544217687075","620.0544217687075","620.0544217687075","1209.8866666666668","1209.8866666666668","1209.8866666666668"
"56","581.6711409395973","581.6711409395973","581.6711409395973","629.4367088607595","629.4367088607595","629.4367088607595","1157.08","1157.08","1157.08"
"60","606.3310344827586","606.3310344827586","606.3310344827586","602.9411764705883","602.9411764705883","602.9411764705883","1164.2921348314608","1164.2921348314608","1164.2921348314608"
"64","593.7816901408451","593.7816901408451","593.7816901408451","631.6923076923077","631.6923076923077","631.6923076923077","1183.0697674418604","1183.0697674418604","1183.0697674418604"
"68","603.6875","603.6875","603.6875","605.5","605.5","605.5","1248.6875","1248.6875","1248.6875"
"72","582.9675324675325","582.9675324675325","582.9675324675325","657.7919463087248","657.7919463087248","657.7919463087248","1338.6022727272727","1338.6022727272727","1338.6022727272727"
"76","607.7379310344828","607.7379310344828","607.7379310344828","618.9874213836478","618.9874213836478","618.9874213836478","1418.3932584269662","1418.3932584269662","1418.3932584269662"
"80","600.8853503184713","600.8853503184713","600.8853503184713","696.6646341463414","696.6646341463414","696.6646341463414","1421.8047337278106","1421.8047337278106","1421.8047337278106"
"84","619.5320512820513","619.5320512820513","619.5320512820513","642.9506172839506","642.9506172839506","642.9506172839506","1416.6052631578948","1416.6052631578948","1416.6052631578948"
"88","609.216049382716","609.216049382716","609.216049382716","656.535294117647","656.535294117647","656.535294117647","1299.7091836734694","1299.7091836734694","1299.7091836734694"
"92","602.8322580645162","602.8322580645162","602.8322580645162","660.3705882352941","660.3705882352941","660.3705882352941","1221.51912568306","1221.51912568306","1221.51912568306"
"96","670.2173913043479","670.2173913043479","670.2173913043479","645.4413793103448","645.4413793103448","645.4413793103448","1257.7219251336899","1257.7219251336899","1257.7219251336899"
"100","585.08","585.08","585.08","785.1488095238095","785.1488095238095","785.1488095238095","1424.1557788944724","1424.1557788944724","1424.1557788944724"
"104","558.0939597315436","558.0939597315436","558.0939597315436","774.140350877193","774.140350877193","774.140350877193","1430.5052083333333","1430.5052083333333","1430.5052083333333"
"108","604.7094594594595","604.7094594594595","604.7094594594595","704.4601226993865","704.4601226993865","704.4601226993865","1389.6683937823834","1389.6683937823834","1389.6683937823834"
"112","576.3533333333334","576.3533333333334","576.3533333333334","710.5093167701864","710.5093167701864","710.5093167701864","1508.7794117647059","1508.7794117647059","1508.7794117647059"
"116","586.7132867132867","586.7132867132867","586.7132867132867","683.4761904761905","683.4761904761905","683.4761904761905","1559.8793969849246","1559.8793969849246","1559.8793969849246"
"120","641.4133333333333","641.4133333333333","641.4133333333333","717.5029239766081","717.5029239766081","717.5029239766081","1546.0341463414634","1546.0341463414634","1546.0341463414634"
"124","593.2922077922078","593.2922077922078","593.2922077922078","758.6898734177215","758.6898734177215","758.6898734177215","1588.5151515151515","1588.5151515151515","1588.5151515151515"
"128","634.3","634.3","634.3","742.6783625730994","742.6783625730994","742.6783625730994","1609.7093596059112","1609.7093596059112","1609.7093596059112"
"132","618.1042944785277","618.1042944785277","618.1042944785277","765.6666666666666","765.6666666666666","765.6666666666666","1597.7761904761905","1597.7761904761905","1597.7761904761905"
"136","624.2134146341464","624.2134146341464","624.2134146341464","752.7724550898204","752.7724550898204","752.7724550898204","1627.6975609756098","1627.6975609756098","1627.6975609756098"
"140","591.7171052631579","591.7171052631579","591.7171052631579","738.1022727272727","738.1022727272727","738.1022727272727","1726.304347826087","1726.304347826087","1726.304347826087"
"144","659.7345679012345","659.7345679012345","659.7345679012345","746.1321839080459","746.1321839080459","746.1321839080459","1589.915422885572","1589.915422885572","1589.915422885572"
"148","639.66875","639.66875","639.66875","715.4666666666667","715.4666666666667","715.4666666666667","1587.7116279069767","1587.7116279069767","1587.7116279069767"
"152","665.9935897435897","665.9935897435897","665.9935897435897","718.7321428571429","718.7321428571429","718.7321428571429","1571.7326732673268","1571.7326732673268","1571.7326732673268"
"156","685.6423841059602","685.6423841059602","685.6423841059602","730.1294117647059","730.1294117647059","730.1294117647059","1541.7428571428572","1541.7428571428572","1541.7428571428572"
"160","683.7792207792207","683.7792207792207","683.7792207792207","693.1987577639752","693.1987577639752","693.1987577639752","1631.6536585365855","1631.6536585365855","1631.6536585365855"
"164","646.8881578947369","646.8881578947369","646.8881578947369","673.390243902439","673.390243902439","673.390243902439","1602.6842105263158","1602.6842105263158","1602.6842105263158"
"168","690.8120805369127","690.8120805369127","690.8120805369127","721.1022727272727","721.1022727272727","721.1022727272727","1662.675","1662.675","1662.675"
"172","626.2986111111111","626.2986111111111","626.2986111111111","687.283950617284","687.283950617284","687.283950617284","1664.1576354679803","1664.1576354679803","1664.1576354679803"
"176","588.8476821192053","588.8476821192053","588.8476821192053","724.640243902439","724.640243902439","724.640243902439","1596.595238095238","1596.595238095238","1596.595238095238"
"180","655.8156028368794","655.8156028368794","655.8156028368794","741.7426900584795","741.7426900584795","741.7426900584795","1780.2932692307693","1780.2932692307693","1780.2932692307693"
"184","648.7532467532468","648.7532467532468","648.7532467532468","729.3236994219653","729.3236994219653","729.3236994219653","1687.2222222222222","1687.2222222222222","1687.2222222222222"
"188","674.04","674.04","674.04","731.2865168539325","731.2865168539325","731.2865168539325","1680.509708737864","1680.509708737864","1680.509708737864"
"192","623.94","623.94","623.94","679.0705882352942","679.0705882352942","679.0705882352942","1742.0283018867924","1742.0283018867924","1742.0283018867924"
"196","695.7677419354839","695.7677419354839","695.7677419354839","710.6685714285715","710.6685714285715","710.6685714285715","1723.675","1723.675","1723.675"
"200","653.8553459119497","653.8553459119497","653.8553459119497","756.9813664596273","756.9813664596273","756.9813664596273","1804.2804232804233","1804.2804232804233","1804.2804232804233"
"204","669.6184210526316","669.6184210526316","669.6184210526316","703.2544378698225","703.2544378698225","703.2544378698225","2056.976076555024","2056.976076555024","2056.976076555024"
"208","653.3655172413793","653.3655172413793","653.3655172413793","714.8604651162791","714.8604651162791","714.8604651162791","1939.5586854460093","1939.5586854460093","1939.5586854460093"
"212","728.4635761589404","728.4635761589404","728.4635761589404","689.140243902439","689.140243902439","689.140243902439","2025.0294117647059","2025.0294117647059","2025.0294117647059"
"216","718.6187050359712","718.6187050359712","718.6187050359712","693.0751445086705","693.0751445086705","693.0751445086705","1811.892857142857","1811.892857142857","1811.892857142857"
"220","706.0068027210884","706.0068027210884","706.0068027210884","708.6011904761905","708.6011904761905","708.6011904761905","1975.892857142857","1975.892857142857","1975.892857142857"
"224","656.5228758169935","656.5228758169935","656.5228758169935","717.3941176470588","717.3941176470588","717.3941176470588","1873.0796019900497","1873.0796019900497","1873.0796019900497"
"228","713.1258278145696","713.1258278145696","713.1258278145696","696","696","696","1819.1911764705883","1819.1911764705883","1819.1911764705883"
"232","744.822695035461","744.822695035461","744.822695035461","730.2865497076024","730.2865497076024","730.2865497076024","1832.7815533980583","1832.7815533980583","1832.7815533980583"
"236","720.7733333333333","720.7733333333333","720.7733333333333","667.1146496815287","667.1146496815287","667.1146496815287","1929.0239234449762","1929.0239234449762","1929.0239234449762"
